时间,dynamic_lock_only,fixed_lock,ppo,rule_only
2026-03-01 00:00:00,1141336.893418885,1223128.6520371607,700096.5907143302,801024.780513172
2026-03-01 00:15:00,3447076.7347846674,3477065.950436893,3285294.5355044645,4182535.0590250846
2026-03-01 00:30:00,5711048.860611454,5690785.113395652,5820365.277160919,7465376.547818372
2026-03-01 00:45:00,7853201.92934601,7784976.135607447,8221258.202863229,10662414.21201041
2026-03-01 01:00:00,9912573.770588405,9798826.719704278,10526202.62527657,13098659.339997865
2026-03-01 01:15:00,11687017.630807847,11554576.509103697,12401495.001370363,15140393.415963769
2026-03-01 01:30:00,13403293.29485527,13252925.818930661,14214477.596485745,17094178.909743425
2026-03-01 01:45:00,15075468.304936865,14907748.832068965,15980261.064352421,18982749.673381828
2026-03-01 02:00:00,16705104.697128253,16520644.197010305,17700209.928804874,20706135.191612814
2026-03-01 02:15:00,17721452.905995566,17613713.054019235,18302674.849409796,21300243.33541097
2026-03-01 02:30:00,18711810.097224154,18678828.920414325,18889732.967265878,21879162.47920913
2026-03-01 02:45:00,19685266.02561663,19725767.70548129,19466772.453826264,22448204.623007286
2026-03-01 03:00:00,20629109.237191215,20740858.41107839,20026258.28807445,23000392.995883163
2026-03-01 03:15:00,21818467.22856062,21952734.545216784,21094138.121991526,24068924.188693922
2026-03-01 03:30:00,22993748.893318567,23150144.920522586,22150042.491218194,25125523.148504682
2026-03-01 03:45:00,24184680.375088535,24363177.542417675,23221745.411044214,26197923.719565444
2026-03-01 04:00:00,25397425.50346985,25597732.59833397,24316832.97599776,27289090.503924944
2026-03-01 04:15:00,26156027.108573113,26447095.53081723,24585806.331952833,27548464.322064783
2026-03-01 04:30:00,26908548.71363547,27289651.034171022,24852623.934473947,27805763.140204623
2026-03-01 04:45:00,27667150.318738732,28139013.966654282,25121597.29042902,28065136.958344463
2026-03-01 05:00:00,28421556.723813772,28983679.773038212,25389083.17651466,28323938.302257948
2026-03-01 05:15:00,29048371.46083124,29724343.01647013,25401721.738800146,28325273.646171432
2026-03-01 05:30:00,29680953.035070885,30471820.52910964,25414476.5787146,28326608.990084916
