2026-04-10 10:29:24 | INFO | elec | Loaded data from /Users/dk/py/elec/total.csv
2026-04-10 10:29:24 | INFO | elec | Training months: ['2025-12', '2026-01']
2026-04-10 10:29:24 | INFO | elec | Validation months: ['2026-02']
2026-04-10 10:29:24 | INFO | elec | Test months: ['2026-03']
2026-04-10 10:29:24 | INFO | elec | Start full pipeline.
2026-04-10 10:29:51 | INFO | elec | Start backtest module.
2026-04-10 10:30:25 | INFO | elec | Backtest module complete.
2026-04-10 10:30:25 | INFO | elec | Pipeline complete.
2026-04-10 10:44:01 | INFO | elec | Loaded data from /Users/dk/py/elec/total.csv
2026-04-10 10:44:01 | INFO | elec | Training months: ['2025-12', '2026-01']
2026-04-10 10:44:01 | INFO | elec | Validation months: ['2026-02']
2026-04-10 10:44:01 | INFO | elec | Test months: ['2026-03']
2026-04-10 10:44:01 | INFO | elec | Start full pipeline.
2026-04-10 10:44:39 | INFO | elec | Start backtest module.
2026-04-10 10:45:31 | INFO | elec | Backtest module complete.
2026-04-10 10:45:31 | INFO | elec | Pipeline complete.
