#{"t_start": 1775789041.912174, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error
-438957.31254,64,1.959385,8198781192.4998,3884561.9881227603,6438447.126918541,929.3320835378029
-440295.226645,64,2.393506,8957087381.427296,4830062.201161722,9603202.58937287,1504.2235623189679
-445618.953746,64,2.898973,6981113660.1545315,2542566.092278411,1175774.2774465631,231.77647574031653
-452498.175567,64,3.356083,6484893236.201254,1973513.979498864,0.0,344.4055231584821
-435781.840765,64,6.347439,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-433708.704623,64,6.828553,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-437965.340345,64,7.283642,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-445267.387013,64,7.807113,7264512660.456783,2727701.648811887,0.0,344.4055231584821
-435385.903049,64,8.563796,7297585528.851866,2766038.706493107,25231.501023734414,340.71229187346614
-446449.834225,64,8.976679,7422836695.80539,2920369.9927085266,178632.93578645433,318.9523453943593
-438240.241071,64,9.381695,7329378804.525921,2796884.253848958,0.0,344.4055231584821
-442407.435463,64,9.793691,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-438762.795823,64,10.523765,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-443916.073647,64,11.055773,7892902496.869961,3531429.940495433,5112850.024020342,695.7268745336225
-439336.167427,64,11.585027,6452775842.738787,1983031.8214359144,609639.758576978,267.4384243744403
-442347.021065,64,12.10393,6484893236.201254,1973513.979498864,0.0,344.4055231584821
-449978.449738,64,12.862357,7515542812.880332,3120476.768110332,3304309.467367018,402.17267174114403
-443208.84084,64,13.309395,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-436469.202606,64,13.745496,8449866251.323412,4276788.273419084,8189973.7873715935,1245.2662748316877
-445229.278709,64,14.186211,6586930642.12531,2090540.2297202828,479445.9747426045,281.2637218041656
-441002.153409,64,14.903322,8568895094.163759,4332957.844294582,7998277.395192363,1210.4143729630587
-441986.004809,64,15.368883,7074930612.860695,2561125.852793282,278169.9168039147,305.69715014730707
-440477.13299,64,15.818697,8339344855.25209,4076741.128491034,7266608.268821256,1078.094896765779
-450763.763439,64,16.259926,7317538047.567459,2899721.3908993015,1112302.0548220994,233.45069216252605
-439407.399092,64,17.001498,7336054419.685623,2899689.3803554387,845422.2473908928,247.3122941823412
-434798.054842,64,17.465875,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-443941.713405,64,17.907567,7210779936.942215,2670736.1026558634,0.0,344.4055231584821
-440945.122297,64,18.395349,8310664591.068701,4121070.21289795,7777621.166700987,1170.364374690269
-445446.683215,64,19.113426,6484893236.201254,1973513.979498864,0.0,344.4055231584821
-438029.341468,64,19.57674,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-437893.573379,64,20.020175,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-430868.313182,64,20.456754,6484893236.201254,1973513.979498864,0.0,344.4055231584821
-443049.442871,64,21.174039,6985110060.052598,2435179.4381490313,0.0,344.4055231584821
-441809.653359,64,21.622813,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-441237.513288,64,22.068273,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-435807.125179,64,22.511713,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-446826.451086,64,23.220886,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-440507.004874,64,23.678765,6484893236.201254,1973513.979498864,0.0,344.4055231584821
-432480.074978,64,24.11587,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-438490.515,64,24.552149,6962508200.047059,2412013.16470839,0.0,344.4055231584821
-443467.778579,64,25.281501,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-450161.010021,64,25.722382,7873852716.907425,3509777.4307606914,5027087.104828637,681.0473454271266
-439078.155072,64,26.16938,7290255914.063501,2755109.9236425566,0.0,344.4055231584821
-432707.767316,64,26.606022,6647096401.047384,2187545.050488855,947840.14772584,240.85191648756623
-435892.72898,64,27.302726,6613258953.846413,2105968.0622430593,372958.5601666741,293.776144164744
-439545.662974,64,27.756405,7141363740.574301,2725587.5504594855,1716961.699175043,239.76667128035504
-447700.879561,64,28.202395,6484893236.201254,1973513.979498864,0.0,344.4055231584821
-435559.548679,64,28.707983,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-436268.249685,64,29.425479,6484893236.201254,1973513.979498864,0.0,344.4055231584821
-425754.879212,64,29.877297,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-445709.169346,64,30.322117,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-435339.75344,64,30.763567,8818194142.650503,4648554.042156606,9032818.536656749,1399.2509021611409
-433436.712031,64,31.609482,7433471902.592276,3039081.5592468716,3162202.3909786562,382.1617194503804
-439821.388109,64,32.107387,7910144280.440174,3677446.441663598,6582610.190685302,955.1594333340161
-434294.758324,64,32.615762,7237357550.576213,2868720.58128325,3529876.638863764,435.13834082717966
-451368.936076,64,33.080627,6635444415.624887,2097651.3038015817,0.0,344.4055231584821
-440680.717019,64,33.945351,7345134631.858467,2813754.436676142,0.0,344.4055231584821
-449158.148208,64,34.431348,8041664002.321756,3701718.691978317,5767163.964542223,809.728702637108
-446231.017623,64,34.903766,6538806812.794716,2015785.9712898335,0.0,344.4055231584821
-433715.215117,64,35.351003,6484893236.201254,1973513.979498864,0.0,344.4055231584821
-444775.954427,64,36.071062,7293438070.366126,2954217.8558524433,4179724.9346588007,539.2251459146808
-436682.157492,64,36.548588,7002454594.360327,2504926.890675339,453957.38786711346,284.151200407896
-445985.420422,64,37.076526,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-457135.668725,64,37.522844,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
