#{"t_start": 1775814259.448724, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-31.142042,96,1.467911,1468644618.775143,1966856.213229726,3326333.566153479,940.1372633302007,3325134.1112224474
-27.623563,96,2.404933,1518041124.7883866,2160472.243198343,12747747.45,1624.2857142857142,3617721.1769319735
-21.239499,96,3.548434,1511242201.0087037,2140600.558131218,12468089.641013078,1616.4820311580565,3591566.513234308
-26.15161,96,4.437389,1525251964.9174366,1980102.5008731782,528843.45,0.0,3313322.483022555
-31.921374,96,5.358327,1593881113.5765069,2376443.4022442317,10964939.654385813,1593.4979887309669,3920839.501061625
-24.174516,96,6.480879,1436444632.2212653,1888248.7456670622,4632982.083269207,1090.9388553089382,3224061.1380758593
-7.835986,96,7.413476,1592876338.127715,2170310.046330679,69549.39752680775,0.0,3569093.3086593207
-16.200862,96,8.296462,1569269277.0396419,2304502.4940541736,18165682.471783403,2048.8936607142864,3798143.3831395977
-17.194692,96,9.417231,1539409103.5373142,2209635.004897439,7999394.23353968,1477.8294693747964,3683668.035632654
-17.589231,96,10.324181,1525251970.9635262,1980102.5176469863,528843.45,0.0,3313322.5056160316
-17.828012,96,11.435196,1592876338.127715,2170310.046330679,528843.4373913895,0.0,3569093.3086593207
-16.152368,96,12.320663,1525251964.9174366,1980102.5008731782,528843.45,0.0,3313322.483022555
-16.87563,96,13.246507,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
-8.968974,96,14.409673,1527032122.762795,2183791.9037254145,10687755.45,1617.857142857143,3650636.4865442524
-16.456983,96,15.345235,1525251964.9174366,1980102.5008731782,528843.45,0.0,3313322.483022555
-11.657329,96,16.236937,1542941275.1079774,2029397.5835053741,528843.45,0.0,3379698.7107389504
-8.427682,96,17.339136,1448562786.5442486,1963655.583246491,11609593.936462793,1656.0238384341096,3348987.0868436587
-19.371279,96,18.259749,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
-8.566591,96,19.378005,1457627598.1563206,1794715.521407699,528843.45,0.0,3061956.450147963
1.874286,96,20.269365,1377789340.505198,1588052.0191526443,10252.187195527553,0.0,2776419.5859237127
4.080022,96,21.182963,1362152364.3418696,1671549.843316713,2308275.2497975193,779.8741194785151,2911846.7082432015
5.105484,96,22.309548,1425061517.2929296,1837814.2676116258,2834250.5807459224,812.9119728731903,3140874.7399570616
8.971343,96,23.242819,1422940761.9182198,1820821.4156332673,2234590.7546080775,694.0593524435777,3113521.1255876003
-0.219452,96,24.11474,1448562786.5442486,1963655.583246491,11609593.936462793,1656.0238384341096,3348987.0868436587
7.024104,96,25.213591,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
9.19144,96,26.139641,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
6.214848,96,27.25918,1565092147.9365315,2091520.4979845793,528843.45,0.0,3463187.5486706034
11.836556,96,28.140609,1443497645.061415,1756681.653614824,334629.36764091253,0.0,3009827.787651432
11.466531,96,29.077373,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
16.321029,96,30.191127,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
14.028833,96,31.172877,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
13.544353,96,32.057159,1376478370.9413054,1584883.1343863108,528843.45,0.0,2771988.0513862376
13.863859,96,33.15949,1376478364.4921432,1584883.1188073622,0.05043444167822599,0.0,2771988.029585819
16.195354,96,34.09636,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
16.900614,96,35.192079,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
19.499074,96,36.077467,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
11.049579,96,36.99992,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
14.229525,96,38.124708,1508144659.3673186,1932726.3237775022,528843.45,0.0,3249394.632359572
12.847332,96,39.049777,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
13.790416,96,39.944438,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
17.298855,96,41.049137,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
14.190383,96,41.969343,1444102737.7024217,1758305.7675896783,528843.45,0.0,3012060.010842601
