source_file,file_name,suffix,publish_time,effective_start_guess,parse_status,parse_note
/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx,.docx,2023-04-11,2023-05-22,ok,
/Users/dk/py/elec/政策环境/2023-06-26|2023-08-02公开 关于印发《湖南省电力需求响应实施办法》和《湖南省电力可中断负荷管理办法》的通知.docx,2023-06-26|2023-08-02公开 关于印发《湖南省电力需求响应实施办法》和《湖南省电力可中断负荷管理办法》的通知.docx,.docx,2023-06-26,2023-08-02,ok,
/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx,2024-01-31 电力市场信息披露基本规则.docx,.docx,2024-01-31,2024-01-31,ok,
/Users/dk/py/elec/政策环境/2024-04-12发布｜2024-06-01施行电力市场监管办法.docx,2024-04-12发布｜2024-06-01施行电力市场监管办法.docx,.docx,2024-04-12,2024-06-01,ok,
/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,.docx,2025-02-13,2025-02-13,ok,
/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx,.docx,2025-10-14,2025-10-14,ok,
/Users/dk/py/elec/政策环境/2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2).docx,2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2).docx,.docx,2025-10-15,2025-10-15,ok,
/Users/dk/py/elec/政策环境/2025.10.15湖南省电力中长期实施细则.docx,2025.10.15湖南省电力中长期实施细则.docx,.docx,2025-10-15,2025-10-15,ok,
/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx,2025.10.15湖南省电力市场注册实施细则.docx,.docx,2025-10-15,2025-10-15,ok,
/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场计量实施规则.docx,2025.10.15湖南省电力市场计量实施规则.docx,.docx,2025-10-15,2025-10-15,ok,
/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx,2025.10.15湖南省电力现货市场交易实施细则.docx,.docx,2025-10-15,2025-10-15,ok,
/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx,2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx,.docx,2025-10-15,2025-10-15,ok,
/Users/dk/py/elec/政策环境/2025.10.15湖南省电力零售市场交易规则.docx,2025.10.15湖南省电力零售市场交易规则.docx,.docx,2025-10-15,2025-10-15,ok,
/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,.docx,2025-10-17,2025-10-17,ok,
/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx,2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx,.docx,2025-10-29,2025-10-29,ok,
/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx,2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx,.docx,2025-11-05,2025-11-05,ok,
/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,.xlsx,2025-12-25,2025-12-25,ok,sheet_names=Sheet1
/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,.docx,2025-12-31,,ok,
