week_start,baseline_cost_w,baseline_risk_w
2025-11-03,1368093907.2705884,1957119.9951801838
2025-11-10,1074055173.3661866,1751443.8479796713
2025-11-17,954082594.765689,1682401.8626783818
2025-11-24,1070598754.2860882,1747325.4986177715
2025-12-01,1464880211.6575189,1815143.3518327838
2025-12-08,1512921616.202101,2006818.1589654547
2025-12-15,1300649825.7483687,1860424.6978898444
2025-12-22,1322441136.3260574,1911748.9882103284
2025-12-29,1656198210.2627468,2085406.7889385484
2026-01-05,1686383473.9814143,2175857.3224805356
2026-01-12,1594614860.5068974,2020866.9371795305
2026-01-19,277442974.7723279,2443982.5837091235
2026-01-26,2096592856.606129,2450332.7911784714
2026-02-02,572584363.8883526,2190206.282473277
2026-02-09,275035725.64650285,2086201.611417236
2026-02-16,1160426845.2000043,1759776.2903816325
2026-02-23,1291844672.4126406,1861256.993441219
2026-03-02,1443897167.4117446,1881892.662601986
2026-03-09,1118233417.9303656,1814437.7985383766
2026-03-16,1044873729.3827611,2009658.1007386183
