experiment,value,strategy,total_procurement_cost,avg_weekly_cost,weekly_cost_volatility,cvar,hedge_error,mean_reward,avg_adjustment_mwh,total_trans_cost,max_drawdown,settlement_records
合约比例扰动,-0.1,ppo_contract_shift,3726229197.9687996,1242076399.3229332,142303374.9619127,1439629413.7275963,1379.8279458569534,-0.37691590151545856,1379.8279458569534,19393395.26180114,2286599784.2412033,1824
合约比例扰动,0.0,ppo_contract_shift,3726229197.9687996,1242076399.3229332,142303374.9619127,1439629413.7275963,1379.8279458569534,-0.37691590151545856,1379.8279458569534,19393395.26180114,2286599784.2412033,1824
合约比例扰动,0.1,ppo_contract_shift,3726229197.9687996,1242076399.3229332,142303374.9619127,1439629413.7275963,1379.8279458569534,-0.37691590151545856,1379.8279458569534,19393395.26180114,2286599784.2412033,1824
政策边界前样本,2026-01-01,ppo_policy_before,11381979066.822859,1264664340.7580955,221732590.84341565,1585300619.1060855,69.06976305665196,0.1828718945018216,69.06976305665196,4373291.193574258,10013885159.55227,6048
政策边界后样本,2026-01-01,ppo_policy_after,12798714736.221855,1163519521.474714,537856059.8674796,2009228821.9800165,1356.737649574581,-0.19473296145743746,1356.737649574581,84398666.44484912,11104674361.102123,7200
政策边界前样本,2026-02-01,ppo_policy_before,16943618241.53776,1303355249.3490584,414820125.2159025,2005096703.3606648,250.8532278435933,0.1508056239623977,250.8532278435933,31264116.88779588,15575524334.267172,8736
政策边界后样本,2026-02-01,ppo_policy_after,7200464591.977098,1028637798.8538712,401906000.07240504,1448233960.7060804,1676.2486431034029,-0.3279838451354165,1676.2486431034029,48857956.25559667,6652472589.14863,4512
预测误差水平,0.8,ppo_forecast_error,3548252535.2220454,1182750845.0740151,159930110.22962245,1403498828.6978345,1219.3701847789187,0.05304652068826012,1219.3701847789187,15429445.34574752,2144753706.524211,1824
预测误差水平,1.0,ppo_forecast_error,3726229197.9687996,1242076399.3229332,142303374.9619127,1439629413.7275963,1379.8279458569534,-0.37691590151545856,1379.8279458569534,19393395.26180114,2286599784.2412033,1824
预测误差水平,1.2,ppo_forecast_error,4734762139.418712,1578254046.472904,153719828.13555574,1794391910.6134744,1541.158803052551,-0.9944519751835305,1541.158803052551,23976495.057602987,2940370228.8052373,1824
