experiment,value,cumulative_procurement_cost,cost_volatility,cvar95,hedge_error,avg_adjustment_mwh,max_drawdown,mean_reward,strategy
contract_ratio_shift,-0.1,4031890071.076587,0.0,3862907.452125195,228.5880078125,0.0,0.0,-4032.1148261246253,ppo_contract_shift
contract_ratio_shift,0.0,4031736315.638957,0.0,3852182.794973835,228.5880078125,0.0,0.0,-4031.960370988254,ppo_contract_shift
contract_ratio_shift,0.1,4030234549.3441577,0.0,3748037.3574459925,228.5880078125,0.0,0.0,-4030.451809270416,ppo_contract_shift
policy_split_before,2026-01-01,6425047472.922117,0.0,3888209.755994291,250.76884072580643,0.0,0.0,-6425.270876947386,ppo_policy_before
policy_split_after,2026-01-01,17270313075.891193,1392938009.9511378,4402517.810007958,295.1542262024,0.0,-9827249309.384764,-5757.020174448953,ppo_policy_after
policy_split_before,2026-02-01,13868111239.428547,509008146.7921562,4460427.211660808,297.58718194214424,0.0,-7443063766.50643,-6934.304759982271,ppo_policy_before
policy_split_after,2026-02-01,9827249309.384766,881888339.0534253,4046159.9708558638,270.52857772435897,0.0,-4031736315.638958,-4913.860940164852,ppo_policy_after
forecast_error_scale,0.8,4031736315.638957,0.0,3852182.794973835,228.5880078125,0.0,0.0,-4031.960370988254,ppo_forecast_error
forecast_error_scale,1.0,4031736315.638957,0.0,3852182.794973835,228.5880078125,0.0,0.0,-4031.960370988254,ppo_forecast_error
forecast_error_scale,1.2,4031736315.638957,0.0,3852182.794973835,228.5880078125,0.0,0.0,-4031.960370988254,ppo_forecast_error
