#{"t_start": 1776145596.866079, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-10.533144,96,0.992041,951944468.1542217,1666366.666426768,236186.1412655395,21.176293391418227,2684801.8570571463
-8.094348,96,1.979309,969086783.8035002,1803640.294851685,236186.1412655395,21.17629339141822,2864474.0010422445
-5.764211,96,3.053075,946739520.2369671,1624958.3642833186,236186.1412655395,21.17629339141823,2630454.7342937775
-7.976138,96,4.03829,959770852.3666424,1728921.4364389786,66227.00791999388,21.17629339141822,2766785.444725025
-8.244499,96,5.036614,936334728.237588,1542629.845037252,21746.430995135306,21.17629339141819,2522087.108278956
-6.522542,96,6.07191,989097443.4901968,1701937.0655201168,11588790.98671488,1671.6695173569865,2770077.041624348
-5.532902,96,7.061746,934484021.2336576,1528053.397402955,90156.3974832263,21.17629339141819,2502844.7965598814
-6.96722,96,8.042374,939263408.1209688,1565730.1181945966,96282.66173681767,21.17629339141819,2552537.4016650612
-4.513064,96,9.076352,987102410.7209197,1725441.5466409598,10045481.8884529,1562.8853234806816,2791251.27870161
-1.504518,96,10.110388,934484021.2336576,1528053.397402955,68687.40602900946,21.17629339141819,2502844.7965598814
-3.718765,96,11.145295,959190654.838356,1724274.966320877,236186.1412655395,21.17629339141822,2760701.3876126166
-4.425813,96,12.131037,992506380.6736522,1764596.8147725859,10214458.488180047,1567.886735323503,2842564.6809311057
-0.673199,96,13.118536,967077869.6170182,1787510.8064153262,202826.84084864228,21.176293391418227,2843408.1604472636
-1.784847,96,14.147622,934484021.2336576,1528053.397402955,90156.3974832263,21.17629339141819,2502844.7965598814
-1.701373,96,15.144437,1078228180.639014,2016230.743307162,25656381.01618029,2379.4087637252574,3254688.294693292
-4.622864,96,16.168444,966567892.3398471,1783417.62224726,236186.1412655395,21.176293391418227,2838060.4456965593
0.140009,96,17.204425,972916702.3777411,1834459.2694033005,236186.1412655395,21.176293391418216,2904726.1034440943
2.349076,96,18.2128,994433432.0887198,1777632.9544958947,10276642.9900345,1572.0688464793598,2859871.1901500756
1.109872,96,19.258942,945773773.3668457,1556748.1767104575,5569754.552526032,1228.509886268529,2536163.334968277
-0.960721,96,20.259507,934484021.2336576,1528053.397402955,128452.38086751719,21.17629339141819,2502844.7965598814
-2.492574,96,21.24623,951712840.4167342,1664522.018044556,214311.00333058916,21.176293391418227,2682383.331207369
0.889589,96,22.278427,945527531.0215943,1555380.6075821957,5557099.965622108,1222.9655444434268,2533883.311257109
2.513749,96,23.312867,934484021.2336576,1528053.397402955,227805.45165042003,21.17629339141819,2502844.7965598814
2.535391,96,24.30249,941982831.5638013,1580954.9867289115,2149776.3241208955,721.5047649160596,2538041.771257005
1.946966,96,25.341812,945998779.3419878,1619073.060455362,184385.14310980018,21.17629339141823,2622720.3367560385
4.26434,96,26.331346,1064181430.7505176,1959880.242024014,23703405.272721473,2288.098950388853,3171245.3390158867
1.522656,96,27.367272,1094487900.597942,2178773.0616388237,24234264.76630727,2308.1934686075156,3459085.8726911303
2.373555,96,28.352038,947618302.6026042,1642292.8987936834,1566391.164431322,604.2627064384892,2620157.5851346347
1.814309,96,29.335677,954971171.5822818,1690511.2547647085,122802.70759008701,21.176293391418227,2716455.116535553
6.896485,96,30.423274,944625256.2617235,1608165.618494881,137842.2280094286,21.176293391418238,2608378.7854767265
3.594339,96,31.404802,950300067.2466886,1653274.6571507538,26685.044312491387,21.17629339141823,2667631.9526864174
5.794404,96,32.390913,934484021.2336576,1528053.397402955,150087.97969257255,21.17629339141819,2502844.7965598814
5.35426,96,33.423888,934484021.2336576,1528053.397402955,90156.3974832263,21.17629339141819,2502844.7965598814
4.796745,96,34.4137,935466592.7314118,1535790.1597658908,77453.16142591277,21.17629339141819,2513060.863720114
4.200134,96,35.458579,939026276.9668463,1563858.2559545026,120491.42021530235,21.17629339141819,2550071.883581303
6.094008,96,36.451337,960793622.1773951,1612386.820015171,7655213.380165487,1407.9087972972916,2626590.959282855
5.707737,96,37.479948,941285379.3329048,1581701.1346153426,16971.136257500777,21.1762933914182,2573560.3946425775
5.6738,96,38.516827,944089685.2029411,1603914.4861908755,236186.1412655395,21.176293391418238,2602786.655345382
5.399852,96,39.508501,946411476.698567,1622351.7578271849,236186.1412655395,21.17629339141823,2627029.4891738305
4.402566,96,40.498577,951019725.3772871,1581658.4782681584,6725162.054200226,1337.2633008168175,2577458.7925388343
7.556339,96,41.529145,934484021.2336576,1528053.397402955,150087.97969257255,21.17629339141819,2502844.7965598814
5.954017,96,42.517571,946739520.2369671,1624958.3642833186,236186.1412655395,21.17629339141823,2630454.7342937775
5.850389,96,43.552636,946830977.8829551,1625685.1489919932,235096.45814418863,21.176293391418238,2631409.6833140515
4.758435,96,44.59099,997065612.0439248,1779237.6496263344,10854145.678928472,1621.9278092366944,2866565.256604767
5.993004,96,45.582131,934884107.8375041,1531203.0900162752,36974.014753959855,21.17629339141819,2507004.607448095
4.47478,96,46.616981,939898277.9772223,1570742.8729902182,209162.20823078055,21.176293391418188,2559138.318854616
5.618305,96,47.600373,955092179.6229157,1691478.8390107343,82902.99288349279,21.176293391418227,2717724.028922083
3.069247,96,48.597972,946739526.5795306,1624958.4146845918,236186.1412655395,21.17629339141823,2630454.800519239
8.447324,96,49.650702,949853559.9966424,1649721.291222405,44354.00904990935,21.176293391418238,2662969.776480473
7.94361,96,50.657289,941970583.7736797,1587117.3400699622,129393.48464425454,21.176293391418216,2580684.654405297
6.549839,96,51.739447,934484021.2336576,1528053.397402955,84955.49034598192,21.17629339141819,2502844.7965598814
8.750223,96,52.729874,934484021.2336576,1528053.397402955,85147.86174323877,21.17629339141819,2502844.7965598814
7.29573,96,53.717972,946739520.2369671,1624958.3642833186,236186.1412655395,21.17629339141823,2630454.7342937775
8.041448,96,54.758792,934484021.2336576,1528053.397402955,113556.19332636018,21.17629339141819,2502844.7965598814
8.263757,96,55.74529,934484021.2336576,1528053.397402955,150087.97969257255,21.17629339141819,2502844.7965598814
8.667533,96,56.731473,935282183.2721012,1534337.7513959848,36339.821376738764,21.17629339141819,2511143.5076543153
7.704764,96,57.763784,934484021.2336576,1528053.397402955,90156.3974832263,21.17629339141819,2502844.7965598814
7.341379,96,58.788389,952750334.4788606,1672785.7867069216,78870.37067004667,21.176293391418227,2693216.257503081
7.852923,96,59.826212,934484021.2336576,1528053.397402955,50680.51818723103,21.17629339141819,2502844.7965598814
