week_start,baseline_cost_w,baseline_risk_w
2025-11-03,1413514390.5033526,2104242.3987354888
2025-11-10,972646771.3580672,1913415.3203458241
2025-11-17,979344360.0422407,1886338.4823759708
2025-11-24,1094141051.5213172,1830780.5074156343
2025-12-01,1464429861.2082796,1814329.5078902415
2025-12-08,1512543710.4982214,2005697.8223663298
2025-12-15,1300355129.007342,1860389.849336794
2025-12-22,1322224298.335959,1911770.735834071
2025-12-29,1655997061.7190242,2085304.9552152748
2026-01-05,1686151193.3804927,2175521.0110448455
2026-01-12,1594259873.39171,2020541.5266688326
2026-01-19,277426215.18045324,2443804.5050997767
2026-01-26,2096024275.867023,2449387.5296876077
2026-02-02,572296451.5252208,2189130.3286111774
2026-02-09,275049827.4919381,2086385.6999062703
2026-02-16,1160003066.526815,1758980.9974119063
2026-02-23,1291637531.5159302,1860784.9788471346
2026-03-02,1443479716.2702236,1881265.3365083158
2026-03-09,1117739318.3795485,1813324.4337545554
2026-03-16,1044632274.5112318,2008388.575053011
