#{"t_start": 1776155693.673762, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-7.260505,96,4.268325,1479600618.4408083,1855524.6976394951,259499.2750070136,21.31661338184878,3143672.4788668384
-10.105947,96,7.652622,1496889557.2536154,1902899.7932705192,169840.39740935442,21.31661338184879,3207900.0521773784
-8.59191,96,11.114597,1470840995.5488067,1831705.2740286777,259499.2750070136,21.316613381848782,3111316.0434999615
-7.58046,96,14.559904,1476218847.7585976,1846308.8499889113,77619.39155679737,21.31661338184877,3131156.224276222
-10.541101,96,17.866476,1436640613.5841188,1739773.7370666524,162819.0502116539,21.316613381848757,2985698.4496549484
-8.209047,96,21.296843,1448389450.1768737,2009498.4649423969,13649048.184606751,2019.9764185941194,3411340.220842206
-6.033785,96,24.643206,1431970165.1629438,1727513.3817646084,76123.10758784745,21.316613381848768,2968926.7602638113
-8.135337,96,27.958662,1445900856.5594003,1764338.4528767006,232110.89921915854,21.31661338184875,3019305.916253623
-7.917563,96,31.367111,1484465514.2860804,2102663.661201654,14772943.329076916,2087.096979781212,3541835.330281291
-5.82913,96,34.757614,1431970165.1629438,1727513.3817646084,112993.83652553294,21.316613381848768,2968926.7602638113
