hour,省调负荷_日前,新能源负荷-总加_日前,新能源负荷-光伏_日前,新能源负荷-风电_日前,联络线总加_日前,非市场化机组出力_日前,水电出力_日前,全网总出力_日前,全网统一出清价格_日前,省调负荷_日内,新能源负荷-总加_日内,新能源负荷-光伏_日内,新能源负荷-风电_日内,联络线总加_日内,非市场化机组出力_日内,水电出力_日内,全网总出力_日内,全网统一出清价格_日内,net_load_da,net_load_id,price_spread,load_dev,wind_dev,solar_dev,renewable_ratio_da,renewable_ratio_id,renewable_dev,net_load_da_mwh,net_load_id_mwh,week_start,week_end,hour_index_in_week,q_lt_hourly,spot_need,q_base,signal_spread,signal_load_dev,signal_renewable_dev,signal_composite,bandwidth_mwh,bandwidth_multiplier,delta_q_target,delta_q_after_smoothing,smoothing_mode,lower_band,upper_band,q_spot_raw,q_spot_band_clipped,clipped_by_bound,q_spot,clipped_non_negative,delta_q,a_t_raw,a_t,soft_clipped,hedge_error_abs,strategy
2026-03-02 00:00:00,23167.25,5447.5,0.0,5447.5,6195.5,6540.8925,4285.25,10776.25,187.62225,23328.25,5476.4775,0.0,5476.4775,5944.0675,6789.5325,4650.98,17383.85,187.4505,17719.75,17851.7725,-0.17174999999998875,132.02250000000095,28.977499999999964,0.0,0.235541544882983,0.2352112095170047,28.977499999999964,4429.9375,4462.943125,2026-03-02,2026-03-08 23:00:00,0,2126.37,15593.380000000001,15593.380000000001,-0.021468749999998593,1.0,-0.2897749999999996,0.2823840625000007,2092.21908987919,0.88,590.8093262401397,372.4513511468775,soft_clip,13501.16091012081,17685.59908987919,15965.831351146879,15965.831351146879,0,15965.831351146879,0,372.45135114687764,0.2823840625000007,0.2823840625000007,1,372.45135114687764,ppo
2026-03-02 01:00:00,20844.25,5279.0,0.0,5279.0,5414.0,5624.2074999999995,3526.0,10016.25,62.54075,20941.25,4706.1625,0.0,4706.1625,5431.325000000001,6037.23,3977.76,15510.0,24.138,15565.25,16235.0875,-38.40275,669.8374999999996,-572.8374999999999,0.0,0.2535767099238709,0.22463116781655604,-572.8374999999999,3891.3125,4058.771875,2026-03-02,2026-03-08 23:00:00,1,1867.83,13697.42,13697.42,-1.0,1.0,1.0,0.09999999999999998,1879.4651572758266,0.88,187.94651572758264,198.9654179431793,soft_clip,11817.954842724173,15576.885157275827,13896.38541794318,13896.38541794318,0,13896.38541794318,0,198.96541794318,0.09999999999999998,0.09999999999999998,1,198.96541794318,ppo
2026-03-02 02:00:00,19049.0,5288.5,0.0,5288.5,4772.75,5102.49,3039.75,9503.5,0.0,19042.25,4152.68,0.0,4152.68,4800.639999999999,5292.13,3497.0699999999997,14241.65,0.0,13760.5,14889.57,0.0,1129.0700000000002,-1135.8200000000002,0.0,0.27777722855202214,0.21807133642750118,-1135.8200000000002,3440.125,3722.3925,2026-03-02,2026-03-08 23:00:00,2,1651.26,12109.24,12109.24,0.0,1.0,1.0,0.55,1570.73284333947,0.88,863.9030638367086,584.9865037688104,soft_clip,10538.50715666053,13679.97284333947,12694.22650376881,12694.22650376881,0,12694.22650376881,0,584.9865037688105,0.55,0.55,1,584.9865037688105,ppo
2026-03-02 03:00:00,17974.5,5308.75,0.0,5308.75,4798.0,4881.0425,2778.25,8378.5,0.0,18107.0,4091.5499999999997,0.0,4091.5499999999997,4915.5325,4447.58,3137.8225,13191.3,0.0,12665.75,14015.45,0.0,1349.6999999999998,-1217.2,0.0,0.295399243758328,0.2260233407170402,-1217.2,3166.4375,3503.8625,2026-03-02,2026-03-08 23:00:00,3,1519.89,11145.86,11145.86,0.0,1.0,1.0,0.55,1445.7693768777942,0.88,795.1731572827869,779.2224729003984,soft_clip,9700.090623122207,12591.629376877794,11925.0824729004,11925.0824729004,0,11925.0824729004,0,779.2224729003992,0.55,0.55,1,779.2224729003992,ppo
2026-03-02 04:00:00,17413.25,5344.5,0.0,5344.5,4834.5,4240.6225,2211.25,7744.25,0.0,17386.5,4311.99,0.0,4311.99,4927.465,3579.1925,2717.0699999999997,12459.175,0.0,12068.75,13074.509999999998,0.0,1005.7599999999993,-1032.5099999999998,0.0,0.30693456127055935,0.2480548337420946,-1032.5099999999998,3017.1875,3268.6274999999996,2026-03-02,2026-03-08 23:00:00,4,1448.25,10620.5,10620.5,0.0,1.0,1.0,0.55,1377.623051709838,0.88,757.6926784404109,757.7115168214581,soft_clip,9242.876948290163,11998.123051709837,11378.211516821459,11378.211516821459,0,11378.211516821459,0,757.7115168214586,0.55,0.55,1,757.7115168214586,ppo
2026-03-02 05:00:00,17515.5,5382.75,0.0,5382.75,4862.0,4098.594999999999,2095.25,7791.5,0.0,17454.5,4344.3325,0.0,4344.3325,5006.5675,3458.5625,2602.795,12447.800000000001,0.0,12132.75,13110.1675,0.0,977.4174999999996,-1038.4175,0.0,0.3073352005407402,0.2488999839018776,-1038.4175,3033.1875,3277.541875,2026-03-02,2026-03-08 23:00:00,5,1455.93,10676.82,10676.82,0.0,1.0,1.0,0.55,1384.9285204045602,0.88,761.7106862225082,761.7105653649496,soft_clip,9291.891479595439,12061.74852040456,11438.530565364948,11438.530565364948,0,11438.530565364948,0,761.7105653649487,0.55,0.55,0,761.7105653649487,ppo
2026-03-02 06:00:00,18109.75,5381.25,0.25,5381.0,5067.25,4230.922500000001,2234.75,7975.25,0.0,17804.5,3616.18,0.0,3616.18,5132.5599999999995,4438.7474999999995,2582.745,12672.025000000001,0.0,12728.5,14188.32,0.0,1459.8200000000002,-1764.8200000000002,-0.25,0.29725680564643264,0.20353944841969754,-1765.0700000000002,3182.125,3547.08,2026-03-02,2026-03-08 23:00:00,6,1527.42,11201.08,11201.08,0.0,1.0,1.0,0.55,1452.932160637073,0.88,799.1126883503902,799.0141299807661,soft_clip,9748.147839362928,12654.012160637072,12000.094129980766,12000.094129980766,0,12000.094129980766,0,799.0141299807656,0.55,0.55,1,799.0141299807656,ppo
2026-03-02 07:00:00,21169.25,5466.75,88.75,5378.0,5885.25,5012.2675,2869.0,9398.75,0.0,20804.25,4294.7775,88.3475,4206.43,5958.1825,5688.8425,3530.2375,14846.0,183.35025000000002,15702.5,16509.4725,183.35025000000002,806.9724999999999,-1171.5700000000002,-0.40249999999999986,0.25903322829334435,0.20532876833592498,-1171.9725,3925.625,4127.368125,2026-03-02,2026-03-08 23:00:00,7,1884.3,13818.2,13818.2,1.0,1.0,1.0,1.0,1688.77856526719,0.88,1688.77856526719,1207.0479952747892,soft_clip,12129.42143473281,15506.97856526719,15025.247995274789,15025.247995274789,0,15025.247995274789,0,1207.0479952747883,1.0,1.0,1,1207.0479952747883,ppo
2026-03-02 08:00:00,26390.25,5945.75,579.5,5366.25,6740.5,7941.865,5433.0,12909.25,86.1465,26207.5,6047.7075,700.6324999999999,5347.075,7000.9,8320.7625,5658.1325,19206.75,334.8,20444.5,20159.7925,248.6535,-284.7074999999995,-19.174999999999955,121.1325,0.22542129104641614,0.2310548236680639,101.95750000000004,5111.125,5039.948125,2026-03-02,2026-03-08 23:00:00,8,2453.34,17991.16,17991.16,1.0,-1.0,-1.0,-0.09999999999999998,2468.6224383113436,0.88,-246.8622438311343,787.8741574311684,soft_clip,15522.537561688656,20459.782438311344,18779.034157431168,18779.034157431168,0,18779.034157431168,0,787.874157431168,-0.09999999999999998,-0.09999999999999998,1,787.874157431168,ppo
2026-03-02 09:00:00,28833.5,6694.25,1378.5,5315.75,6949.75,9317.64,6288.75,14934.0,383.46999999999997,28956.0,6967.094999999999,1512.605,5454.49,6985.57,8945.66,5955.625,21970.225,454.116,22139.25,21988.905,70.64600000000002,-150.34500000000025,138.73999999999978,134.10499999999996,0.23211409494791385,0.24055143133731705,272.84499999999974,5534.8125,5497.22625,2026-03-02,2026-03-08 23:00:00,9,2656.71,19482.54,19482.54,1.0,-1.0,-1.0,-0.09999999999999998,2673.2592784066333,0.88,-267.32592784066327,373.3595460437748,soft_clip,16809.280721593368,22155.799278406634,19855.899546043776,19855.899546043776,0,19855.899546043776,0,373.3595460437755,-0.09999999999999998,-0.09999999999999998,1,373.3595460437755,ppo
