stage,candidate_id,avg_val_total_procurement_cost,avg_val_cvar,avg_val_mean_reward,avg_cost_gap_vs_dynamic_lock_only,avg_cvar_gap_vs_dynamic_lock_only,ranking_score
粗搜索,stage1_22,3918920750.146833,1800958247.9149714,0.023012806945081926,-113127138.69059801,-36429693.53443519,3918920750.146833
粗搜索,stage1_18,3927595827.286382,1817452332.6738322,0.011573533703596525,-104452003.69292593,-19935590.549191315,3927595827.286382
粗搜索,stage1_20,3928307791.422014,1812525988.6787176,0.011202413827592886,-103740084.74092309,-24861948.777843475,3928307791.422014
粗搜索,stage1_08,3930492736.3640227,1814027524.6006067,0.018204803665123254,-101555169.5692277,-23360422.23462407,3930492736.3640227
粗搜索,stage1_10,3930644689.8384795,1804925824.1216278,0.004365393799491292,-101403074.75703876,-32462078.191355545,3930644689.8384795
精搜索,stage2_08,3931607050.9631767,1819308499.0180702,0.01690493077390949,-100440854.97007386,-18079447.817160685,3931607050.9631767
粗搜索,stage1_15,3934751227.0798974,1812362513.9197295,9.971639053821257e-05,-97296566.20062368,-25025397.428387005,3934751227.0798974
粗搜索,stage1_01,3935650344.9784274,1824954591.4973767,-0.00789554954915971,-96397527.46811104,-12433344.788422585,3935650344.9784274
粗搜索,stage1_13,3938363039.8796754,1815025928.5100372,0.0016750756673257854,-93684605.57251565,-22361936.279943943,3938363039.8796754
粗搜索,stage1_07,3938934775.780725,1822923544.1826534,-0.0028085804154711347,-93113159.97437589,-14464412.047931036,3938934775.780725
精搜索,stage2_20,3939645776.314139,1823391753.9112308,-0.001169607686027076,-92402099.84879811,-13996183.545330444,3939645776.314139
精搜索,stage2_10,3939974917.636518,1815108111.1619656,-0.004806062699692877,-92072846.95900027,-22279791.151017588,3939974917.636518
精搜索,stage2_15,3942136039.474403,1823117693.9697502,-0.009745221680904276,-89911753.8061188,-14270217.37836639,3942136039.474403
精搜索,stage2_18,3944352967.2693405,1826030634.8861082,-0.006196648205313672,-87694863.70996778,-11357288.336915413,3944352967.2693405
粗搜索,stage1_09,3945066229.7685018,1823491483.7293994,-0.0080653016947895,-86981480.04191811,-13896401.328667084,3945066229.7685018
粗搜索,stage1_05,3948532904.491352,1820118169.325404,0.0018342698224655396,-83514627.02314965,-17269659.58781314,3948532904.491352
精搜索,stage2_22,3951277192.67534,1841718431.2423468,-0.008697287036735482,-80770696.16209047,4330489.792940299,3951493717.164987
粗搜索,stage1_19,3952062234.3196235,1835141029.3280716,-0.006243681284360721,-79985634.9890496,-2246905.969224453,3952062234.3196235
粗搜索,stage1_16,3954489069.7276096,1820840150.0040448,-0.013725354714047677,-77558420.19155948,-16547665.813267073,3954489069.7276096
粗搜索,stage1_17,3964688382.278293,1839759036.3012855,-0.02390869374725202,-67359153.8518033,2371205.9348365464,3964806942.575035
粗搜索,stage1_04,3967809767.773558,1836410106.8893473,-0.030988312190625786,-64237750.12714338,-977717.7375930945,3967809767.773558
粗搜索,stage1_03,3969296721.0924263,1838124519.5326233,-0.03254971218143362,-62750823.71103605,736686.4353132248,3969333555.414192
粗搜索,stage1_11,3971734301.782867,1851544864.267747,-0.042455915778660584,-60313370.266450405,14156991.10189279,3972442151.3379617
粗搜索,stage1_12,3973991860.4305644,1854239571.1280193,-0.03014350248325628,-58055741.18348551,16851720.14260276,3974834446.4376945
粗搜索,stage1_06,3974792256.2078514,1849425967.3283646,-0.041012717069749904,-57255282.12468672,12038136.268467268,3975394163.0212746
粗搜索,stage1_21,3977229109.0298805,1851484100.0780485,-0.034735609344532965,-54818474.52195263,14096254.780110756,3977933921.768886
粗搜索,stage1_02,3978567563.2057495,1863331296.0909061,-0.04314471385833929,-53480021.21912718,25943450.518066008,3979864735.7316527
粗搜索,stage1_23,3979531819.24757,1850809165.8735821,-0.03877655042865696,-52515757.61560106,13421322.681746086,3980202885.381657
粗搜索,stage1_24,3981676931.3283825,1854975102.588827,-0.0401625737820714,-50370588.89892101,17587277.229367416,3982556295.189851
粗搜索,stage1_14,3984619974.95151,1863640678.2007916,-0.05064775021412731,-47427525.335989155,26252859.119190138,3985932617.9074693
