experiment,value,strategy,total_procurement_cost,avg_weekly_cost,weekly_cost_volatility,cvar,hedge_error,mean_reward,avg_adjustment_mwh,total_trans_cost,max_drawdown,settlement_records
合约比例扰动,-0.1,ppo_contract_shift,3657918967.889,1219306322.6296666,177147893.63626435,1460676707.6805258,1077.9235775211002,-0.1432996548970526,1077.9235775211002,12806583.205842394,2197242260.208474,1824
合约比例扰动,0.0,ppo_contract_shift,3657918967.889,1219306322.6296666,177147893.63626435,1460676707.6805258,1077.9235775211002,-0.1432996548970526,1077.9235775211002,12806583.205842394,2197242260.208474,1824
合约比例扰动,0.1,ppo_contract_shift,3657918967.889,1219306322.6296666,177147893.63626435,1460676707.6805258,1077.9235775211002,-0.1432996548970526,1077.9235775211002,12806583.205842394,2197242260.208474,1824
政策边界前样本,2026-01-01,ppo_policy_before,11690218635.501076,1298913181.7223418,225354836.3779986,1646596308.0829806,85.09391225433343,-0.0010901470675827299,85.09391225433343,2710988.865045942,10280101802.043264,6048
政策边界后样本,2026-01-01,ppo_policy_after,12373612404.907295,1124873854.9915724,540738068.9963058,2038064241.7580671,888.5524066258166,0.054840031570209134,888.5524066258166,24485567.46954207,10680123221.941845,7200
政策边界前样本,2026-02-01,ppo_policy_before,17280451609.897312,1329265508.4536395,417612493.73429483,2036702036.2700884,161.2933903758443,0.02099518413472653,161.2933903758443,7874045.567950719,15870334776.439499,8736
政策边界后样本,2026-02-01,ppo_policy_after,6843742409.124195,977677487.0177422,364122679.969079,1416471162.3600545,1576.2373357557394,-3.8508857285247346e-05,1576.2373357557394,31613274.02994843,6306237000.009639,4512
预测误差水平,0.8,ppo_forecast_error,3507256879.743312,1169085626.581104,167309707.98388192,1402419865.3140821,928.5670338186442,0.08545667561325386,928.5670338186442,9501364.006761365,2104837014.4292297,1824
预测误差水平,1.0,ppo_forecast_error,3657918967.889,1219306322.6296666,177147893.63626435,1460676707.6805258,1077.9235775211002,-0.1432996548970526,1077.9235775211002,12806583.205842394,2197242260.208474,1824
预测误差水平,1.2,ppo_forecast_error,4768296452.992825,1589432150.9976082,242920191.13109306,1930145621.5339131,1202.1614614150903,-0.9418093887403356,1202.1614614150903,16132805.671785051,2838150831.4589114,1824
