column,source,formula,is_numeric,selected_for_agent,report_only
prev_da_price_mean,周度聚合,,True,True,False
prev_da_price_std,周度聚合,,True,True,False
prev_da_price_max,周度聚合,,True,True,False
prev_da_price_min,周度聚合,,True,True,False
prev_da_price_q25,周度聚合,,True,True,False
prev_da_price_q50,周度聚合,,True,True,False
prev_da_price_q75,周度聚合,,True,True,False
prev_id_price_mean,周度聚合,,True,True,False
prev_id_price_std,周度聚合,,True,True,False
prev_id_price_max,周度聚合,,True,True,False
prev_id_price_min,周度聚合,,True,True,False
prev_id_price_q25,周度聚合,,True,True,False
prev_id_price_q50,周度聚合,,True,True,False
prev_id_price_q75,周度聚合,,True,True,False
prev_spread_mean,周度聚合,,True,True,False
prev_spread_std,周度聚合,,True,True,False
prev_spread_max,周度聚合,,True,True,False
prev_spread_min,周度聚合,,True,True,False
prev_spread_q25,周度聚合,,True,True,False
prev_spread_q50,周度聚合,,True,True,False
prev_spread_q75,周度聚合,,True,True,False
prev_net_load_da_mean,周度聚合,,True,True,False
prev_net_load_da_std,周度聚合,,True,True,False
prev_net_load_da_max,周度聚合,,True,True,False
prev_net_load_da_min,周度聚合,,True,True,False
prev_net_load_da_q25,周度聚合,,True,True,False
prev_net_load_da_q50,周度聚合,,True,True,False
prev_net_load_da_q75,周度聚合,,True,True,False
prev_net_load_id_mean,周度聚合,,True,True,False
prev_net_load_id_std,周度聚合,,True,True,False
prev_net_load_id_max,周度聚合,,True,True,False
prev_net_load_id_min,周度聚合,,True,True,False
prev_net_load_id_q25,周度聚合,,True,True,False
prev_net_load_id_q50,周度聚合,,True,True,False
prev_net_load_id_q75,周度聚合,,True,True,False
prev_load_dev_mean,周度聚合,,True,True,False
prev_load_dev_std,周度聚合,,True,True,False
prev_load_dev_max,周度聚合,,True,True,False
prev_load_dev_min,周度聚合,,True,True,False
prev_load_dev_q25,周度聚合,,True,True,False
prev_load_dev_q50,周度聚合,,True,True,False
prev_load_dev_q75,周度聚合,,True,True,False
prev_wind_dev_mean,周度聚合,,True,True,False
prev_wind_dev_std,周度聚合,,True,True,False
prev_wind_dev_max,周度聚合,,True,True,False
prev_wind_dev_min,周度聚合,,True,True,False
prev_wind_dev_q25,周度聚合,,True,True,False
prev_wind_dev_q50,周度聚合,,True,True,False
prev_wind_dev_q75,周度聚合,,True,True,False
prev_solar_dev_mean,周度聚合,,True,True,False
prev_solar_dev_std,周度聚合,,True,True,False
prev_solar_dev_max,周度聚合,,True,True,False
prev_solar_dev_min,周度聚合,,True,True,False
prev_solar_dev_q25,周度聚合,,True,True,False
