column,source,is_numeric,selected_for_agent
prev_da_price_mean,周度聚合,True,True
prev_da_price_std,周度聚合,True,True
prev_da_price_max,周度聚合,True,True
prev_da_price_min,周度聚合,True,True
prev_da_price_q25,周度聚合,True,True
prev_da_price_q50,周度聚合,True,True
prev_da_price_q75,周度聚合,True,True
prev_id_price_mean,周度聚合,True,True
prev_id_price_std,周度聚合,True,True
prev_id_price_max,周度聚合,True,True
prev_id_price_min,周度聚合,True,True
prev_id_price_q25,周度聚合,True,True
prev_id_price_q50,周度聚合,True,True
prev_id_price_q75,周度聚合,True,True
prev_spread_mean,周度聚合,True,True
prev_spread_std,周度聚合,True,True
prev_spread_max,周度聚合,True,True
prev_spread_min,周度聚合,True,True
prev_spread_q25,周度聚合,True,True
prev_spread_q50,周度聚合,True,True
prev_spread_q75,周度聚合,True,True
prev_net_load_da_mean,周度聚合,True,True
prev_net_load_da_std,周度聚合,True,True
prev_net_load_da_max,周度聚合,True,True
prev_net_load_da_min,周度聚合,True,True
prev_net_load_da_q25,周度聚合,True,True
prev_net_load_da_q50,周度聚合,True,True
prev_net_load_da_q75,周度聚合,True,True
prev_net_load_id_mean,周度聚合,True,True
prev_net_load_id_std,周度聚合,True,True
prev_net_load_id_max,周度聚合,True,True
prev_net_load_id_min,周度聚合,True,True
prev_net_load_id_q25,周度聚合,True,True
prev_net_load_id_q50,周度聚合,True,True
prev_net_load_id_q75,周度聚合,True,True
prev_load_dev_mean,周度聚合,True,True
prev_load_dev_std,周度聚合,True,True
prev_load_dev_max,周度聚合,True,True
prev_load_dev_min,周度聚合,True,True
prev_load_dev_q25,周度聚合,True,True
prev_load_dev_q50,周度聚合,True,True
prev_load_dev_q75,周度聚合,True,True
prev_wind_dev_mean,周度聚合,True,True
prev_wind_dev_std,周度聚合,True,True
prev_wind_dev_max,周度聚合,True,True
prev_wind_dev_min,周度聚合,True,True
prev_wind_dev_q25,周度聚合,True,True
prev_wind_dev_q50,周度聚合,True,True
prev_wind_dev_q75,周度聚合,True,True
prev_solar_dev_mean,周度聚合,True,True
prev_solar_dev_std,周度聚合,True,True
prev_solar_dev_max,周度聚合,True,True
prev_solar_dev_min,周度聚合,True,True
prev_solar_dev_q25,周度聚合,True,True
prev_solar_dev_q50,周度聚合,True,True
prev_solar_dev_q75,周度聚合,True,True
prev_renewable_ratio_da_mean,周度聚合,True,True
prev_renewable_ratio_da_std,周度聚合,True,True
prev_renewable_ratio_da_max,周度聚合,True,True
prev_renewable_ratio_da_min,周度聚合,True,True
prev_renewable_ratio_da_q25,周度聚合,True,True
prev_renewable_ratio_da_q50,周度聚合,True,True
prev_renewable_ratio_da_q75,周度聚合,True,True
prev_renewable_ratio_id_mean,周度聚合,True,True
prev_renewable_ratio_id_std,周度聚合,True,True
prev_renewable_ratio_id_max,周度聚合,True,True
prev_renewable_ratio_id_min,周度聚合,True,True
prev_renewable_ratio_id_q25,周度聚合,True,True
prev_renewable_ratio_id_q50,周度聚合,True,True
prev_renewable_ratio_id_q75,周度聚合,True,True
prev_tieline_da_mean,周度聚合,True,True
prev_tieline_da_std,周度聚合,True,True
prev_tieline_da_max,周度聚合,True,True
prev_tieline_da_min,周度聚合,True,True
prev_tieline_da_q25,周度聚合,True,True
prev_tieline_da_q50,周度聚合,True,True
prev_tieline_da_q75,周度聚合,True,True
prev_hydro_da_mean,周度聚合,True,True
prev_hydro_da_std,周度聚合,True,True
prev_hydro_da_max,周度聚合,True,True
prev_hydro_da_min,周度聚合,True,True
prev_hydro_da_q25,周度聚合,True,True
prev_hydro_da_q50,周度聚合,True,True
prev_hydro_da_q75,周度聚合,True,True
prev_nonmarket_da_mean,周度聚合,True,True
prev_nonmarket_da_std,周度聚合,True,True
prev_nonmarket_da_max,周度聚合,True,True
prev_nonmarket_da_min,周度聚合,True,True
prev_nonmarket_da_q25,周度聚合,True,True
prev_nonmarket_da_q50,周度聚合,True,True
prev_nonmarket_da_q75,周度聚合,True,True
weekofyear_sin,周度聚合,True,True
weekofyear_cos,周度聚合,True,True
is_partial_week,周度聚合,True,True
forecast_weekly_net_demand_mwh,周度聚合,True,True
actual_weekly_net_demand_mwh,周度聚合,True,True
lt_price_w,周度聚合,True,True
lt_price_source,周度聚合,False,False
lt_settlement_base,政策状态,True,True
spot_marginal_exposure,政策状态,True,True
lt_spot_coupling_state,政策状态,True,False
ancillary_peak_shaving_pause,政策状态,True,True
ancillary_freq_reserve_tight,政策状态,True,True
ancillary_price_boundary_tight,政策状态,True,False
renewable_mechanism_active,政策状态,True,True
mechanism_price_floor,政策状态,True,True
mechanism_price_ceiling,政策状态,True,True
mechanism_volume_ratio_max,政策状态,True,True
mechanism_exec_term_years,政策状态,True,False
mechanism_stage_label,政策状态,False,False
lt_price_linked_active,政策状态,True,True
fixed_price_ratio_max,政策状态,True,True
linked_price_ratio_min,政策状态,True,True
lt_linkage_pre_window,政策状态,True,False
info_disclosure_active,政策状态,True,False
metering_boundary_improved,政策状态,True,False
forecast_boundary_improved,政策状态,True,False
policy_count,政策状态,True,False
policy_source_file_count,政策状态,True,False
policy_parse_failure_count,政策状态,True,False
forward_price_linkage_days,政策状态,True,True
forward_price_linkage_code,政策状态,True,False
forward_price_linkage_in_window,政策状态,True,False
forward_price_linkage_type,政策状态,False,False
forward_mechanism_execution_days,政策状态,True,True
forward_mechanism_execution_code,政策状态,True,False
forward_mechanism_execution_in_window,政策状态,True,False
forward_mechanism_execution_type,政策状态,False,False
forward_ancillary_coupling_days,政策状态,True,False
forward_ancillary_coupling_code,政策状态,True,False
forward_ancillary_coupling_in_window,政策状态,True,False
forward_ancillary_coupling_type,政策状态,False,False
forward_info_forecast_boundary_days,政策状态,True,False
forward_info_forecast_boundary_code,政策状态,True,False
forward_info_forecast_boundary_in_window,政策状态,True,False
forward_info_forecast_boundary_type,政策状态,False,False
