window_name,strategy,total_procurement_cost,total_profit,weekly_cost_volatility,cvar99,hedge_error,avg_adjustment_mwh,mean_reward,max_drawdown
window_01,window_01_test,1500799104.0,106786048.0,0.0,3463053.0,0.7013352513313293,0.0,-2007016.5,0.0
window_02,window_02_test,2042885120.0,58450800.0,0.0,3824264.0,0.03271026164293289,4234.201020422436,-293996288.0,0.0
window_03,window_03_test,2049496064.0,-113686448.0,0.0,3342027.0,0.006479556672275066,3437.496469222364,-52414232.0,0.0
window_04,window_04_test,1723759872.0,-15928074.0,0.0,2899369.0,0.007659913972020149,3042.158217384702,-153604320.0,0.0
window_05,window_05_test,1286198016.0,318986304.0,0.0,3227127.5,0.647997260093689,0.0,76076368.0,0.0
window_06,window_06_test,1014496256.0,274248704.0,0.0,2675172.5,0.6988379955291748,0.0,42915728.0,0.0
window_07,window_07_test,1135320704.0,257661360.0,0.0,2543014.0,0.6629093289375305,0.0,13853441.0,0.0
window_08,window_08_test,1322422400.0,202921216.0,0.0,2847448.0,0.697387158870697,0.0,18915750.0,0.0
window_09,window_09_test,952445824.0,400217984.0,0.0,2810526.5,0.7032067775726318,0.0,70717032.0,0.0
window_10,window_10_test,1005325696.0,124177408.0,0.0,3053831.25,0.7048418521881104,0.0,-18518366.0,0.0
