week_start,contract_adjustment_min_mwh,contract_adjustment_max_mwh,contract_position_min_mwh,contract_position_max_mwh,exposure_band_min_mwh,exposure_band_max_mwh,feasible_domain_triggered,bound_reason_code,settlement_mode
2025-10-27,-279096.375,279096.375,0.0,930321.25,0.0,111638.55,1.0,baseline,legacy_proxy
2025-11-03,-999201.825,999201.825,0.0,3330672.75,0.0,399680.73,1.0,baseline,legacy_proxy
2025-11-10,-885240.45,885240.45,0.0,2950801.5,0.0,354096.18,1.0,baseline,legacy_proxy
2025-11-17,-960552.5249999999,960552.5249999999,0.0,3201841.75,0.0,384221.01,1.0,baseline,legacy_proxy
2025-11-24,-925375.125,925375.125,0.0,3084583.75,0.0,370150.05,1.0,baseline,legacy_proxy
2025-12-01,-1057686.9,1057686.9,0.0,3525623.0,0.0,423074.76,1.0,baseline,legacy_proxy
2025-12-08,-1055316.3,1055316.3,0.0,3517721.0,0.0,422126.51999999996,1.0,baseline,legacy_proxy
2025-12-15,-1024903.95,1024903.95,0.0,3416346.5,0.0,409961.57999999996,1.0,baseline,legacy_proxy
2025-12-22,-1109195.55,1109195.55,0.0,3697318.5,0.0,443678.22,1.0,baseline,legacy_proxy
2025-12-29,-1150510.7625,1150510.7625,0.0,3835035.875,0.0,460204.305,1.0,baseline,legacy_proxy
2026-01-05,-1153156.8,1153156.8,0.0,3843856.0,0.0,461262.72,1.0,baseline,legacy_proxy
2026-01-12,-1116578.775,1116578.775,0.0,3721929.25,0.0,446631.51,1.0,baseline,legacy_proxy
2026-01-19,-1409767.8,1409767.8,0.0,4699226.0,0.0,563907.12,1.0,baseline,legacy_proxy
2026-01-26,-1367392.275,1367392.275,0.0,4557974.25,0.0,546956.91,1.0,baseline,legacy_proxy
2026-02-02,-722497.275,722497.275,0.0,4013873.75,0.0,481664.85,1.0,linked_tight,linked_proxy
2026-02-09,-685620.36,685620.36,0.0,3809002.0,0.0,457080.24,1.0,linked_tight,linked_proxy
2026-02-16,-541563.03,541563.03,0.0,3008683.5,0.0,361042.01999999996,1.0,linked_tight,linked_proxy
2026-02-23,-569792.205,569792.205,0.0,3165512.25,0.0,379861.47,1.0,linked_tight,linked_proxy
2026-03-02,-644077.125,644077.125,0.0,3578206.25,0.0,429384.75,1.0,linked_tight,linked_proxy
2026-03-09,-560178.8099999999,560178.8099999999,0.0,3112104.5,0.0,373452.54,1.0,linked_tight,linked_proxy
2026-03-16,-465184.26,465184.26,0.0,2584357.0,0.0,310122.83999999997,1.0,linked_tight,linked_proxy
