iteration,best_score,mean_score,upper_particles,lower_particles
1,-92555088.0,228633088.0,160,128
2,-93152336.0,23474870.0,160,128
3,-93714576.0,13199847.0,160,128
4,-93714576.0,72896064.0,160,128
5,-94637288.0,144080800.0,160,128
6,-94934760.0,85939640.0,160,128
7,-95228680.0,36239152.0,160,128
8,-95857296.0,38798888.0,160,128
9,-95857296.0,82781208.0,160,128
10,-96190472.0,92566480.0,160,128
11,-96190472.0,76245264.0,160,128
12,-96190472.0,56133684.0,160,128
13,-97004808.0,44492492.0,160,128
14,-97545880.0,79122136.0,160,128
15,-97879872.0,94790008.0,160,128
16,-98431192.0,73824664.0,160,128
17,-99185600.0,50922104.0,160,128
18,-99185600.0,75795880.0,160,128
19,-99194992.0,52462676.0,160,128
20,-99384016.0,49862892.0,160,128
21,-99392304.0,66520460.0,160,128
22,-99392304.0,83073408.0,160,128
23,-99392304.0,74159416.0,160,128
24,-99392304.0,76049688.0,160,128
25,-99392304.0,83431976.0,160,128
26,-99392304.0,39270208.0,160,128
27,-99392304.0,52451300.0,160,128
28,-282444416.0,67423928.0,160,128
29,-282444416.0,140459440.0,160,128
30,-283758880.0,195782304.0,160,128
31,-283758880.0,287674336.0,160,128
32,-283758880.0,281136480.0,160,128
33,-283758880.0,177489152.0,160,128
34,-283758880.0,377774496.0,160,128
35,-283808672.0,308220352.0,160,128
36,-283808672.0,264932512.0,160,128
37,-283834944.0,221702400.0,160,128
38,-283834944.0,274662880.0,160,128
39,-283834944.0,276973536.0,160,128
40,-283836768.0,274443744.0,160,128
41,-283836768.0,320621536.0,160,128
42,-283836768.0,343469248.0,160,128
43,-283836768.0,300002464.0,160,128
44,-283836768.0,280635872.0,160,128
45,-283836768.0,277762400.0,160,128
46,-283836768.0,271901024.0,160,128
47,-283836768.0,292596960.0,160,128
48,-283836768.0,200393696.0,160,128
49,-283836768.0,254205440.0,160,128
50,-283836768.0,319248448.0,160,128
51,-283836768.0,244470176.0,160,128
52,-283836768.0,232137936.0,160,128
53,-283836768.0,271811744.0,160,128
54,-283836768.0,259902512.0,160,128
55,-283836768.0,202452816.0,160,128
56,-283836768.0,246607856.0,160,128
57,-283839104.0,326845920.0,160,128
58,-426145536.0,280611392.0,160,128
59,-426145536.0,137635472.0,160,128
60,-426145536.0,152138032.0,160,128
61,-426145536.0,231668528.0,160,128
62,-426145536.0,306322144.0,160,128
63,-426145536.0,163777056.0,160,128
64,-426145536.0,154653968.0,160,128
65,-426145536.0,210748880.0,160,128
66,-426145536.0,257974656.0,160,128
67,-426145536.0,211513152.0,160,128
68,-426145536.0,151091376.0,160,128
69,-426145536.0,220064112.0,160,128
70,-426145536.0,245860432.0,160,128
71,-426145536.0,204636960.0,160,128
72,-426145536.0,114403200.0,160,128
73,-426145536.0,163437744.0,160,128
74,-426145536.0,213681776.0,160,128
75,-426145536.0,182164752.0,160,128
76,-426145536.0,185530192.0,160,128
77,-426145536.0,182100480.0,160,128
78,-426145536.0,176209520.0,160,128
79,-426145536.0,171741360.0,160,128
80,-426145536.0,172463952.0,160,128
81,-426145536.0,196378032.0,160,128
82,-426145536.0,173368400.0,160,128
83,-426145536.0,97302480.0,160,128
84,-426145536.0,142780912.0,160,128
85,-426145536.0,196583040.0,160,128
86,-426145536.0,193976416.0,160,128
87,-426145536.0,169084176.0,160,128
88,-426145536.0,162222624.0,160,128
89,-458950528.0,169511136.0,160,128
90,-458950528.0,56716160.0,160,128
91,-458950528.0,38480656.0,160,128
92,-458950528.0,75034616.0,160,128
93,-458950528.0,88662400.0,160,128
94,-458950528.0,82481432.0,160,128
95,-458950528.0,59490444.0,160,128
96,-458950528.0,84271320.0,160,128
97,-458950528.0,127215096.0,160,128
98,-458950528.0,102436896.0,160,128
99,-458950528.0,66837812.0,160,128
100,-458950528.0,63800000.0,160,128
101,-458950528.0,92474224.0,160,128
102,-458950528.0,84312856.0,160,128
103,-458950528.0,98225664.0,160,128
104,-458950528.0,57323468.0,160,128
105,-458950528.0,78890944.0,160,128
106,-458950528.0,45085980.0,160,128
