column,source,is_numeric,selected_for_agent,selected_for_policy_head,report_only
prev_da_price_mean,周度聚合,True,True,False,False
prev_da_price_std,周度聚合,True,True,False,False
prev_da_price_max,周度聚合,True,True,False,False
prev_da_price_min,周度聚合,True,True,False,False
prev_da_price_q25,周度聚合,True,True,False,False
prev_da_price_q50,周度聚合,True,True,False,False
prev_da_price_q75,周度聚合,True,True,False,False
prev_id_price_mean,周度聚合,True,True,False,False
prev_id_price_std,周度聚合,True,True,False,False
prev_id_price_max,周度聚合,True,True,False,False
prev_id_price_min,周度聚合,True,True,False,False
prev_id_price_q25,周度聚合,True,True,False,False
prev_id_price_q50,周度聚合,True,True,False,False
prev_id_price_q75,周度聚合,True,True,False,False
prev_spread_mean,周度聚合,True,True,False,False
prev_spread_std,周度聚合,True,True,False,False
prev_spread_max,周度聚合,True,True,False,False
prev_spread_min,周度聚合,True,True,False,False
prev_spread_q25,周度聚合,True,True,False,False
prev_spread_q50,周度聚合,True,True,False,False
prev_spread_q75,周度聚合,True,True,False,False
prev_price_spread_abs_mean,周度聚合,True,True,False,False
prev_price_spread_abs_std,周度聚合,True,True,False,False
prev_price_spread_abs_max,周度聚合,True,True,False,False
prev_price_spread_abs_min,周度聚合,True,True,False,False
prev_price_spread_abs_q25,周度聚合,True,True,False,False
prev_price_spread_abs_q50,周度聚合,True,True,False,False
prev_price_spread_abs_q75,周度聚合,True,True,False,False
prev_net_load_da_mean,周度聚合,True,True,False,False
prev_net_load_da_std,周度聚合,True,True,False,False
prev_net_load_da_max,周度聚合,True,True,False,False
prev_net_load_da_min,周度聚合,True,True,False,False
prev_net_load_da_q25,周度聚合,True,True,False,False
prev_net_load_da_q50,周度聚合,True,True,False,False
prev_net_load_da_q75,周度聚合,True,True,False,False
prev_net_load_id_mean,周度聚合,True,True,False,False
prev_net_load_id_std,周度聚合,True,True,False,False
prev_net_load_id_max,周度聚合,True,True,False,False
prev_net_load_id_min,周度聚合,True,True,False,False
prev_net_load_id_q25,周度聚合,True,True,False,False
prev_net_load_id_q50,周度聚合,True,True,False,False
prev_net_load_id_q75,周度聚合,True,True,False,False
prev_load_dev_mean,周度聚合,True,True,False,False
prev_load_dev_std,周度聚合,True,True,False,False
prev_load_dev_max,周度聚合,True,True,False,False
prev_load_dev_min,周度聚合,True,True,False,False
prev_load_dev_q25,周度聚合,True,True,False,False
prev_load_dev_q50,周度聚合,True,True,False,False
prev_load_dev_q75,周度聚合,True,True,False,False
prev_wind_dev_mean,周度聚合,True,True,False,False
prev_wind_dev_std,周度聚合,True,True,False,False
prev_wind_dev_max,周度聚合,True,True,False,False
prev_wind_dev_min,周度聚合,True,True,False,False
prev_wind_dev_q25,周度聚合,True,True,False,False
prev_wind_dev_q50,周度聚合,True,True,False,False
prev_wind_dev_q75,周度聚合,True,True,False,False
prev_solar_dev_mean,周度聚合,True,True,False,False
prev_solar_dev_std,周度聚合,True,True,False,False
prev_solar_dev_max,周度聚合,True,True,False,False
prev_solar_dev_min,周度聚合,True,True,False,False
prev_solar_dev_q25,周度聚合,True,True,False,False
prev_solar_dev_q50,周度聚合,True,True,False,False
prev_solar_dev_q75,周度聚合,True,True,False,False
prev_renewable_dev_abs_mean,周度聚合,True,True,False,False
prev_renewable_dev_abs_std,周度聚合,True,True,False,False
prev_renewable_dev_abs_max,周度聚合,True,True,False,False
prev_renewable_dev_abs_min,周度聚合,True,True,False,False
prev_renewable_dev_abs_q25,周度聚合,True,True,False,False
prev_renewable_dev_abs_q50,周度聚合,True,True,False,False
prev_renewable_dev_abs_q75,周度聚合,True,True,False,False
prev_renewable_ratio_da_mean,周度聚合,True,True,False,False
prev_renewable_ratio_da_std,周度聚合,True,True,False,False
prev_renewable_ratio_da_max,周度聚合,True,True,False,False
prev_renewable_ratio_da_min,周度聚合,True,True,False,False
