window_name,window_sample_count,window_excess_return_mean,window_excess_return_volatility,window_excess_return_win_rate,window_excess_return_max_drawdown,window_policy_risk_adjusted_mean,window_policy_risk_adjusted_median,window_policy_risk_adjusted_p25,window_policy_risk_adjusted_p75,window_policy_risk_adjusted_volatility,window_policy_risk_adjusted_cvar95,window_policy_risk_adjusted_cvar99,window_policy_risk_adjusted_sharpe,window_sharpe_guard_triggered,window_sharpe_warning,window_metrics_tier,active_excess_return_positive,active_excess_return_persistent,dynamic_lock_only_outperformed,excess_return_conclusion
window_01,1,191872.0,0.0,1.0,0.0,5774.511890124908,5774.511890124908,5774.511890124908,5774.511890124908,0.0,5774.511890124908,5774.511890124908,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_02,1,-328661760.0,0.0,0.0,0.0,-329527058.96162176,-329527058.96162176,-329527058.96162176,-329527058.96162176,0.0,-329527058.96162176,-329527058.96162176,0.0,True,insufficient_samples,appendix_only,False,False,False,未持续跑赢 dynamic_lock_only
window_03,1,18731264.0,0.0,1.0,0.0,18503364.258467507,18503364.258467507,18503364.258467507,18503364.258467507,0.0,18503364.258467507,18503364.258467507,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_04,1,57374080.0,0.0,1.0,0.0,57173385.29938525,57173385.29938525,57173385.29938525,57173385.29938525,0.0,57173385.29938525,57173385.29938525,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_05,1,77343488.0,0.0,1.0,0.0,77153036.87751025,77153036.87751025,77153036.87751025,77153036.87751025,0.0,77153036.87751025,77153036.87751025,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_06,1,35121792.0,0.0,1.0,0.0,34971356.81501025,34971356.81501025,34971356.81501025,34971356.81501025,0.0,34971356.81501025,34971356.81501025,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_07,1,15511808.0,0.0,1.0,0.0,15353531.377510246,15353531.377510246,15353531.377510246,15353531.377510246,0.0,15353531.377510246,15353531.377510246,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_08,1,16333312.0,0.0,1.0,0.0,16154400.674385246,16154400.674385246,16154400.674385246,16154400.674385246,0.0,16154400.674385246,16154400.674385246,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_09,1,57056960.0,0.0,1.0,0.0,56901353.75251025,56901353.75251025,56901353.75251025,56901353.75251025,0.0,56901353.75251025,56901353.75251025,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_10,1,-20062976.0,0.0,0.0,0.0,-20192194.864677254,-20192194.864677254,-20192194.864677254,-20192194.864677254,0.0,-20192194.864677254,-20192194.864677254,0.0,True,insufficient_samples,appendix_only,False,False,False,未持续跑赢 dynamic_lock_only
