window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-270726784.0,1459002880.0,148582272.0,3997936.5
window_02,-203895840.0,1616808320.0,485508096.0,5103688.5
window_03,-260241136.0,1967246080.0,-30620416.0,3762308.75
window_04,-304671360.0,1471723264.0,236830208.0,3418663.0
window_05,-405374592.0,1240557568.0,364729600.0,3520293.75
window_06,-416549984.0,973038720.0,315706240.0,2613138.0
window_07,-512570080.0,1133908096.0,259159424.0,2716849.25
window_08,-629143360.0,1310908416.0,214435200.0,3120354.75
window_09,-664788224.0,928024896.0,424638912.0,2804319.5
window_10,-715065600.0,1000649152.0,128853952.0,3286700.5
