window_name,window_sample_count,window_excess_return_mean,window_excess_return_volatility,window_excess_return_win_rate,window_excess_return_max_drawdown,window_policy_risk_adjusted_mean,window_policy_risk_adjusted_median,window_policy_risk_adjusted_p25,window_policy_risk_adjusted_p75,window_policy_risk_adjusted_volatility,window_policy_risk_adjusted_cvar95,window_policy_risk_adjusted_cvar99,window_policy_risk_adjusted_sharpe,window_sharpe_guard_triggered,window_sharpe_warning,window_metrics_tier,active_excess_return_positive,active_excess_return_persistent,dynamic_lock_only_outperformed,excess_return_conclusion
window_01,1,46812160.0,0.0,1.0,0.0,46626062.51189013,46626062.51189013,46626062.51189013,46626062.51189013,0.0,46626062.51189013,46626062.51189013,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_02,1,99885696.0,0.0,1.0,0.0,99650733.67900322,99650733.67900322,99650733.67900322,99650733.67900322,0.0,99650733.67900322,99650733.67900322,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_03,1,34776576.0,0.0,1.0,0.0,34548676.2584675,34548676.2584675,34548676.2584675,34548676.2584675,0.0,34548676.2584675,34548676.2584675,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_04,1,-286755680.0,0.0,0.0,0.0,-287678871.95061475,-287678871.95061475,-287678871.95061475,-287678871.95061475,0.0,-287678871.95061475,-287678871.95061475,0.0,True,insufficient_samples,appendix_only,False,False,False,未持续跑赢 dynamic_lock_only
window_05,1,-245544816.0,0.0,0.0,0.0,-246420887.51311475,-246420887.51311475,-246420887.51311475,-246420887.51311475,0.0,-246420887.51311475,-246420887.51311475,0.0,True,insufficient_samples,appendix_only,False,False,False,未持续跑赢 dynamic_lock_only
window_06,1,-136179536.0,0.0,0.0,0.0,-136871534.26311475,-136871534.26311475,-136871534.26311475,-136871534.26311475,0.0,-136871534.26311475,-136871534.26311475,0.0,True,insufficient_samples,appendix_only,False,False,False,未持续跑赢 dynamic_lock_only
window_07,1,-5271792.0,0.0,0.0,0.0,-5999860.888114754,-5999860.888114754,-5999860.888114754,-5999860.888114754,0.0,-5999860.888114754,-5999860.888114754,0.0,True,insufficient_samples,appendix_only,False,False,False,未持续跑赢 dynamic_lock_only
window_08,1,7926640.0,0.0,1.0,0.0,7103651.549385246,7103651.549385246,7103651.549385246,7103651.549385246,0.0,7103651.549385246,7103651.549385246,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_09,1,-4650976.0,0.0,0.0,0.0,-5366761.138114754,-5366761.138114754,-5366761.138114754,-5366761.138114754,0.0,-5366761.138114754,-5366761.138114754,0.0,True,insufficient_samples,appendix_only,False,False,False,未持续跑赢 dynamic_lock_only
window_10,1,-5474120.0,0.0,0.0,0.0,-6068523.138114754,-6068523.138114754,-6068523.138114754,-6068523.138114754,0.0,-6068523.138114754,-6068523.138114754,0.0,True,insufficient_samples,appendix_only,False,False,False,未持续跑赢 dynamic_lock_only
