iteration,best_score,mean_score,upper_particles,lower_particles
1,-150014048.0,1734910976.0,192,160
2,-160818784.0,931504320.0,192,160
3,-204452576.0,3273587968.0,192,160
4,-253068256.0,2764377344.0,192,160
5,-273905344.0,893132736.0,192,160
6,-320875680.0,-173296416.0,192,160
7,-339549376.0,-14750784.0,192,160
8,-360108224.0,-10315070.0,192,160
9,-371237376.0,311636704.0,192,160
10,-371237376.0,757565696.0,192,160
11,-374494144.0,361503392.0,192,160
12,-374494144.0,100792592.0,192,160
13,-374494144.0,238318608.0,192,160
14,-376606624.0,283193856.0,192,160
15,-376606624.0,2135318272.0,192,160
16,-376606624.0,4833134080.0,192,160
17,-376680896.0,2628154624.0,192,160
18,-376680896.0,376022848.0,192,160
19,-376680896.0,93021936.0,192,160
20,-379258816.0,623909504.0,192,160
21,-379258816.0,1125951360.0,192,160
22,-385335584.0,321054496.0,192,160
23,-385335584.0,60701904.0,192,160
24,-385335584.0,240690080.0,192,160
25,-385335584.0,292144416.0,192,160
26,-386017344.0,27942118.0,192,160
27,-386017344.0,95993416.0,192,160
28,-386017344.0,48494344.0,192,160
29,-386017344.0,-10413603.0,192,160
30,-386017344.0,-101555856.0,192,160
31,-386017344.0,-53471336.0,192,160
32,-387074816.0,109420088.0,192,160
33,-387074816.0,90345376.0,192,160
34,-387074816.0,6245932.0,192,160
35,-387074816.0,-36670184.0,192,160
36,-389705984.0,38061344.0,192,160
37,-389705984.0,52194704.0,192,160
38,-389705984.0,-114734608.0,192,160
39,-389705984.0,-19675944.0,192,160
40,-389705984.0,123604608.0,192,160
41,-390861216.0,-47236112.0,192,160
42,-390861216.0,-100593072.0,192,160
43,-390861216.0,31017610.0,192,160
44,-390869696.0,-213325008.0,192,160
45,-390869696.0,-154062112.0,192,160
46,-390869696.0,-72447784.0,192,160
47,-391296704.0,-215298880.0,192,160
48,-391960320.0,-225104096.0,192,160
49,-391960320.0,-100086416.0,192,160
50,-391960320.0,-67472144.0,192,160
51,-392617344.0,-231815552.0,192,160
52,-393672000.0,-228257024.0,192,160
53,-393672000.0,-135288992.0,192,160
54,-396671040.0,-204491968.0,192,160
55,-396946816.0,-223551040.0,192,160
56,-396946816.0,-240811008.0,192,160
57,-397109632.0,-217499216.0,192,160
58,-397109632.0,-123952120.0,192,160
59,-397443296.0,-231209376.0,192,160
60,-397822272.0,-234752320.0,192,160
61,-397964960.0,-232564848.0,192,160
62,-397964960.0,-228459840.0,192,160
63,-397964960.0,-241967392.0,192,160
64,-398314080.0,-157594304.0,192,160
65,-398314080.0,-168170000.0,192,160
66,-398671616.0,-257681824.0,192,160
67,-398671616.0,-230935680.0,192,160
68,-398671616.0,-252637808.0,192,160
69,-399156832.0,-179900016.0,192,160
70,-399974464.0,-263446016.0,192,160
71,-399974464.0,-261184560.0,192,160
72,-399998912.0,-257369840.0,192,160
73,-399998912.0,-202897248.0,192,160
74,-399998912.0,-284527008.0,192,160
75,-399998912.0,-288380256.0,192,160
76,-399998912.0,-287789344.0,192,160
77,-399998912.0,-300794016.0,192,160
78,-399998912.0,-279415232.0,192,160
79,-401621056.0,-292223072.0,192,160
80,-405027040.0,-218693728.0,192,160
81,-406207360.0,-245635392.0,192,160
82,-408956416.0,-221917072.0,192,160
83,-409885824.0,-166024432.0,192,160
84,-411879424.0,-122026496.0,192,160
85,-411879424.0,-111511200.0,192,160
86,-411879424.0,-20107918.0,192,160
87,-411879424.0,-74278080.0,192,160
88,-411879424.0,-58812896.0,192,160
89,-411879424.0,-129052240.0,192,160
90,-412265952.0,-136577584.0,192,160
91,-412265952.0,-84229008.0,192,160
92,-412265952.0,-64352048.0,192,160
93,-413976768.0,-106253784.0,192,160
94,-413976768.0,-95966264.0,192,160
95,-413976768.0,-125428208.0,192,160
96,-413976768.0,-49437336.0,192,160
97,-413976768.0,-79679368.0,192,160
98,-413976768.0,-15350640.0,192,160
99,-413976768.0,-75868720.0,192,160
100,-413976768.0,-129617960.0,192,160
101,-413976768.0,-103329160.0,192,160
102,-413976768.0,-41495444.0,192,160
103,-413976768.0,-188888176.0,192,160
104,-414154880.0,-162250416.0,192,160
105,-414154880.0,-181328432.0,192,160
106,-414154880.0,-122301936.0,192,160
107,-414154880.0,-206924416.0,192,160
108,-414154880.0,-196763120.0,192,160
109,-414210656.0,-96915920.0,192,160
110,-414210656.0,-211910496.0,192,160
111,-414210656.0,-210361280.0,192,160
112,-414210656.0,-124569576.0,192,160
113,-414210656.0,-124017160.0,192,160
114,-414210656.0,-186605824.0,192,160
115,-414210656.0,-222689568.0,192,160
116,-414210656.0,-199906160.0,192,160
117,-414210656.0,-202454320.0,192,160
118,-414210656.0,-231086192.0,192,160
119,-414335296.0,-209296720.0,192,160
120,-414335296.0,-246179648.0,192,160
121,-414335296.0,-224119376.0,192,160
122,-414416320.0,-266470640.0,192,160
123,-414416320.0,-255204512.0,192,160
124,-414526624.0,-230062528.0,192,160
125,-414527904.0,-227251040.0,192,160
126,-414659072.0,-205673008.0,192,160
127,-414659072.0,-207492960.0,192,160
128,-414659072.0,-230649504.0,192,160
129,-415162752.0,-234774064.0,192,160
130,-415162752.0,-253187760.0,192,160
131,-415162752.0,-157277008.0,192,160
132,-415337024.0,-239627616.0,192,160
133,-415337024.0,-221072304.0,192,160
134,-415512128.0,-238222640.0,192,160
135,-415512128.0,-237749200.0,192,160
136,-415512128.0,-236929648.0,192,160
137,-415512128.0,-133698752.0,192,160
138,-415512128.0,-251243872.0,192,160
139,-416566208.0,-239409024.0,192,160
140,-416566208.0,-228061504.0,192,160
141,-416566208.0,-239172912.0,192,160
142,-416566208.0,-253675696.0,192,160
143,-416569760.0,-270981472.0,192,160
144,-416674080.0,-270887936.0,192,160
145,-417033280.0,-290015808.0,192,160
146,-417033280.0,-274396640.0,192,160
147,-417201056.0,-260889840.0,192,160
148,-417201056.0,-241143248.0,192,160
149,-417201056.0,-299105504.0,192,160
150,-417201056.0,-296693120.0,192,160
151,-417201056.0,-294718272.0,192,160
152,-417380768.0,-296662656.0,192,160
153,-417380768.0,-253982192.0,192,160
154,-417380768.0,-271937280.0,192,160
155,-417380768.0,-281321152.0,192,160
156,-417380768.0,-282375488.0,192,160
157,-417380768.0,-292068576.0,192,160
158,-417515584.0,-226043472.0,192,160
159,-417857088.0,-264122016.0,192,160
160,-417857088.0,-281579488.0,192,160
161,-417857088.0,-254262512.0,192,160
162,-417936768.0,-135042384.0,192,160
163,-417936768.0,-183084320.0,192,160
164,-417936768.0,-279331648.0,192,160
165,-417936768.0,-253917072.0,192,160
166,-417936768.0,-259875584.0,192,160
167,-417936768.0,-234327120.0,192,160
168,-417936768.0,-278834592.0,192,160
169,-418313472.0,-281982464.0,192,160
170,-418313472.0,-297543616.0,192,160
171,-418313472.0,-289683072.0,192,160
172,-418313472.0,-245452304.0,192,160
173,-418313472.0,-274511360.0,192,160
174,-418313472.0,-294095200.0,192,160
175,-418352480.0,-271422560.0,192,160
176,-418408160.0,-275342528.0,192,160
177,-418408160.0,-291412224.0,192,160
178,-418621888.0,-267870304.0,192,160
179,-418621888.0,-272960128.0,192,160
180,-418922944.0,-292929632.0,192,160
181,-418922944.0,-307300704.0,192,160
182,-418922944.0,-293900512.0,192,160
183,-419043008.0,-289005792.0,192,160
184,-419043008.0,-289070720.0,192,160
185,-419043008.0,-317791392.0,192,160
186,-419043008.0,-298407328.0,192,160
187,-419043008.0,-297254528.0,192,160
188,-419043008.0,-294543232.0,192,160
189,-419043008.0,-304053248.0,192,160
190,-419094592.0,-288646784.0,192,160
191,-419094592.0,-305100352.0,192,160
192,-419094592.0,-317233568.0,192,160
193,-419114304.0,-298680960.0,192,160
194,-419602880.0,-295297600.0,192,160
195,-419673920.0,-316881664.0,192,160
196,-419907648.0,-300776672.0,192,160
197,-419907648.0,-243687984.0,192,160
198,-419907648.0,-257215296.0,192,160
199,-419907648.0,-259584656.0,192,160
200,-419907648.0,-247825488.0,192,160
201,-419907648.0,-258932672.0,192,160
202,-419907648.0,-270655456.0,192,160
203,-419907648.0,-231733008.0,192,160
204,-419907648.0,-201026816.0,192,160
205,-420346048.0,-239155776.0,192,160
206,-420346048.0,-247017488.0,192,160
207,-420346048.0,-200538208.0,192,160
208,-420401280.0,-243283120.0,192,160
209,-420401280.0,-219179616.0,192,160
210,-420401280.0,-266950880.0,192,160
211,-420401280.0,-237085808.0,192,160
212,-420576896.0,-272329856.0,192,160
213,-421793024.0,-248678384.0,192,160
214,-421834560.0,-246635184.0,192,160
215,-422726272.0,-250792464.0,192,160
216,-422726272.0,-224840272.0,192,160
217,-422726272.0,-227916112.0,192,160
218,-422726272.0,-201968272.0,192,160
219,-422726272.0,-194051488.0,192,160
220,-422726272.0,-206332672.0,192,160
221,-422726272.0,-214560704.0,192,160
222,-422726272.0,-203752288.0,192,160
223,-422726272.0,-163248416.0,192,160
224,-422726272.0,-170001008.0,192,160
225,-423671552.0,-192668480.0,192,160
226,-423671552.0,-164333936.0,192,160
227,-423671552.0,-194780912.0,192,160
228,-424056736.0,-196481792.0,192,160
229,-424056736.0,-202029072.0,192,160
230,-424112192.0,-195480816.0,192,160
231,-424186240.0,-202674384.0,192,160
232,-424186240.0,-193493712.0,192,160
233,-424186240.0,-168997584.0,192,160
234,-424333600.0,-202179968.0,192,160
235,-424547648.0,-195037808.0,192,160
236,-424695840.0,-227819296.0,192,160
237,-424695840.0,-196674640.0,192,160
238,-424695840.0,-152818112.0,192,160
239,-424695840.0,-116381648.0,192,160
240,-424695840.0,-194504192.0,192,160
241,-424695840.0,-242227040.0,192,160
242,-424952128.0,-155206832.0,192,160
243,-424952128.0,-148121680.0,192,160
244,-424952128.0,-146534816.0,192,160
245,-424952128.0,-212954544.0,192,160
246,-425412736.0,-200026256.0,192,160
247,-425514112.0,-185809696.0,192,160
248,-425609920.0,-172762560.0,192,160
249,-425802368.0,-180419600.0,192,160
250,-425802368.0,-167927504.0,192,160
251,-425802368.0,-167761520.0,192,160
252,-426008576.0,-167152400.0,192,160
253,-426105024.0,-179465728.0,192,160
254,-426105024.0,-135757104.0,192,160
255,-426105024.0,-162749312.0,192,160
256,-426105024.0,-179523952.0,192,160
257,-426105024.0,-117512760.0,192,160
258,-426179136.0,-140383792.0,192,160
259,-426179136.0,-154261008.0,192,160
260,-426305056.0,-147484896.0,192,160
261,-426432448.0,-164505568.0,192,160
262,-426432448.0,-186511712.0,192,160
263,-426432448.0,-192362864.0,192,160
264,-426467200.0,-198157008.0,192,160
265,-426522048.0,-124708200.0,192,160
266,-426522048.0,-193877008.0,192,160
267,-426522048.0,-193089408.0,192,160
268,-426522048.0,-135880160.0,192,160
269,-426522048.0,-31480986.0,192,160
270,-426602624.0,-177117056.0,192,160
271,-426602624.0,-213501760.0,192,160
272,-426692192.0,-190431856.0,192,160
273,-426728864.0,-138110048.0,192,160
274,-426728864.0,-183434592.0,192,160
275,-426853184.0,-202819600.0,192,160
276,-426853184.0,-187659472.0,192,160
277,-426995904.0,-226477504.0,192,160
278,-427031488.0,-140912992.0,192,160
279,-427133216.0,-163306912.0,192,160
280,-427133216.0,-157437408.0,192,160
281,-427133216.0,-202892400.0,192,160
282,-427133216.0,-158932832.0,192,160
283,-427133216.0,-222089808.0,192,160
284,-427133216.0,-186908016.0,192,160
285,-427315072.0,-236702896.0,192,160
286,-427872192.0,-179872736.0,192,160
287,-428349888.0,-94217304.0,192,160
288,-428349888.0,-200875968.0,192,160
289,-428727968.0,-162516464.0,192,160
290,-428727968.0,-188960336.0,192,160
291,-429041888.0,-223304288.0,192,160
292,-429041888.0,-194301712.0,192,160
293,-429041888.0,-133079704.0,192,160
294,-429041888.0,-156027456.0,192,160
295,-429568320.0,-186238384.0,192,160
296,-429568320.0,-194550992.0,192,160
297,-429568320.0,-175618608.0,192,160
298,-429568320.0,-206980432.0,192,160
299,-429568320.0,-195991632.0,192,160
300,-429568320.0,-150000560.0,192,160
301,-429568320.0,-186462816.0,192,160
302,-429574016.0,-176755760.0,192,160
303,-429574016.0,-185671904.0,192,160
304,-429574016.0,-218531264.0,192,160
305,-429574016.0,-210535952.0,192,160
306,-429574016.0,-207281696.0,192,160
307,-429586528.0,-221296768.0,192,160
308,-429606336.0,-221119200.0,192,160
309,-429667712.0,-237156912.0,192,160
310,-429667712.0,-141159936.0,192,160
311,-429667712.0,-263230960.0,192,160
312,-429667712.0,-229411616.0,192,160
313,-429667712.0,-146897648.0,192,160
314,-429813632.0,-148382352.0,192,160
315,-429949792.0,-272291296.0,192,160
316,-429949792.0,-247976320.0,192,160
317,-429949792.0,-227529200.0,192,160
