window_name,window_sample_count,window_excess_return_mean,window_excess_return_volatility,window_excess_return_win_rate,window_excess_return_max_drawdown,window_policy_risk_adjusted_mean,window_policy_risk_adjusted_median,window_policy_risk_adjusted_p25,window_policy_risk_adjusted_p75,window_policy_risk_adjusted_volatility,window_policy_risk_adjusted_cvar95,window_policy_risk_adjusted_cvar99,window_policy_risk_adjusted_sharpe,window_sharpe_guard_triggered,window_sharpe_warning,window_metrics_tier,active_excess_return_positive,active_excess_return_persistent,dynamic_lock_only_outperformed,excess_return_conclusion
window_01,1,41988096.0,0.0,1.0,0.0,41801998.51189013,41801998.51189013,41801998.51189013,41801998.51189013,0.0,41801998.51189013,41801998.51189013,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_02,1,107352704.0,0.0,1.0,0.0,107117741.67900322,107117741.67900322,107117741.67900322,107117741.67900322,0.0,107117741.67900322,107117741.67900322,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_03,1,28014336.0,0.0,1.0,0.0,27786436.258467507,27786436.258467507,27786436.258467507,27786436.258467507,0.0,27786436.258467507,27786436.258467507,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_04,1,85707520.0,0.0,1.0,0.0,85506825.29938525,85506825.29938525,85506825.29938525,85506825.29938525,0.0,85506825.29938525,85506825.29938525,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_05,1,103095552.0,0.0,1.0,0.0,102905100.87751025,102905100.87751025,102905100.87751025,102905100.87751025,0.0,102905100.87751025,102905100.87751025,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_06,1,76579200.0,0.0,1.0,0.0,76428764.81501025,76428764.81501025,76428764.81501025,76428764.81501025,0.0,76428764.81501025,76428764.81501025,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_07,1,12936576.0,0.0,1.0,0.0,12778299.377510246,12778299.377510246,12778299.377510246,12778299.377510246,0.0,12778299.377510246,12778299.377510246,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_08,1,27847296.0,0.0,1.0,0.0,27668384.674385246,27668384.674385246,27668384.674385246,27668384.674385246,0.0,27668384.674385246,27668384.674385246,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_09,1,81477888.0,0.0,1.0,0.0,81322281.75251025,81322281.75251025,81322281.75251025,81322281.75251025,0.0,81322281.75251025,81322281.75251025,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_10,1,-15386432.0,0.0,0.0,0.0,-15515650.864677254,-15515650.864677254,-15515650.864677254,-15515650.864677254,0.0,-15515650.864677254,-15515650.864677254,0.0,True,insufficient_samples,appendix_only,False,False,False,未持续跑赢 dynamic_lock_only
