window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-302273600.0,1515392256.0,92192896.0,4111997.5
window_02,-247918208.0,1546190848.0,556125568.0,5959721.0
window_03,-282409504.0,1991518336.0,-54892672.0,4703338.5
window_04,-335162208.0,1895236224.0,-187116256.0,7120240.0
window_05,-424734144.0,1680630784.0,-75754992.0,6224485.5
window_06,-465876480.0,1280228864.0,8191158.0,4788892.0
window_07,-399531968.0,1228817920.0,163907728.0,3422713.25
window_08,-392508288.0,1371918592.0,153038448.0,4027315.25
window_09,-428164096.0,1067384448.0,284943136.0,3489460.5
window_10,-420791488.0,1016492288.0,112731704.0,3919929.5
