window_name,window_sample_count,window_excess_return_mean,window_excess_return_volatility,window_excess_return_win_rate,window_excess_return_max_drawdown,window_policy_risk_adjusted_mean,window_policy_risk_adjusted_median,window_policy_risk_adjusted_p25,window_policy_risk_adjusted_p75,window_policy_risk_adjusted_volatility,window_policy_risk_adjusted_cvar95,window_policy_risk_adjusted_cvar99,window_policy_risk_adjusted_sharpe,window_sharpe_guard_triggered,window_sharpe_warning,window_metrics_tier,active_excess_return_positive,active_excess_return_persistent,dynamic_lock_only_outperformed,excess_return_conclusion
window_01,1,47133952.0,0.0,1.0,0.0,46947854.51189013,46947854.51189013,46947854.51189013,46947854.51189013,0.0,46947854.51189013,46947854.51189013,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_02,1,99885696.0,0.0,1.0,0.0,99650733.67900322,99650733.67900322,99650733.67900322,99650733.67900322,0.0,99650733.67900322,99650733.67900322,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_03,1,34776576.0,0.0,1.0,0.0,34548676.2584675,34548676.2584675,34548676.2584675,34548676.2584675,0.0,34548676.2584675,34548676.2584675,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_04,1,-286518240.0,0.0,0.0,0.0,-287441431.95061475,-287441431.95061475,-287441431.95061475,-287441431.95061475,0.0,-287441431.95061475,-287441431.95061475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_05,1,-244929264.0,0.0,0.0,0.0,-245805335.51311475,-245805335.51311475,-245805335.51311475,-245805335.51311475,0.0,-245805335.51311475,-245805335.51311475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_06,1,-135516352.0,0.0,0.0,0.0,-136208350.26311475,-136208350.26311475,-136208350.26311475,-136208350.26311475,0.0,-136208350.26311475,-136208350.26311475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_07,1,-4391792.0,0.0,0.0,0.0,-5119860.888114754,-5119860.888114754,-5119860.888114754,-5119860.888114754,0.0,-5119860.888114754,-5119860.888114754,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_08,1,8772080.0,0.0,1.0,0.0,7949091.549385246,7949091.549385246,7949091.549385246,7949091.549385246,0.0,7949091.549385246,7949091.549385246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_09,1,-5821408.0,0.0,0.0,0.0,-6537193.138114754,-6537193.138114754,-6537193.138114754,-6537193.138114754,0.0,-6537193.138114754,-6537193.138114754,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_10,1,-1860744.0,0.0,0.0,0.0,-2455147.138114754,-2455147.138114754,-2455147.138114754,-2455147.138114754,0.0,-2455147.138114754,-2455147.138114754,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
