iteration,best_score,mean_score,upper_particles,lower_particles
1,-142758240.0,1713870464.0,192,160
2,-161649536.0,815731776.0,192,160
3,-199146416.0,1269378304.0,192,160
4,-268060032.0,629260992.0,192,160
5,-280028064.0,173858608.0,192,160
6,-337120608.0,-146447344.0,192,160
7,-357950464.0,4856534.0,192,160
8,-373043232.0,50006996.0,192,160
9,-380808544.0,10604747.0,192,160
10,-392612288.0,-82291560.0,192,160
11,-394281856.0,-62495504.0,192,160
12,-396023712.0,-112252376.0,192,160
13,-396023712.0,-156520688.0,192,160
14,-399136736.0,-143940576.0,192,160
15,-399594464.0,-107153416.0,192,160
16,-399594464.0,-82147960.0,192,160
17,-403645952.0,-90425192.0,192,160
18,-403645952.0,-147734848.0,192,160
19,-403645952.0,-17864068.0,192,160
20,-403645952.0,-41275376.0,192,160
21,-404195552.0,-190961504.0,192,160
22,-404195552.0,-175139936.0,192,160
23,-404195552.0,-208701696.0,192,160
24,-404195552.0,-89475008.0,192,160
25,-404452000.0,-139183248.0,192,160
26,-404857856.0,-158769008.0,192,160
27,-407702528.0,-88372824.0,192,160
28,-407702528.0,-251442912.0,192,160
29,-409309248.0,-219369872.0,192,160
30,-409309248.0,-188855104.0,192,160
31,-412821312.0,48304364.0,192,160
32,-412821312.0,139789024.0,192,160
33,-415789184.0,112202432.0,192,160
34,-416194880.0,121559816.0,192,160
35,-416194880.0,586529792.0,192,160
36,-416194880.0,463555264.0,192,160
37,-418446272.0,154135408.0,192,160
38,-418446272.0,422281184.0,192,160
39,-418446272.0,1279852800.0,192,160
40,-419530432.0,863317248.0,192,160
41,-421277888.0,127248568.0,192,160
42,-421277888.0,77337904.0,192,160
43,-423929664.0,215857088.0,192,160
44,-423940352.0,4590285824.0,192,160
45,-424194880.0,1795556224.0,192,160
46,-424194880.0,76964448.0,192,160
47,-426051232.0,422094592.0,192,160
48,-426905728.0,1645637632.0,192,160
49,-426905728.0,380320256.0,192,160
50,-427356288.0,-155352384.0,192,160
51,-427757888.0,-74715040.0,192,160
52,-427757888.0,440067744.0,192,160
53,-427757888.0,432537600.0,192,160
54,-427757888.0,191353856.0,192,160
55,-429118976.0,-202689280.0,192,160
56,-429118976.0,-20766282.0,192,160
57,-429118976.0,238126816.0,192,160
58,-429118976.0,-42339684.0,192,160
59,-429118976.0,-80522272.0,192,160
60,-429694080.0,-25397708.0,192,160
61,-430154208.0,49146336.0,192,160
62,-430358816.0,-35613612.0,192,160
63,-430485120.0,219059856.0,192,160
64,-430485120.0,14206790.0,192,160
65,-430641696.0,-89700456.0,192,160
66,-430779648.0,-60461724.0,192,160
67,-434333696.0,463475808.0,192,160
68,-437079872.0,347816672.0,192,160
69,-439223552.0,468858976.0,192,160
70,-442269920.0,475296384.0,192,160
71,-442269920.0,976614080.0,192,160
72,-442269920.0,156137280.0,192,160
73,-443954816.0,469779008.0,192,160
74,-443954816.0,302238720.0,192,160
75,-443954816.0,455062688.0,192,160
76,-445219840.0,246739200.0,192,160
77,-445219840.0,465714464.0,192,160
78,-445219840.0,158152576.0,192,160
79,-445219840.0,332682720.0,192,160
80,-445219840.0,287932416.0,192,160
81,-445219840.0,482042048.0,192,160
82,-445439360.0,289355872.0,192,160
83,-445439360.0,136283328.0,192,160
84,-445439360.0,94891792.0,192,160
85,-447179008.0,251739008.0,192,160
86,-447179008.0,388957536.0,192,160
87,-447179008.0,176675232.0,192,160
88,-447539552.0,142361408.0,192,160
89,-447539552.0,369144032.0,192,160
90,-447539552.0,339012352.0,192,160
91,-448906432.0,102805448.0,192,160
92,-448906432.0,76023424.0,192,160
93,-448982208.0,-38338256.0,192,160
94,-448982208.0,217752144.0,192,160
95,-448982208.0,386463072.0,192,160
96,-449075776.0,-65900768.0,192,160
97,-449075776.0,327863520.0,192,160
98,-449185120.0,-148489872.0,192,160
99,-449613440.0,40290664.0,192,160
100,-449613440.0,117291776.0,192,160
101,-449782112.0,-75439592.0,192,160
102,-450075648.0,-93290760.0,192,160
103,-450075648.0,-166881184.0,192,160
104,-450075648.0,69948032.0,192,160
105,-450728960.0,42267752.0,192,160
106,-450988864.0,207165696.0,192,160
107,-450988864.0,7687512.0,192,160
108,-451826304.0,-190390416.0,192,160
109,-451826304.0,161420208.0,192,160
110,-451826304.0,-198213776.0,192,160
111,-452181184.0,-106645808.0,192,160
112,-452181184.0,-133036904.0,192,160
113,-452181184.0,9724852.0,192,160
114,-452367936.0,-74207320.0,192,160
115,-452367936.0,69854992.0,192,160
116,-453010176.0,-145105600.0,192,160
117,-453010176.0,-234282688.0,192,160
118,-453108320.0,83070824.0,192,160
119,-453728448.0,288246720.0,192,160
120,-453728448.0,50465452.0,192,160
121,-453906048.0,127789320.0,192,160
122,-453906048.0,-22521212.0,192,160
123,-454011232.0,1414195.75,192,160
124,-454011232.0,-141789024.0,192,160
125,-454235200.0,-100980488.0,192,160
126,-454331904.0,7677754.0,192,160
127,-454618976.0,-38028212.0,192,160
128,-455054016.0,-147507328.0,192,160
129,-455055936.0,-39257424.0,192,160
130,-455296896.0,-129682288.0,192,160
131,-455312320.0,-211961328.0,192,160
132,-455451392.0,-280824224.0,192,160
133,-455576416.0,90510976.0,192,160
134,-455642048.0,81168952.0,192,160
135,-456148704.0,-182259760.0,192,160
136,-456500064.0,-184154224.0,192,160
137,-457373312.0,-6092742.5,192,160
138,-457373312.0,-68858872.0,192,160
139,-457373312.0,-213358848.0,192,160
140,-457712192.0,-205035296.0,192,160
141,-457712192.0,77333952.0,192,160
142,-457728832.0,150453920.0,192,160
143,-457879584.0,285811104.0,192,160
144,-458313984.0,59724156.0,192,160
145,-458313984.0,-96109112.0,192,160
146,-458313984.0,-265561104.0,192,160
147,-458313984.0,-193197168.0,192,160
148,-458313984.0,-161770416.0,192,160
149,-458387712.0,56626964.0,192,160
150,-458387712.0,-275966944.0,192,160
151,-458387712.0,-267757104.0,192,160
152,-458387712.0,-199507152.0,192,160
153,-458387712.0,-32274424.0,192,160
154,-458387712.0,-193234176.0,192,160
155,-458387712.0,-302425056.0,192,160
156,-458387712.0,-172138800.0,192,160
157,-458387712.0,-187048384.0,192,160
158,-458446784.0,-231962384.0,192,160
159,-458635200.0,-275153280.0,192,160
160,-458884992.0,-169552912.0,192,160
161,-459091584.0,-183365568.0,192,160
162,-459467616.0,-340631456.0,192,160
163,-459814208.0,-315419712.0,192,160
164,-460067456.0,-330509120.0,192,160
165,-460304384.0,-279892288.0,192,160
166,-460607744.0,-191513648.0,192,160
167,-461000128.0,236057776.0,192,160
168,-461000128.0,1310194688.0,192,160
169,-461412736.0,1181183488.0,192,160
170,-461578112.0,898086848.0,192,160
171,-461677632.0,123664488.0,192,160
172,-462007360.0,-191253440.0,192,160
173,-462435584.0,-123707320.0,192,160
174,-462435584.0,-319113952.0,192,160
175,-462502784.0,-225939056.0,192,160
176,-462815520.0,210902432.0,192,160
177,-463184000.0,378914848.0,192,160
178,-463232096.0,-95135968.0,192,160
179,-463232096.0,-118308528.0,192,160
180,-463659808.0,-56167268.0,192,160
181,-464051840.0,48995276.0,192,160
182,-464090432.0,-206157952.0,192,160
183,-464389632.0,-166368224.0,192,160
184,-464389632.0,205274144.0,192,160
185,-464389632.0,395052512.0,192,160
186,-464393824.0,44343584.0,192,160
187,-464393824.0,-48134136.0,192,160
188,-464393824.0,-111070112.0,192,160
189,-464393824.0,116111016.0,192,160
190,-464468800.0,67370072.0,192,160
191,-464468800.0,24008846.0,192,160
192,-464534784.0,-178858240.0,192,160
193,-464570976.0,-50415696.0,192,160
194,-464809696.0,-183298720.0,192,160
195,-464809696.0,-167620160.0,192,160
196,-464954944.0,28370306.0,192,160
197,-464954944.0,-9931049.0,192,160
198,-464954944.0,109085512.0,192,160
199,-464954944.0,62460384.0,192,160
200,-464954944.0,-77997464.0,192,160
201,-465021504.0,-101416112.0,192,160
202,-465078144.0,-9431722.0,192,160
203,-465078144.0,-40783636.0,192,160
204,-465078144.0,-126927368.0,192,160
205,-465078144.0,-27839092.0,192,160
206,-465078144.0,-87947272.0,192,160
207,-465078144.0,-89962072.0,192,160
208,-465146496.0,-25525476.0,192,160
209,-465146496.0,-183616160.0,192,160
210,-465328192.0,112802224.0,192,160
211,-465328192.0,-165747920.0,192,160
212,-465381248.0,-189288896.0,192,160
213,-465616320.0,-91548696.0,192,160
214,-465616320.0,-154346432.0,192,160
215,-465863456.0,12483317.0,192,160
216,-465987648.0,-301007616.0,192,160
217,-466008416.0,-184950048.0,192,160
218,-466008416.0,-195837104.0,192,160
219,-466019072.0,-200167888.0,192,160
220,-466019072.0,-268634624.0,192,160
221,-466059424.0,-268327168.0,192,160
222,-466074240.0,-259307392.0,192,160
223,-466110272.0,-205036560.0,192,160
224,-466110272.0,-202395504.0,192,160
225,-466152448.0,-144802736.0,192,160
226,-466173760.0,-175477712.0,192,160
227,-466175968.0,-241812720.0,192,160
228,-466223616.0,-258824000.0,192,160
