2026-05-13 08:31:41 | INFO | elec.pipeline | 已加载数据文件: /research/elec_remote_runs/v0.51/jupyter-20260513T083916Z/project/total.csv
2026-05-13 08:31:41 | INFO | elec.pipeline | 训练算法: HYBRID_PSO_V040
2026-05-13 08:31:41 | INFO | elec.pipeline | 政策来源文件数: 18
2026-05-13 08:31:41 | INFO | elec.pipeline | 政策候选规则数: 36
2026-05-13 08:31:41 | INFO | elec.pipeline | 政策正式规则数: 36
2026-05-13 08:31:41 | INFO | elec.pipeline | 滚动重训窗口数: 10
2026-05-13 08:31:41 | INFO | elec.train | 开始执行 v0.51 训练模块。
2026-05-13 08:32:54 | INFO | elec.train | 训练模块执行完成。
2026-05-13 08:32:54 | INFO | elec.evaluate | 开始执行验证模块。
2026-05-13 08:32:55 | INFO | elec.evaluate | 验证模块执行完成。
2026-05-13 08:32:55 | INFO | elec.backtest | 开始执行 v0.51 回测模块。
2026-05-13 08:44:54 | INFO | elec.backtest | 回测模块执行完成。
