window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-316818944.0,1515111424.0,92428440.0,4111762.5
window_02,-262393008.0,1546842624.0,555403264.0,5562520.5
window_03,-302471712.0,1991376640.0,-54812356.0,4702762.5
window_04,-357111040.0,1863870592.0,-155793200.0,6906142.5
window_05,-461108352.0,1596494848.0,8322834.0,5948889.0
window_06,-491388224.0,1201393536.0,86975032.0,4344104.5
window_07,-436796416.0,1229129216.0,163536480.0,3414225.25
window_08,-430873536.0,1356107520.0,168809200.0,4008889.25
window_09,-471502400.0,988692096.0,363588384.0,3318836.0
window_10,-487917888.0,1034297728.0,94898584.0,3899982.5
