window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-316494208.0,1515610496.0,91932512.0,4110840.0
window_02,-271301056.0,1546136960.0,556110208.0,5913547.0
window_03,-301608704.0,1992010624.0,-55445452.0,4703091.0
window_04,-356122752.0,1874162048.0,-166093712.0,6949667.0
window_05,-459014528.0,1595854208.0,8964061.0,5968077.5
window_06,-494744192.0,1194792960.0,93575896.0,4248183.5
window_07,-437980512.0,1230961152.0,161704912.0,3413979.25
window_08,-433805824.0,1352870528.0,172045696.0,4012133.75
window_09,-470351904.0,989155840.0,363125856.0,3322706.25
window_10,-470612736.0,1036527808.0,92669096.0,3913908.75
