iteration,best_score,mean_score,upper_particles,lower_particles
1,-168490560.0,1709435776.0,192,160
2,-189278048.0,819841152.0,192,160
3,-228079136.0,1267118848.0,192,160
4,-298440416.0,608550464.0,192,160
5,-325357216.0,149810896.0,192,160
6,-370896128.0,72608104.0,192,160
7,-405238560.0,148651104.0,192,160
8,-426354624.0,-91002336.0,192,160
9,-437133120.0,77154616.0,192,160
10,-446539008.0,-53166944.0,192,160
11,-446539008.0,-20259620.0,192,160
12,-450240096.0,-140508800.0,192,160
13,-450240096.0,-99051560.0,192,160
14,-453197824.0,-124020128.0,192,160
15,-453197824.0,-63112376.0,192,160
16,-453710560.0,-135913824.0,192,160
17,-454956576.0,-70426592.0,192,160
18,-455295072.0,-63294796.0,192,160
19,-457529824.0,-55045816.0,192,160
20,-458473856.0,-148565360.0,192,160
21,-459472512.0,-135683360.0,192,160
22,-460784192.0,-120093976.0,192,160
23,-461394560.0,-171178944.0,192,160
24,-461925184.0,104939960.0,192,160
25,-461965696.0,-123165616.0,192,160
26,-462046720.0,-118989624.0,192,160
27,-464029504.0,-169851744.0,192,160
28,-466227712.0,-137452496.0,192,160
29,-468181312.0,-150006752.0,192,160
30,-469090912.0,-243919072.0,192,160
31,-470401024.0,-215814976.0,192,160
32,-470401024.0,-314644320.0,192,160
33,-470401024.0,-27799018.0,192,160
34,-470401024.0,-218927040.0,192,160
35,-470401024.0,-147491584.0,192,160
36,-470401024.0,-260790112.0,192,160
37,-470401024.0,-162107616.0,192,160
38,-470401024.0,-327497536.0,192,160
39,-471107936.0,-334890624.0,192,160
40,-471107936.0,-262573872.0,192,160
41,-471599040.0,-311258464.0,192,160
42,-471599040.0,-233568992.0,192,160
43,-471599040.0,-334329536.0,192,160
44,-471599040.0,-255752416.0,192,160
45,-471601216.0,-269692224.0,192,160
46,-471943936.0,-257873792.0,192,160
47,-471982528.0,-289275296.0,192,160
48,-472301824.0,-192083504.0,192,160
49,-473088896.0,-273114400.0,192,160
50,-473262144.0,-364208736.0,192,160
51,-473874912.0,-375315488.0,192,160
52,-474292224.0,-361420192.0,192,160
53,-474292224.0,-254834288.0,192,160
54,-475034112.0,-365220192.0,192,160
55,-475034112.0,-378276544.0,192,160
56,-475368192.0,-381700992.0,192,160
57,-475487392.0,-320181472.0,192,160
58,-475487392.0,-294659200.0,192,160
59,-475487392.0,-395748704.0,192,160
60,-475976352.0,-386053280.0,192,160
61,-476249664.0,-391296224.0,192,160
62,-476694016.0,-294572128.0,192,160
63,-477176320.0,-388030400.0,192,160
64,-477176320.0,-370679968.0,192,160
65,-477415136.0,-378144576.0,192,160
66,-477711744.0,-386331328.0,192,160
67,-478084512.0,-379975232.0,192,160
