window_name,window_sample_count,window_excess_return_mean,window_excess_return_volatility,window_excess_return_win_rate,window_excess_return_max_drawdown,window_policy_risk_adjusted_mean,window_policy_risk_adjusted_median,window_policy_risk_adjusted_p25,window_policy_risk_adjusted_p75,window_policy_risk_adjusted_volatility,window_policy_risk_adjusted_cvar95,window_policy_risk_adjusted_cvar99,window_policy_risk_adjusted_sharpe,window_sharpe_guard_triggered,window_sharpe_warning,window_metrics_tier,active_excess_return_positive,active_excess_return_persistent,strong_baseline_family_outperformed,excess_return_conclusion
window_01,1,46551776.0,0.0,1.0,0.0,46321441.98064013,46321441.98064013,46321441.98064013,46321441.98064013,0.0,46321441.98064013,46321441.98064013,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_02,1,99870336.0,0.0,1.0,0.0,99594548.10087822,99594548.10087822,99594548.10087822,99594548.10087822,0.0,99594548.10087822,99594548.10087822,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_03,1,34223796.0,0.0,1.0,0.0,33948403.3678425,33948403.3678425,33948403.3678425,33948403.3678425,0.0,33948403.3678425,33948403.3678425,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_04,1,-288284800.0,0.0,0.0,0.0,-289245516.88811475,-289245516.88811475,-289245516.88811475,-289245516.88811475,0.0,-289245516.88811475,-289245516.88811475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_05,1,-219289632.0,0.0,0.0,0.0,-220213231.13811475,-220213231.13811475,-220213231.13811475,-220213231.13811475,0.0,-220213231.13811475,-220213231.13811475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_06,1,-113803176.0,0.0,0.0,0.0,-114539225.76311475,-114539225.76311475,-114539225.76311475,-114539225.76311475,0.0,-114539225.76311475,-114539225.76311475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_07,1,-605616.0,0.0,0.0,0.0,-1378459.700614754,-1378459.700614754,-1378459.700614754,-1378459.700614754,0.0,-1378459.700614754,-1378459.700614754,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_08,1,9495936.0,0.0,1.0,0.0,8604521.986885246,8604521.986885246,8604521.986885246,8604521.986885246,0.0,8604521.986885246,8604521.986885246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_09,1,-927392.0,0.0,0.0,0.0,-1695957.075614754,-1695957.075614754,-1695957.075614754,-1695957.075614754,0.0,-1695957.075614754,-1695957.075614754,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_10,1,-2105752.0,0.0,0.0,0.0,-2744944.388114754,-2744944.388114754,-2744944.388114754,-2744944.388114754,0.0,-2744944.388114754,-2744944.388114754,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
