window_name,strategy,total_procurement_cost,total_profit,weekly_cost_volatility,cvar99,hedge_error,avg_adjustment_mwh,mean_reward,max_drawdown,feasible_domain_trigger_weeks
window_01,window_01_test,1516121728.0,91408440.0,0.0,4111038.25,0.7026235461235046,218.19701502436683,43130640.0,0.0,1
window_02,window_02_test,1546240768.0,555989248.0,0.0,5565762.5,0.7056710124015808,342.957248040608,95864800.0,0.0,1
window_03,window_03_test,1991718144.0,-55168720.0,0.0,4703073.0,0.6957437992095947,302.5363492057437,31175876.0,0.0,1
window_04,window_04_test,1870861312.0,-162806944.0,0.0,6928189.5,0.5192371010780334,260.31076181502567,-290456960.0,0.0,1
window_05,window_05_test,1599338752.0,5464559.0,0.0,5956044.0,0.5063902735710144,287.63947654905775,-227572272.0,0.0,1
window_06,window_06_test,1204412800.0,83945360.0,0.0,4285275.5,0.5206158757209778,245.48524739628746,-126937800.0,0.0,1
window_07,window_07_test,1229009408.0,163642736.0,0.0,3413215.25,0.5310894846916199,291.7089721588861,-1644823.75,0.0,1
window_08,window_08_test,1353227008.0,171678896.0,0.0,4012659.25,0.513805627822876,202.89903855323792,5643353.0,0.0,1
window_09,window_09_test,988243648.0,364026336.0,0.0,3324174.25,0.5328388214111328,228.5643623442877,-2940541.0,0.0,1
window_10,window_10_test,1036149376.0,93040576.0,0.0,3916954.0,0.5282832384109497,189.13304977416993,-4909553.5,0.0,1
