window_name,window_sample_count,window_excess_return_mean,window_excess_return_volatility,window_excess_return_win_rate,window_excess_return_max_drawdown,window_policy_risk_adjusted_mean,window_policy_risk_adjusted_median,window_policy_risk_adjusted_p25,window_policy_risk_adjusted_p75,window_policy_risk_adjusted_volatility,window_policy_risk_adjusted_cvar95,window_policy_risk_adjusted_cvar99,window_policy_risk_adjusted_sharpe,window_sharpe_guard_triggered,window_sharpe_warning,window_metrics_tier,active_excess_return_positive,active_excess_return_persistent,strong_baseline_family_outperformed,excess_return_conclusion
window_01,1,46027704.0,0.0,1.0,0.0,45808314.79314013,45808314.79314013,45808314.79314013,45808314.79314013,0.0,45808314.79314013,45808314.79314013,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_02,1,99749376.0,0.0,1.0,0.0,99491184.74150322,99491184.74150322,99491184.74150322,99491184.74150322,0.0,99491184.74150322,99491184.74150322,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_03,1,34500528.0,0.0,1.0,0.0,34240496.1334675,34240496.1334675,34240496.1334675,34240496.1334675,0.0,34240496.1334675,34240496.1334675,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_04,1,-284998048.0,0.0,0.0,0.0,-285947076.76311475,-285947076.76311475,-285947076.76311475,-285947076.76311475,0.0,-285947076.76311475,-285947076.76311475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_05,1,-222789136.0,0.0,0.0,0.0,-223693593.88811475,-223693593.88811475,-223693593.88811475,-223693593.88811475,0.0,-223693593.88811475,-223693593.88811475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_06,1,-123433712.0,0.0,0.0,0.0,-124146187.95061475,-124146187.95061475,-124146187.95061475,-124146187.95061475,0.0,-124146187.95061475,-124146187.95061475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_07,1,1332208.0,0.0,1.0,0.0,581116.1118852459,581116.1118852459,581116.1118852459,581116.1118852459,0.0,581116.1118852459,581116.1118852459,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_08,1,9129136.0,0.0,1.0,0.0,8256693.236885246,8256693.236885246,8256693.236885246,8256693.236885246,0.0,8256693.236885246,8256693.236885246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_09,1,-26912.0,0.0,0.0,0.0,-774069.1381147541,-774069.1381147541,-774069.1381147541,-774069.1381147541,0.0,-774069.1381147541,-774069.1381147541,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_10,1,-1734272.0,0.0,0.0,0.0,-2360130.013114754,-2360130.013114754,-2360130.013114754,-2360130.013114754,0.0,-2360130.013114754,-2360130.013114754,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
