iteration,best_score,mean_score,upper_particles,lower_particles
1,-209731680.0,8702448640.0,192,160
2,-296146624.0,473677504.0,192,160
3,-394787584.0,-89058864.0,192,160
4,-442553344.0,-164057776.0,192,160
5,-472824768.0,-99343376.0,192,160
6,-499453248.0,444630048.0,192,160
7,-557439680.0,1215832704.0,192,160
8,-576487424.0,3068620032.0,192,160
9,-576487424.0,2040883456.0,192,160
10,-604849984.0,1179269760.0,192,160
11,-604849984.0,1362915584.0,192,160
12,-604849984.0,2374410240.0,192,160
13,-604849984.0,2437149184.0,192,160
14,-604849984.0,1292340224.0,192,160
15,-605448064.0,1178084736.0,192,160
16,-605448064.0,1448547072.0,192,160
17,-608568320.0,1412118016.0,192,160
18,-615886528.0,1722547456.0,192,160
19,-615886528.0,1594054656.0,192,160
20,-618207424.0,1328311808.0,192,160
21,-618207424.0,1626163712.0,192,160
22,-618207424.0,1294932992.0,192,160
23,-618207424.0,1030644032.0,192,160
24,-618207424.0,857406848.0,192,160
25,-618207424.0,878129344.0,192,160
26,-618207424.0,707422784.0,192,160
27,-618794752.0,1455013376.0,192,160
28,-619034496.0,1020813760.0,192,160
29,-625661312.0,530076960.0,192,160
30,-625828224.0,287700320.0,192,160
31,-632068224.0,634079040.0,192,160
32,-633980480.0,1122176384.0,192,160
33,-633980480.0,1137136896.0,192,160
34,-633980480.0,786682048.0,192,160
35,-634080640.0,448777088.0,192,160
36,-634080640.0,307102528.0,192,160
37,-635236160.0,404887584.0,192,160
38,-635236160.0,672382848.0,192,160
39,-635236160.0,819062400.0,192,160
40,-635236160.0,569788160.0,192,160
41,-635236160.0,348468864.0,192,160
42,-640157056.0,297690272.0,192,160
43,-640157056.0,545574656.0,192,160
44,-641596160.0,427308768.0,192,160
45,-641596160.0,681257408.0,192,160
46,-641596160.0,477102112.0,192,160
47,-643551232.0,611248384.0,192,160
48,-643551232.0,720167424.0,192,160
49,-645175744.0,733510656.0,192,160
50,-645688448.0,-59211660.0,192,160
51,-646582336.0,230982560.0,192,160
52,-646582336.0,335711712.0,192,160
53,-647412416.0,331199296.0,192,160
54,-647412416.0,373076992.0,192,160
55,-647412416.0,98227776.0,192,160
56,-649099264.0,-84389040.0,192,160
57,-649099264.0,186813136.0,192,160
58,-649099264.0,-40859600.0,192,160
59,-649099264.0,-223779728.0,192,160
60,-649231296.0,-207146928.0,192,160
61,-650902784.0,-52473560.0,192,160
62,-651765760.0,-154971968.0,192,160
63,-652304768.0,-24007816.0,192,160
64,-652304768.0,-208553536.0,192,160
65,-652304768.0,-75624816.0,192,160
66,-652304768.0,48932072.0,192,160
67,-652304768.0,32244270.0,192,160
68,-653280768.0,-183407312.0,192,160
69,-653280768.0,-273035936.0,192,160
