window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-428508608.0,1514470144.0,92993600.0,4053847.5
window_02,-432347872.0,1658974336.0,443127168.0,5565294.5
window_03,-479393920.0,2026935808.0,-90480448.0,4686176.5
window_04,-533062144.0,1559693312.0,148745248.0,4299355.5
window_05,-658311040.0,1332621056.0,272489728.0,4683970.5
window_06,-677224448.0,1063721216.0,224841632.0,3630592.0
window_07,-710091264.0,1205098880.0,187602560.0,3382244.25
window_08,-746543424.0,1352677248.0,172398512.0,3720245.75
window_09,-771072128.0,961128896.0,391374304.0,3606741.5
window_10,-781918720.0,1040573760.0,88703608.0,3713310.5
