window_name,window_sample_count,window_excess_return_mean,window_excess_return_volatility,window_excess_return_win_rate,window_excess_return_max_drawdown,window_policy_risk_adjusted_mean,window_policy_risk_adjusted_median,window_policy_risk_adjusted_p25,window_policy_risk_adjusted_p75,window_policy_risk_adjusted_volatility,window_policy_risk_adjusted_cvar95,window_policy_risk_adjusted_cvar99,window_policy_risk_adjusted_sharpe,window_sharpe_guard_triggered,window_sharpe_warning,window_metrics_tier,active_excess_return_positive,active_excess_return_persistent,strong_baseline_family_outperformed,excess_return_conclusion
window_01,1,47591872.0,0.0,1.0,0.0,47383704.10564013,47383704.10564013,47383704.10564013,47383704.10564013,0.0,47383704.10564013,47383704.10564013,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_02,1,-24509184.0,0.0,0.0,0.0,-24632330.31318428,-24632330.31318428,-24632330.31318428,-24632330.31318428,0.0,-24632330.31318428,-24632330.31318428,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_03,1,-2844736.0,0.0,0.0,0.0,-3009596.3196574943,-3009596.3196574943,-3009596.3196574943,-3009596.3196574943,0.0,-3009596.3196574943,-3009596.3196574943,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_04,1,21227040.0,0.0,1.0,0.0,21176229.377510246,21176229.377510246,21176229.377510246,21176229.377510246,0.0,21176229.377510246,21176229.377510246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_05,1,38177280.0,0.0,1.0,0.0,37988781.81501025,37988781.81501025,37988781.81501025,37988781.81501025,0.0,37988781.81501025,37988781.81501025,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_06,1,16169632.0,0.0,1.0,0.0,15948659.205635246,15948659.205635246,15948659.205635246,15948659.205635246,0.0,15948659.205635246,15948659.205635246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_07,1,23333120.0,0.0,1.0,0.0,22902306.518135246,22902306.518135246,22902306.518135246,22902306.518135246,0.0,22902306.518135246,22902306.518135246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_08,1,8772784.0,0.0,1.0,0.0,8346890.986885246,8346890.986885246,8346890.986885246,8346890.986885246,0.0,8346890.986885246,8346890.986885246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_09,1,24097376.0,0.0,1.0,0.0,23779780.893135246,23779780.893135246,23779780.893135246,23779780.893135246,0.0,23779780.893135246,23779780.893135246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_10,1,-2286472.0,0.0,0.0,0.0,-2650801.638114754,-2650801.638114754,-2650801.638114754,-2650801.638114754,0.0,-2650801.638114754,-2650801.638114754,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
