datetime,省调负荷_日前,新能源负荷-总加_日前,新能源负荷-光伏_日前,新能源负荷-风电_日前,联络线总加_日前,非市场化机组出力_日前,水电出力_日前,全网总出力_日前,全网统一出清价格_日前,省调负荷_日内,新能源负荷-总加_日内,新能源负荷-光伏_日内,新能源负荷-风电_日内,联络线总加_日内,非市场化机组出力_日内,水电出力_日内,全网总出力_日内,全网统一出清价格_日内
2025-11-01T00:00:00,19839,4617,0,4617,7307,5103.94,3081,12532,290.4174,20128,3517.17,0,3517.17,5503.3,5016.13,3200.78,14624.5,409.1999
2025-11-01T00:15:00,23213,4103,0,4103,6876,6764.74,4991,16337,360.695,23718,3855.67,0,3855.67,6902.41,7331.4,4943.94,16815.7,372.5487
2025-11-01T00:30:00,23016,4046,0,4046,6804,6913.14,4498,16212,360.695,23507,3837.34,0,3837.34,6787.94,7515.06,5120.81,16718.9,372.5487
2025-11-01T00:45:00,22656,3992,0,3992,6732,6816.32,4404,15924,360.695,23138,3716.29,0,3716.29,7052.5,6942.5,4836.07,16085.5,372.5487
2025-11-01T01:00:00,22231,3932,0,3932,6661,6770.47,4107,15570,360.695,22492,3856.86,0,3856.86,6661.28,6561.67,4462.26,15830.3,372.5487
2025-11-01T01:15:00,21773,3874,0,3874,6589,6979.52,4098,15184,345.765,21934,3755.33,0,3755.33,6233.28,6440.05,4393.25,15700.7,381.77
2025-11-01T01:30:00,21511,3828,0,3828,6517,7154.31,3612,14994,345.765,21495,3646.72,0,3646.72,6094.01,6450.17,4396.24,15401.4,381.77
2025-11-01T01:45:00,21250,3781,0,3781,6445,7156.8,3473,14805,345.765,21284,3775.01,0,3775.01,5987.76,6359.86,4326.12,15296.4,381.77
2025-11-01T02:00:00,20890,3734,0,3734,6373,6576.12,3143,14517,345.765,20938,3755.01,0,3755.01,6092.98,5894.64,3802.8,14845.2,381.77
2025-11-01T02:15:00,20464,3704,0,3704,6301,5989.37,2946,14163,364.51,20444,3676.14,0,3676.14,6021.73,5371.83,3327.56,14421.8,385.45
2025-11-01T02:30:00,20202,3684,0,3684,6301,5737.74,2646,13901,364.51,20312,3821.27,0,3821.27,5922.54,5170.09,3036.52,14389,385.45
2025-11-01T02:45:00,20006,3667,0,3667,6301,5736.75,2647,13705,364.51,20069,3748.15,0,3748.15,5928.71,5105.77,2995.85,14140.2,385.45
2025-11-01T03:00:00,19845,3654,0,3654,6301,5746.12,2656,13544,364.51,19711,3757.3,0,3757.3,5909.34,4960.52,2893.44,13801.9,385.45
2025-11-01T03:15:00,19717,3643,0,3643,6301,5699.91,2388,13416,365.635,19818,3744.69,0,3744.69,5745.61,5259.1,3085.2,14072.7,165.4451
2025-11-01T03:30:00,19573,3642,0,3642,6301,5698.96,2387,13272,365.635,19379,3395.49,0,3395.49,5973.77,5230.82,3081.18,13404.9,165.4451
2025-11-01T03:45:00,19381,3645,0,3645,6301,5702.24,2390,13080,365.635,19375,3194.93,0,3194.93,6079.36,5279.98,3129.51,13295.8,165.4451
2025-11-01T04:00:00,19333,3646,0,3646,6301,5716.59,2402,13032,365.635,19267,4000.15,0,4000.15,5614.62,4999.33,2833.12,13652.6,165.4451
2025-11-01T04:15:00,19142,3657,0,3657,6301,5693.55,2382,12841,370.63,19298,4078.83,0,4078.83,5869.66,4531.53,2562.85,13428.2,358.1809
2025-11-01T04:30:00,19222,3656,0,3656,6373,5697.86,2383,12849,370.63,19086,4172.07,0,4172.07,5587.46,4578.92,2565.88,13498.2,358.1809
2025-11-01T04:45:00,19142,3665,0,3665,6445,5693.57,2376,12697,370.63,19279,4264.3,0,4264.3,5333.64,4616.09,2557.61,13945,358.1809
2025-11-01T05:00:00,19206,3668,0,3668,6517,5691.59,2374,12689,370.63,19103,4237.57,0,4237.57,5338.67,4668.93,2571.58,13764.6,358.1809
2025-11-01T05:15:00,19222,3668,0,3668,6589,5688.06,2370,12633,365.6352,19324,4342.52,0,4342.52,5530.75,4770.91,2529.45,13793.5,82.7225
2025-11-01T05:30:00,19333,3660,0,3660,6661,5705.48,2388,12672,365.6352,19453,4047.26,0,4047.26,5936.31,4793.17,2514.27,13516.3,82.7225
2025-11-01T05:45:00,19413,3653,0,3653,6732,5706.07,2389,12681,365.6352,19619,3542.82,0,3542.82,6020.92,5117.35,2903.31,13597.6,82.7225
2025-11-01T06:00:00,19605,3644,0,3644,6804,5864.99,2461,12801,365.6352,19531,3473.12,0,3473.12,6049.88,5152.58,2958.34,13481.1,82.7225
2025-11-01T06:15:00,19843,3627,2,3625,6876,6557.27,2717,12967,376.8301,19162,3523.86,22.07,3501.79,6156.39,4983.81,2988.6,13005.8,0
2025-11-01T06:30:00,20235,3606,4,3602,6960,7129.11,3155,13275,376.8301,19366,3457.69,22.78,3434.91,6687.98,4709.46,2683.26,12677.8,0
2025-11-01T06:45:00,20595,3599,25,3574,7044,7589.58,3355,13551,376.8301,20016,3190,0,3190,7123.72,5196.11,3147.86,12891.9,0
2025-11-01T07:00:00,21544,3613,70,3543,7127,7662.24,3713,14417,376.8301,20799,3162.5,58.22,3104.28,7442.66,5394.76,3223,13356.7,0
2025-11-01T07:15:00,22427,3630,139,3491,7212,7747.33,4310,15215,391.7752,21395,3041.46,177.79,2863.67,7352.95,6049.19,3835.19,14041.5,0
2025-11-01T07:30:00,22984,3682,249,3433,7127,7812.67,4613,15857,391.7752,21913,3126.05,367.24,2758.81,7345.87,6538.19,4106.94,14566.6,0
2025-11-01T07:45:00,23474,3767,395,3372,7043,8049.66,4769,16431,391.7752,22426,3073.59,634.02,2439.57,7117.65,7523.34,4944.94,15278.9,0
2025-11-01T08:00:00,24043,3881,594,3287,6959,8188.7,4782,17084,391.7752,22842,3407.41,912.89,2494.52,7210.56,7772.29,5072.47,15631.8,0
2025-11-01T08:15:00,24528,4034,825,3209,6874,8384.53,4827,17654,395.3025,23267,3678.06,1209.71,2468.35,7013.98,8246.97,5309.19,16253.1,0
2025-11-01T08:30:00,24879,4205,1075,3130,6894,8323.47,4821,17985,395.3025,23664,3964.35,1529.94,2434.41,7166.93,8349.13,5099.22,16497.5,0
2025-11-01T08:45:00,25119,4374,1335,3039,6916,8343.13,4871,18203,395.3025,23657,4067.71,1846.36,2221.35,6934.84,8744.63,5203.64,16721.8,0
2025-11-01T09:00:00,25231,4524,1579,2945,6936,8282.22,4866,18295,395.3025,23775,4256.34,2126.19,2130.15,7099.27,8668.04,4919.09,16675.4,0
2025-11-01T09:15:00,25343,4668,1810,2858,6958,8328.93,4966,18385,395.5252,23966,4415.33,2381.96,2033.37,7121.31,8704.97,4727.85,16844.4,166.445
2025-11-01T09:30:00,25343,4805,2035,2770,7002,8137.22,4976,18341,395.5252,23972,5206.01,2951.93,2254.08,6817.5,8330.77,4215.12,17154.3,166.445
2025-11-01T09:45:00,25240,4937,2259,2678,7046,7949.65,4991,18194,395.5252,24398,5553.7,3392.7,2161,6708.52,8561.69,4340.42,17689.8,166.445
2025-11-01T10:00:00,25326,5076,2486,2590,7089,7778.19,4937,18237,395.5252,24126,5577.01,3550.88,2026.13,6758.36,8288.5,3985.41,17368,166.445
2025-11-01T10:15:00,25566,5192,2686,2506,7132,7788.58,4955,18434,397.525,24034,5887.51,3834.59,2052.92,6780.18,8046.81,3483.3,17253.8,165.445
2025-11-01T10:30:00,25806,5310,2878,2432,7148,7445.56,4905,18658,397.525,24404,6286.59,4307.87,1978.72,7006.38,8062.73,3130.66,17397.3,165.445
2025-11-01T10:45:00,26094,5405,3053,2352,7164,7278.19,4910,18930,397.525,24821,6271.44,4549.2,1722.24,6913.89,9005.07,3427.1,17907.2,165.445
2025-11-01T11:00:00,26445,5507,3229,2278,7180,7091.41,4909,19265,397.525,24922,6197.58,4592.38,1605.2,6820.81,9560.93,3759.91,18100.7,165.445
2025-11-01T11:15:00,26701,5579,3373,2206,7102,6901.15,4909,19599,285.7276,25179,7313.02,5374.96,1938.06,6408.72,9120.82,3173.77,18770.4,97.5975
2025-11-01T11:30:00,25982,5642,3506,2136,6997,7002.81,4910,18985,285.7276,24994,6997.43,5279.63,1717.8,6685.54,9090.17,3177.49,18308.6,97.5975
2025-11-01T11:45:00,25343,5676,3601,2075,6963,7070.55,4912,18380,285.7276,24462,6723.24,5152.45,1570.79,6338.85,9416.7,3354.04,18123.1,97.5975
2025-11-01T12:00:00,24991,5681,3667,2014,6928,7089.78,4880,18063,285.7276,24117,6540.4,5209.77,1330.63,6489.04,9594.7,3355.07,17627.9,97.5975
2025-11-01T12:15:00,26429,5685,3721,1964,6916,7147.76,4899,19513,375.5248,25482,6692.83,5359.43,1333.4,6839.75,10520.83,3745.63,18642.4,0
2025-11-01T12:30:00,26717,5682,3754,1928,6917,7192.41,4911,19800,375.5248,25232,6538.36,5277.41,1260.95,6903.27,10449.37,3599.93,18328.9,0
2025-11-01T12:45:00,26158,5626,3734,1892,6917,6951.8,4669,19241,375.5248,24985,6625.2,5350.61,1274.59,6704.92,10320.55,3601.15,18280.5,0
2025-11-01T13:00:00,25902,5565,3705,1860,6917,6710.25,4437,18985,375.5248,24742,6426.81,5182.71,1244.1,6847.22,10050.44,3435.39,17894.3,0
2025-11-01T13:15:00,25902,5464,3630,1834,6918,6412.26,4178,18984,167.445,24927,6196.91,4988.51,1208.4,6843.19,10341.98,3578.25,18083.4,0
2025-11-01T13:30:00,25438,5373,3548,1825,6918,6368.78,4177,18520,167.445,24939,6053.41,4807.84,1245.57,6981.47,10251.79,3767.12,17953.4,0
2025-11-01T13:45:00,25247,5264,3439,1825,6918,6296.02,4177,18329,167.445,24957,5891.2,4657.94,1233.26,7091.3,10023.32,3802.18,17885.3,0
2025-11-01T14:00:00,24432,5122,3295,1827,6918,6309.78,4271,17514,167.445,23990,5532.33,4340.15,1192.18,6878.29,9367.2,3647.99,17112.1,0
2025-11-01T14:15:00,24176,4980,3141,1839,6918,6260.26,4322,17258,279.1674,23190,5667,4327.5,1339.5,6715.15,8342.91,3192.53,16474.8,148.8916
2025-11-01T14:30:00,24032,4818,2958,1860,6921,6436.2,4320,17111,279.1674,23032,5824.48,4311.05,1513.43,6522.48,7794.89,3037.13,16509.6,148.8916
2025-11-01T14:45:00,23936,4650,2764,1886,6923,6615.84,4320,17013,279.1674,22986,5746.75,4123.82,1622.93,6157.88,7764.2,3267.07,16828.3,148.8916
2025-11-01T15:00:00,24000,4477,2557,1920,6925,6776.65,4309,17075,279.1674,23168,5680.78,3910.08,1770.7,5889.07,7914.22,3479.14,17279.3,148.8916
2025-11-01T15:15:00,24112,4293,2343,1950,6927,7240.16,4602,17185,400.2649,23391,5650.74,3643.44,2007.3,6009.67,7607.18,3463.99,17381.3,384.3999
2025-11-01T15:30:00,24304,4120,2131,1989,7008,7543.19,4914,17296,400.2649,23398,5260.98,3170.56,2090.42,6227.58,7389.27,3497.94,17170.6,384.3999
2025-11-01T15:45:00,24416,3923,1889,2034,7090,7518.43,4919,17326,400.2649,23712,4910.4,2720.6,2189.8,6199.26,7082.72,3428.9,17512.6,384.3999
2025-11-01T16:00:00,24543,3747,1668,2079,7100,8206.59,5390,17443,400.2649,23851,4645.97,2439.5,2206.47,6408.4,7264.52,3840.46,17442.3,384.3999
2025-11-01T16:15:00,24751,3565,1436,2129,7110,8539.45,5610,17641,350.7601,23953,4104.82,2012.54,2092.28,6936.66,8044.42,4618.98,17016,0
2025-11-01T16:30:00,25087,3382,1204,2178,7139,8780.77,5801,17948,350.7601,24353,3502.4,1566.48,1935.92,7280.21,8773.34,5511.91,17072.5,0
2025-11-01T16:45:00,25630,3213,985,2228,7168,9126.98,6311,18462,350.7601,25039,3680.56,1165.34,2515.22,7472.52,9051.98,6027.62,17566.7,0
2025-11-01T17:00:00,25732,3068,791,2277,7196,9580.8,6906,18536,350.7601,25014,3469.22,885.16,2584.06,7262.92,9289.17,6440.17,17751.3,0
2025-11-01T17:15:00,26354,2937,600,2337,7226,9973,7433,19128,176.3952,25847,3411.36,634.92,2776.44,7170.25,10078.33,7213.07,18676.3,0.5
