window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-216057792.0,1500799104.0,106786048.0,3463053.25
window_02,-327896544.0,2074434560.0,27071436.0,3801533.75
window_03,-78460560.0,2160790528.0,-224796432.0,3533086.0
window_04,-404275808.0,1500056704.0,208496768.0,3356957.5
window_05,-262583424.0,1266309632.0,338977536.0,3276843.75
window_06,-283841152.0,1014496128.0,274248832.0,2675173.0
window_07,-354508608.0,1131332864.0,261734656.0,2574285.25
window_08,-450421696.0,1322422400.0,202921216.0,2847448.0
window_09,-493183744.0,952445824.0,400217984.0,2810526.5
window_10,-511077600.0,1005325696.0,124177408.0,3053831.25
