#{"t_start": 1776155235.794542, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-7.260505,96,2.12287,1479600618.4408083,1855524.6976394951,259499.2750070136,21.31661338184878,3143672.4788668384
-10.105947,96,3.436567,1496889557.2536154,1902899.7932705192,169840.39740935442,21.31661338184879,3207900.0521773784
-8.59191,96,4.965368,1470840995.5488067,1831705.2740286777,259499.2750070136,21.316613381848782,3111316.0434999615
-7.58046,96,6.299287,1476218847.7585976,1846308.8499889113,77619.39155679737,21.31661338184877,3131156.224276222
-10.541101,96,7.614482,1436640613.5841188,1739773.7370666524,162819.0502116539,21.316613381848757,2985698.4496549484
-8.209047,96,9.003947,1448389450.1768737,2009498.4649423969,13649048.184606751,2019.9764185941194,3411340.220842206
-6.033785,96,10.349792,1431970165.1629438,1727513.3817646084,76123.10758784745,21.316613381848768,2968926.7602638113
-8.135337,96,11.659881,1445900856.5594003,1764338.4528767006,232110.89921915854,21.31661338184875,3019305.916253623
-7.917563,96,13.072725,1484465514.2860804,2102663.661201654,14772943.329076916,2087.096979781212,3541835.330281291
-5.82913,96,14.462632,1431970165.1629438,1727513.3817646084,112993.83652553294,21.316613381848768,2968926.7602638113
-8.556133,96,16.17527,1489626249.6218152,1882926.742262554,202255.97473404533,21.31661338184879,3180831.758757563
-8.819018,96,17.587491,1475708897.2998714,2071643.3055082336,10409254.233813599,1745.0251641387122,3495722.1741572157
-7.30774,96,18.922403,1496889557.2536154,1902899.7932705192,116569.64893529295,21.31661338184879,3207900.0521773784
-3.828834,96,20.36386,1445033313.3289607,1762006.8203658669,87063.7299542015,21.316613381848747,3016105.3421486286
-5.357005,96,21.751857,1527930962.924469,2273320.9509283514,31972886.079950735,3082.8134003642313,3823015.4353985316
-8.212548,96,23.140232,1496889557.2536154,1902899.7932705192,177021.88363010762,21.31661338184879,3207900.0521773784
-4.105165,96,24.491033,1496889557.2536154,1902899.7932705192,81695.49345311998,21.31661338184879,3207900.0521773784
-2.225655,96,25.807583,1476913705.5069506,2071360.4097345406,9830634.162770512,1692.7238842116572,3493980.451083381
-2.124269,96,27.182959,1409024141.998526,1801162.1778252888,3267045.9108178522,956.2616440974172,3087448.9618161535
-4.634332,96,28.488886,1431970165.1629438,1727513.3817646084,239027.3625363681,21.316613381848768,2968926.7602638113
-6.43228,96,30.08487,1474644332.859993,1842030.6648569226,246022.75364871655,21.31661338184877,3125347.462896286
-3.264992,96,31.535956,1426840017.3742673,1923449.3063182754,8043143.196174313,1541.8788374565286,3282237.9615757465
-3.186739,96,33.02542,1444738175.45692,1761213.7952742514,259499.27500701346,21.316613381848747,3015016.508073838
-5.995356,96,34.397905,1459699421.6575925,1992007.1967597904,6650819.53123549,1375.118300465571,3371081.6388707105
-2.141065,96,35.806638,1474372943.7317863,1841293.4750979342,144682.24292236156,21.31661338184877,3124346.2436075658
-4.089322,96,37.169191,1532951407.834792,2291641.7585251946,33144491.201218702,3136.8998726951213,3851393.010802505
-4.210407,96,38.667518,1560062795.4454837,2414282.259532513,43682142.60227178,3495.4660111001403,4039234.5701485006
-5.01617,96,40.10162,1494085001.471098,2124707.490121906,11559930.00208121,1842.4455966343944,3570619.557133935
-5.135311,96,41.64448,1493365652.4922848,1893198.5477424536,225524.79704035074,21.31661338184877,3194754.9460588195
-0.476584,96,43.024456,1476139917.7525785,1846094.3356154677,25655.843286808726,21.31661338184877,3130865.0326393
-3.019136,96,44.169138,1485718744.1799421,1872237.4399856415,85946.31959718728,21.316613381848768,3166348.8712697234
-2.833815,96,45.725394,1436578560.3905938,1739610.661403331,216909.70635881746,21.316613381848757,2985475.615187317
-0.203704,96,47.178541,1431970165.1629438,1727513.3817646084,55791.47115915749,21.316613381848768,2968926.7602638113
