iteration,best_score,temperature,stagnated,bp_steps,bp_loss_before,bp_loss_after,bp_grad_norm_mean,bp_improved_particles,scope,strategy,week_start
0,3534760699.7666955,1.0,False,4,3741557827.626062,3653942231.8215775,242820195.27713323,32,upper,hpso,
1,3525769784.8819613,0.94,False,4,3574627262.0436177,3547546788.398126,202758011.14708203,30,upper,hpso,
2,3523242297.1359973,0.8835999999999999,False,4,3579470046.258702,3543222898.258766,204671797.92197376,31,upper,hpso,
3,3523242297.1359973,0.8305839999999999,False,4,3565721815.428732,3536136918.514226,200887400.01993877,31,upper,hpso,
4,3523150479.3816514,0.7807489599999998,False,4,3550849258.0070295,3532484160.392418,198734605.95446867,29,upper,hpso,
5,3522780871.5014715,0.7339040223999997,False,4,3542287173.970532,3530793032.728394,194887193.2760328,28,upper,hpso,
6,3522780871.5014715,0.6898697810559997,False,4,3538985237.793734,3530263781.5626397,193341431.2980918,27,upper,hpso,
7,3521673369.4848404,0.6484775941926397,False,4,3537119731.739116,3530061193.858901,193431405.41239133,31,upper,hpso,
8,3521673369.4848404,0.6095689385410813,False,4,3537071005.213155,3530045637.389182,192014891.9696713,28,upper,hpso,
9,3520647741.598369,0.5729948022286164,False,4,3535735274.3929887,3529132161.667083,190039728.1574816,26,upper,hpso,
10,3520647741.598369,0.5386151140948994,False,4,3536182228.4762993,3529062853.1722164,190067374.1667545,25,upper,hpso,
11,3520647741.598369,0.5062982072492054,False,4,3535685541.3686547,3528475039.5368423,190707812.15924275,23,upper,hpso,
12,3520429041.276208,0.47592031481425306,False,4,3534048262.4222407,3528460860.4429436,190847670.25271863,24,upper,hpso,
13,3520429041.276208,0.44736509592539786,False,4,3533267010.0489416,3527167416.276435,191304771.15153083,25,upper,hpso,
14,3520429041.276208,0.42052319016987394,False,4,3534444834.174163,3528685940.3602266,193367134.5806597,28,upper,hpso,
15,3518703220.916353,0.3952917987596815,False,4,3533809415.2928243,3529565763.1850977,193754701.5260148,26,upper,hpso,
