week_start,baseline_cost_w,baseline_risk_w
2025-11-03,1414305297.316831,2107056.1334834155
2025-11-10,973409135.2498972,1914321.752848018
2025-11-17,980106528.7544463,1889149.1908907879
2025-11-24,1095155969.6784096,1833263.0708671547
2025-12-01,1465789892.2577844,1816780.9312962012
2025-12-08,1513685149.4546542,2009076.4521637904
2025-12-15,1301246120.644711,1860501.578851113
2025-12-22,1322879860.2895389,1911711.1192049996
2025-12-29,1668962300.6684473,2113900.336156207
2026-01-05,1686850105.08988,2176534.0128411045
2026-01-12,1595331917.9245424,2021519.6119151986
2026-01-19,277476500.0009403,2444338.941204296
2026-01-26,2178938018.4512925,2503096.5061575514
2026-02-02,573162726.1032593,2192357.352534565
2026-02-09,275011238.3368699,2085837.0800833995
2026-02-16,1161275371.9757714,1761369.290256821
2026-02-23,1292259135.5977077,1862202.2703328417
2026-03-02,1444733909.8516793,1883149.5399506837
2026-03-09,1119224647.6187735,1816670.3045151185
2026-03-16,1045367824.5261635,2012202.0224787337
