particle_index,score,weeks_evaluated,unique_weeks_evaluated
0,1525497619.4237344,96,13
1,2050932855.0615857,96,13
2,3362960488.436455,96,13
3,2385004356.15906,96,13
4,1648122610.0938575,96,13
5,1553500115.6138363,96,13
6,1535908618.307499,96,13
7,2276350583.8442664,96,13
8,1522622728.365814,96,13
9,2459161783.280606,96,13
10,1668164036.460622,96,13
11,1514508328.5311086,96,13
12,2628521295.8146787,96,13
13,1513967178.1782455,96,13
14,1576679713.2511387,96,13
15,1534318145.766137,96,13
16,2247916110.796657,96,13
17,1717189054.6435368,96,13
18,1632477064.56018,96,13
19,1876329038.4015007,96,13
20,1540651171.5960662,96,13
21,1719444946.9961216,96,13
22,2109091728.4317887,96,13
23,2290118259.862286,96,13
24,1518537657.721941,96,13
25,2078783883.8325832,96,13
26,2626128530.150863,96,13
27,1532487292.9431007,96,13
28,1569679568.1595929,96,13
29,1529725194.6351254,96,13
30,1724490745.2115679,96,13
31,1514024994.6207206,96,13
32,1572735108.7323034,96,13
33,1782800729.8031752,96,13
34,1637311838.2948763,96,13
35,2591499530.237696,96,13
36,1537638449.984083,96,13
37,1537686969.4870358,96,13
38,1621214624.1852624,96,13
39,1500113652.0848472,96,13
40,1549134786.2692115,96,13
41,1624824579.6661236,96,13
42,1564055884.7061927,96,13
43,1591504898.5227509,96,13
44,1507485481.4884434,96,13
45,1673310887.8795416,96,13
46,1522339323.0845993,96,13
47,1561945899.986002,96,13
0,1505849965.1106713,96,13
1,1738268031.1569889,96,13
2,1912382936.894311,96,13
3,1507264916.6112108,96,13
4,1510122954.5247593,96,13
5,1530417472.8930562,96,13
6,1510497658.426383,96,13
7,1517565896.2437465,96,13
8,1503175357.051194,96,13
9,1773330835.4651039,96,13
10,1506278478.2998974,96,13
11,1509659192.683303,96,13
12,2511036757.7297897,96,13
13,1516149389.9060614,96,13
14,1505231682.7252953,96,13
15,1522311974.299515,96,13
16,1780287457.0686448,96,13
17,1525489851.1566963,96,13
18,1612126661.8861437,96,13
19,1539028261.1819735,96,13
20,1544210664.4266965,96,13
21,1953533139.2319367,96,13
22,1670724825.5258017,96,13
23,2359778174.3894477,96,13
24,1512194800.7724762,96,13
25,1626175976.1206682,96,13
26,1820166786.928067,96,13
27,1511128921.092474,96,13
28,1944279710.501897,96,13
29,1782220008.842376,96,13
30,1539503458.097187,96,13
31,1509200538.884021,96,13
32,1529317403.6219518,96,13
33,1535857808.7439167,96,13
34,1555023248.8445098,96,13
35,1514491332.3204231,96,13
36,1527408342.3583653,96,13
37,1502890809.4314592,96,13
38,1620082953.2957861,96,13
39,1500560085.4487016,96,13
40,1519561127.645956,96,13
41,1502047871.6622696,96,13
42,1507747683.425277,96,13
43,1526098083.2580433,96,13
44,1531568853.554671,96,13
45,1514549424.1680412,96,13
46,1551438984.904334,96,13
47,1520398894.0829403,96,13
0,1508412088.1612027,96,13
1,1500219727.8866332,96,13
2,1507421826.6936684,96,13
3,1508692860.3807468,96,13
4,1593763773.4221172,96,13
5,1711666768.4919026,96,13
6,1507464977.4433787,96,13
7,1506139466.7317467,96,13
8,1554646969.5827475,96,13
9,1505559983.764183,96,13
10,1522511477.1131356,96,13
11,1513420181.4264863,96,13
12,1743943165.712657,96,13
13,1737680748.4985955,96,13
14,1509242401.9134643,96,13
15,1862300291.3497047,96,13
16,1518172749.1307735,96,13
17,1509271001.1154149,96,13
18,1586883906.130314,96,13
19,1518166561.470207,96,13
20,1625900558.882701,96,13
21,1663623836.310004,96,13
22,1507200560.1572826,96,13
23,1498637672.6537716,96,13
24,1940851302.5413027,96,13
25,1507043173.721308,96,13
26,1519930050.001559,96,13
27,1522226168.607198,96,13
28,1505622586.367502,96,13
29,1693903580.1486046,96,13
30,1509943299.879998,96,13
31,1505033166.958601,96,13
32,1504371550.7066276,96,13
33,1503081971.7539246,96,13
34,1510748520.4075801,96,13
35,1512494919.6459827,96,13
36,1884709992.9104311,96,13
37,1547031310.3209088,96,13
38,1514002267.6651275,96,13
39,1500301021.353213,96,13
40,1544446160.6170785,96,13
41,1496091008.4512756,96,13
42,1621896755.0194347,96,13
43,1518065443.7381182,96,13
44,1502237670.5539649,96,13
45,1514786387.7115104,96,13
46,1500015902.4133375,96,13
47,1543832575.9508636,96,13
0,1500083940.3008053,96,13
1,1506493579.0401707,96,13
2,1516651048.594348,96,13
3,1517574772.978165,96,13
4,1503305113.7806165,96,13
5,1499918179.24171,96,13
6,1503977864.511645,96,13
7,1505836346.9681537,96,13
8,1504159907.9546661,96,13
9,1512020004.0047953,96,13
10,1509743316.6257756,96,13
11,1498055884.8606758,96,13
12,1509091282.8249896,96,13
13,1515688565.072316,96,13
14,1505803453.465534,96,13
15,1503681848.9423215,96,13
16,1506176902.577303,96,13
17,1504439018.722049,96,13
18,1505101400.2094357,96,13
19,1507272666.6371777,96,13
20,1532293689.0356877,96,13
