field,available_in_frame,used_for_decision,week_start,strategy
hour,True,True,2026-03-02,hpso_param_policy
hour_index_in_week,True,True,2026-03-02,hpso_param_policy
load_dev,True,False,2026-03-02,hpso_param_policy
net_load_da,True,True,2026-03-02,hpso_param_policy
net_load_da_mwh,True,True,2026-03-02,hpso_param_policy
net_load_id,True,False,2026-03-02,hpso_param_policy
net_load_id_mwh,True,False,2026-03-02,hpso_param_policy
price_spread,True,False,2026-03-02,hpso_param_policy
renewable_dev,True,False,2026-03-02,hpso_param_policy
renewable_ratio_da,True,True,2026-03-02,hpso_param_policy
renewable_ratio_id,True,True,2026-03-02,hpso_param_policy
solar_dev,True,True,2026-03-02,hpso_param_policy
week_end,True,True,2026-03-02,hpso_param_policy
week_start,True,True,2026-03-02,hpso_param_policy
wind_dev,True,True,2026-03-02,hpso_param_policy
全网总出力_日内,True,True,2026-03-02,hpso_param_policy
全网总出力_日前,True,True,2026-03-02,hpso_param_policy
全网统一出清价格_日内,True,False,2026-03-02,hpso_param_policy
全网统一出清价格_日前,True,True,2026-03-02,hpso_param_policy
新能源负荷-光伏_日内,True,True,2026-03-02,hpso_param_policy
新能源负荷-光伏_日前,True,True,2026-03-02,hpso_param_policy
新能源负荷-总加_日内,True,True,2026-03-02,hpso_param_policy
新能源负荷-总加_日前,True,True,2026-03-02,hpso_param_policy
新能源负荷-风电_日内,True,True,2026-03-02,hpso_param_policy
新能源负荷-风电_日前,True,True,2026-03-02,hpso_param_policy
水电出力_日内,True,True,2026-03-02,hpso_param_policy
水电出力_日前,True,True,2026-03-02,hpso_param_policy
省调负荷_日内,True,True,2026-03-02,hpso_param_policy
省调负荷_日前,True,True,2026-03-02,hpso_param_policy
联络线总加_日内,True,True,2026-03-02,hpso_param_policy
联络线总加_日前,True,True,2026-03-02,hpso_param_policy
非市场化机组出力_日内,True,True,2026-03-02,hpso_param_policy
非市场化机组出力_日前,True,True,2026-03-02,hpso_param_policy
hour,True,True,2026-03-09,hpso_param_policy
hour_index_in_week,True,True,2026-03-09,hpso_param_policy
load_dev,True,False,2026-03-09,hpso_param_policy
net_load_da,True,True,2026-03-09,hpso_param_policy
net_load_da_mwh,True,True,2026-03-09,hpso_param_policy
net_load_id,True,False,2026-03-09,hpso_param_policy
net_load_id_mwh,True,False,2026-03-09,hpso_param_policy
price_spread,True,False,2026-03-09,hpso_param_policy
renewable_dev,True,False,2026-03-09,hpso_param_policy
renewable_ratio_da,True,True,2026-03-09,hpso_param_policy
renewable_ratio_id,True,True,2026-03-09,hpso_param_policy
solar_dev,True,True,2026-03-09,hpso_param_policy
week_end,True,True,2026-03-09,hpso_param_policy
week_start,True,True,2026-03-09,hpso_param_policy
wind_dev,True,True,2026-03-09,hpso_param_policy
全网总出力_日内,True,True,2026-03-09,hpso_param_policy
全网总出力_日前,True,True,2026-03-09,hpso_param_policy
全网统一出清价格_日内,True,False,2026-03-09,hpso_param_policy
全网统一出清价格_日前,True,True,2026-03-09,hpso_param_policy
新能源负荷-光伏_日内,True,True,2026-03-09,hpso_param_policy
新能源负荷-光伏_日前,True,True,2026-03-09,hpso_param_policy
新能源负荷-总加_日内,True,True,2026-03-09,hpso_param_policy
新能源负荷-总加_日前,True,True,2026-03-09,hpso_param_policy
新能源负荷-风电_日内,True,True,2026-03-09,hpso_param_policy
新能源负荷-风电_日前,True,True,2026-03-09,hpso_param_policy
水电出力_日内,True,True,2026-03-09,hpso_param_policy
水电出力_日前,True,True,2026-03-09,hpso_param_policy
省调负荷_日内,True,True,2026-03-09,hpso_param_policy
省调负荷_日前,True,True,2026-03-09,hpso_param_policy
联络线总加_日内,True,True,2026-03-09,hpso_param_policy
联络线总加_日前,True,True,2026-03-09,hpso_param_policy
非市场化机组出力_日内,True,True,2026-03-09,hpso_param_policy
非市场化机组出力_日前,True,True,2026-03-09,hpso_param_policy
hour,True,True,2026-03-16,hpso_param_policy
hour_index_in_week,True,True,2026-03-16,hpso_param_policy
load_dev,True,False,2026-03-16,hpso_param_policy
net_load_da,True,True,2026-03-16,hpso_param_policy
net_load_da_mwh,True,True,2026-03-16,hpso_param_policy
net_load_id,True,False,2026-03-16,hpso_param_policy
net_load_id_mwh,True,False,2026-03-16,hpso_param_policy
price_spread,True,False,2026-03-16,hpso_param_policy
renewable_dev,True,False,2026-03-16,hpso_param_policy
renewable_ratio_da,True,True,2026-03-16,hpso_param_policy
renewable_ratio_id,True,True,2026-03-16,hpso_param_policy
solar_dev,True,True,2026-03-16,hpso_param_policy
week_end,True,True,2026-03-16,hpso_param_policy
week_start,True,True,2026-03-16,hpso_param_policy
wind_dev,True,True,2026-03-16,hpso_param_policy
全网总出力_日内,True,True,2026-03-16,hpso_param_policy
全网总出力_日前,True,True,2026-03-16,hpso_param_policy
全网统一出清价格_日内,True,False,2026-03-16,hpso_param_policy
全网统一出清价格_日前,True,True,2026-03-16,hpso_param_policy
新能源负荷-光伏_日内,True,True,2026-03-16,hpso_param_policy
新能源负荷-光伏_日前,True,True,2026-03-16,hpso_param_policy
新能源负荷-总加_日内,True,True,2026-03-16,hpso_param_policy
新能源负荷-总加_日前,True,True,2026-03-16,hpso_param_policy
新能源负荷-风电_日内,True,True,2026-03-16,hpso_param_policy
新能源负荷-风电_日前,True,True,2026-03-16,hpso_param_policy
水电出力_日内,True,True,2026-03-16,hpso_param_policy
水电出力_日前,True,True,2026-03-16,hpso_param_policy
省调负荷_日内,True,True,2026-03-16,hpso_param_policy
省调负荷_日前,True,True,2026-03-16,hpso_param_policy
联络线总加_日内,True,True,2026-03-16,hpso_param_policy
联络线总加_日前,True,True,2026-03-16,hpso_param_policy
非市场化机组出力_日内,True,True,2026-03-16,hpso_param_policy
非市场化机组出力_日前,True,True,2026-03-16,hpso_param_policy
