window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-273798784.0,1500799360.0,106785264.0,3462629.25
window_02,-400555328.0,1625210880.0,477077120.0,4883178.0
window_03,-411021632.0,1976531328.0,-39905716.0,3607147.0
window_04,-406583808.0,1500090624.0,208462592.0,3356887.75
window_05,-534781216.0,1266310272.0,338976896.0,3276842.5
window_06,-559399552.0,1014507520.0,274237344.0,2675109.5
window_07,-625186560.0,1134426624.0,258565792.0,2550025.0
window_08,-717521024.0,1413880320.0,111028232.0,2360423.25
window_09,-766919680.0,952445952.0,400217856.0,2810526.0
window_10,-784502656.0,953587200.0,175617312.0,2523932.25
