week_start,contract_adjustment_ratio_min,contract_adjustment_ratio_max,exposure_band_ratio_min,exposure_band_ratio_max,max_hourly_hedge_share,max_hourly_ramp_share,non_negative_position_required,feasible_domain_triggered,bound_reason_code
2025-10-27,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2025-11-03,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2025-11-10,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2025-11-17,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2025-11-24,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2025-12-01,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2025-12-08,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2025-12-15,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2025-12-22,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2025-12-29,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2026-01-05,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2026-01-12,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2026-01-19,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2026-01-26,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2026-02-02,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2026-02-09,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2026-02-16,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2026-02-23,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2026-03-02,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2026-03-09,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
2026-03-16,-0.3,0.3,0.05,0.25,1.0,1.0,True,False,default
