iteration,best_score,mean_score,upper_particles,lower_particles
1,-169075264.0,1710420224.0,192,160
2,-190364064.0,815525376.0,192,160
3,-233531840.0,1258415488.0,192,160
4,-302859136.0,607189312.0,192,160
5,-317768928.0,145363536.0,192,160
6,-374323680.0,-181966032.0,192,160
7,-396765152.0,-36294360.0,192,160
8,-411386368.0,-1410294.5,192,160
9,-416783424.0,-34604984.0,192,160
10,-432477312.0,-198401856.0,192,160
11,-433672320.0,-187014144.0,192,160
12,-436086848.0,-145364480.0,192,160
13,-436086848.0,-196032336.0,192,160
14,-441756352.0,-179985792.0,192,160
15,-444147136.0,-95945256.0,192,160
16,-446869312.0,177584480.0,192,160
17,-446869312.0,784948224.0,192,160
18,-446869312.0,143451120.0,192,160
19,-446869312.0,136778624.0,192,160
20,-446869312.0,78766656.0,192,160
21,-446869312.0,509823296.0,192,160
22,-446869312.0,155115200.0,192,160
23,-446869312.0,107344592.0,192,160
24,-447929216.0,201879120.0,192,160
25,-447929216.0,216679536.0,192,160
26,-452104512.0,228605824.0,192,160
27,-452104512.0,188016080.0,192,160
28,-452104512.0,100390832.0,192,160
29,-453969312.0,140895296.0,192,160
30,-453969312.0,1029040640.0,192,160
31,-453969312.0,2478395136.0,192,160
32,-454077056.0,773807232.0,192,160
33,-456104000.0,-36725464.0,192,160
34,-458312608.0,261703984.0,192,160
35,-458312608.0,1672699392.0,192,160
36,-458312608.0,1549103872.0,192,160
37,-459559104.0,347969472.0,192,160
38,-459559104.0,28131376.0,192,160
39,-461167072.0,317724640.0,192,160
40,-464199424.0,1080865664.0,192,160
41,-467423552.0,244842608.0,192,160
42,-467806816.0,-144485536.0,192,160
43,-467806816.0,6055109.5,192,160
44,-469369248.0,497877696.0,192,160
45,-469369248.0,437961408.0,192,160
46,-470025216.0,490089728.0,192,160
47,-470025216.0,-76140048.0,192,160
48,-471172448.0,-57800224.0,192,160
49,-471221632.0,41866664.0,192,160
50,-471454720.0,2259682.25,192,160
51,-473062784.0,41487544.0,192,160
52,-473337664.0,1295867136.0,192,160
53,-476931840.0,1004537664.0,192,160
54,-476931840.0,106085040.0,192,160
55,-476931840.0,-54512192.0,192,160
56,-476931840.0,631932416.0,192,160
57,-476931840.0,480400960.0,192,160
58,-476931840.0,327878048.0,192,160
59,-476931840.0,93789512.0,192,160
60,-476931840.0,107122864.0,192,160
61,-476931840.0,229762976.0,192,160
62,-479568128.0,29277496.0,192,160
63,-479829952.0,13042944.0,192,160
64,-479829952.0,77094296.0,192,160
65,-479829952.0,-106588336.0,192,160
