window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-317203072.0,1515423488.0,92105888.0,4110858.5
window_02,-261892304.0,1546655104.0,555576768.0,5558275.0
window_03,-302312896.0,1991001344.0,-54451076.0,4702409.0
window_04,-356323136.0,1580039424.0,128028040.0,4220417.0
window_05,-460517856.0,1367944704.0,236858320.0,4612287.5
window_06,-491090624.0,1069588736.0,218766608.0,3447045.25
window_07,-490783968.0,1225923200.0,166727520.0,3269344.0
window_08,-498194912.0,1358596096.0,166310752.0,3644874.25
window_09,-509006336.0,982759680.0,369509728.0,3457473.75
window_10,-511431936.0,1036983296.0,92206400.0,3657901.25
