window_name,window_sample_count,window_excess_return_mean,window_excess_return_volatility,window_excess_return_win_rate,window_excess_return_max_drawdown,window_policy_risk_adjusted_mean,window_policy_risk_adjusted_median,window_policy_risk_adjusted_p25,window_policy_risk_adjusted_p75,window_policy_risk_adjusted_volatility,window_policy_risk_adjusted_cvar95,window_policy_risk_adjusted_cvar99,window_policy_risk_adjusted_sharpe,window_sharpe_guard_triggered,window_sharpe_warning,window_metrics_tier,active_excess_return_positive,active_excess_return_persistent,strong_baseline_family_outperformed,excess_return_conclusion
window_01,1,46725152.0,0.0,1.0,0.0,46483430.71501513,46483430.71501513,46483430.71501513,46483430.71501513,0.0,46483430.71501513,46483430.71501513,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_02,1,99336896.0,0.0,1.0,0.0,99056131.28837822,99056131.28837822,99056131.28837822,99056131.28837822,0.0,99056131.28837822,99056131.28837822,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_03,1,35218172.0,0.0,1.0,0.0,34938580.1803425,34938580.1803425,34938580.1803425,34938580.1803425,0.0,34938580.1803425,34938580.1803425,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_04,1,5836936.0,0.0,1.0,0.0,4877949.799385246,4877949.799385246,4877949.799385246,4877949.799385246,0.0,4877949.799385246,4877949.799385246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_05,1,8604624.0,0.0,1.0,0.0,7666767.111885246,7666767.111885246,7666767.111885246,7666767.111885246,0.0,7666767.111885246,7666767.111885246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_06,1,11387536.0,0.0,1.0,0.0,10639762.674385246,10639762.674385246,10639762.674385246,10639762.674385246,0.0,10639762.674385246,10639762.674385246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_07,1,4416992.0,0.0,1.0,0.0,3629463.424385246,3629463.424385246,3629463.424385246,3629463.424385246,0.0,3629463.424385246,3629463.424385246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_08,1,3760992.0,0.0,1.0,0.0,2854504.424385246,2854504.424385246,2854504.424385246,2854504.424385246,0.0,2854504.424385246,2854504.424385246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_09,1,5456480.0,0.0,1.0,0.0,4676094.424385246,4676094.424385246,4676094.424385246,4676094.424385246,0.0,4676094.424385246,4676094.424385246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_10,1,-2568448.0,0.0,0.0,0.0,-3218125.825614754,-3218125.825614754,-3218125.825614754,-3218125.825614754,0.0,-3218125.825614754,-3218125.825614754,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
