window_name,window_sample_count,window_excess_return_mean,window_excess_return_volatility,window_excess_return_win_rate,window_excess_return_max_drawdown,window_policy_risk_adjusted_mean,window_policy_risk_adjusted_median,window_policy_risk_adjusted_p25,window_policy_risk_adjusted_p75,window_policy_risk_adjusted_volatility,window_policy_risk_adjusted_cvar95,window_policy_risk_adjusted_cvar99,window_policy_risk_adjusted_sharpe,window_sharpe_guard_triggered,window_sharpe_warning,window_metrics_tier,active_excess_return_positive,active_excess_return_persistent,dynamic_lock_only_outperformed,excess_return_conclusion
window_01,1,47047704.0,0.0,1.0,0.0,46806811.60564013,46806811.60564013,46806811.60564013,46806811.60564013,0.0,46806811.60564013,46806811.60564013,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_02,1,99163392.0,0.0,1.0,0.0,98873876.63212822,98873876.63212822,98873876.63212822,98873876.63212822,0.0,98873876.63212822,98873876.63212822,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_03,1,34856892.0,0.0,1.0,0.0,34573840.7740925,34573840.7740925,34573840.7740925,34573840.7740925,0.0,34573840.7740925,34573840.7740925,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_04,1,-277984320.0,0.0,0.0,0.0,-278944901.76311475,-278944901.76311475,-278944901.76311475,-278944901.76311475,0.0,-278944901.76311475,-278944901.76311475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_05,1,-219930864.0,0.0,0.0,0.0,-220870323.07561475,-220870323.07561475,-220870323.07561475,-220870323.07561475,0.0,-220870323.07561475,-220870323.07561475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_06,1,-120404040.0,0.0,0.0,0.0,-121152310.51311475,-121152310.51311475,-121152310.51311475,-121152310.51311475,0.0,-121152310.51311475,-121152310.51311475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_07,1,1225952.0,0.0,1.0,0.0,436190.9243852459,436190.9243852459,436190.9243852459,436190.9243852459,0.0,436190.9243852459,436190.9243852459,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_08,1,6259440.0,0.0,1.0,0.0,5352917.236885246,5352917.236885246,5352917.236885246,5352917.236885246,0.0,5352917.236885246,5352917.236885246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_09,1,-464864.0,0.0,0.0,0.0,-1249858.263114754,-1249858.263114754,-1249858.263114754,-1249858.263114754,0.0,-1249858.263114754,-1249858.263114754,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_10,1,123736.0,0.0,1.0,0.0,-526906.2006147541,-526906.2006147541,-526906.2006147541,-526906.2006147541,0.0,-526906.2006147541,-526906.2006147541,0.0,True,insufficient_samples,appendix_only,False,False,True,窗口样本不足或波动率过低，保留附录口径
