iteration,best_score,mean_score,upper_particles,lower_particles
1,-169181872.0,1710212736.0,192,160
2,-190492160.0,815394176.0,192,160
3,-233688592.0,1258240512.0,192,160
4,-303032192.0,606989696.0,192,160
5,-317960608.0,145156512.0,192,160
6,-374206272.0,-181686368.0,192,160
7,-396892096.0,-37109100.0,192,160
8,-411348608.0,-1745179.875,192,160
9,-416492864.0,-33732752.0,192,160
10,-431912032.0,-197282752.0,192,160
11,-433315968.0,-183465488.0,192,160
12,-435577376.0,-147295312.0,192,160
13,-435577376.0,-196125552.0,192,160
14,-436871232.0,-179683856.0,192,160
15,-443421632.0,-92271184.0,192,160
16,-443421632.0,-150612576.0,192,160
17,-443713504.0,-204304800.0,192,160
18,-447000320.0,-152575152.0,192,160
19,-448156864.0,-196442960.0,192,160
20,-450884448.0,-200436560.0,192,160
21,-450884448.0,-190137184.0,192,160
22,-451360000.0,-81261632.0,192,160
23,-451429568.0,-81240840.0,192,160
24,-453148928.0,-178572064.0,192,160
25,-453148928.0,-187064784.0,192,160
26,-454857536.0,-131779448.0,192,160
27,-457028224.0,-82871864.0,192,160
28,-457028224.0,30365498.0,192,160
29,-457028224.0,-80420032.0,192,160
30,-457028224.0,87095880.0,192,160
31,-457028224.0,85260072.0,192,160
32,-457028224.0,2523858.25,192,160
33,-457028224.0,-82392776.0,192,160
34,-457028224.0,-70091808.0,192,160
35,-457028224.0,-38727348.0,192,160
36,-457555648.0,-141096368.0,192,160
37,-458199936.0,-905942.4375,192,160
38,-458199936.0,-159760976.0,192,160
39,-458199936.0,-119029592.0,192,160
40,-458199936.0,30255216.0,192,160
41,-458341472.0,-73033392.0,192,160
42,-458341472.0,-96712776.0,192,160
43,-458698528.0,-182372768.0,192,160
44,-459668224.0,-182410768.0,192,160
45,-459668224.0,-144450928.0,192,160
46,-459668224.0,-69296752.0,192,160
47,-459786688.0,-168614416.0,192,160
48,-459786688.0,-178749104.0,192,160
49,-461007552.0,-98953784.0,192,160
50,-461007552.0,-176254400.0,192,160
51,-461007552.0,-239645184.0,192,160
52,-461007552.0,-213015120.0,192,160
53,-461007552.0,-102355328.0,192,160
54,-461019072.0,-129275040.0,192,160
55,-461056768.0,-195131968.0,192,160
56,-461959936.0,-209607280.0,192,160
57,-462961664.0,-173708624.0,192,160
58,-463062080.0,-286297632.0,192,160
59,-463062080.0,-240303392.0,192,160
60,-463648672.0,-110489168.0,192,160
61,-463648672.0,-227961120.0,192,160
62,-463648672.0,-256222656.0,192,160
63,-463648672.0,-210369168.0,192,160
64,-463733248.0,-273292192.0,192,160
65,-463733248.0,-314835168.0,192,160
66,-463733248.0,-334266272.0,192,160
67,-463982784.0,-280771968.0,192,160
68,-464370752.0,-280354976.0,192,160
69,-464370752.0,-223223408.0,192,160
70,-465034944.0,-336986944.0,192,160
71,-466022752.0,-288880864.0,192,160
72,-466022752.0,-314832800.0,192,160
73,-466022752.0,-329583456.0,192,160
74,-466393440.0,-250751856.0,192,160
75,-466393440.0,-336987776.0,192,160
76,-466678720.0,-330034592.0,192,160
77,-467332704.0,-332748576.0,192,160
78,-467332704.0,-320663808.0,192,160
79,-467332704.0,-322575488.0,192,160
80,-467823872.0,-322595040.0,192,160
81,-467823872.0,-338439200.0,192,160
82,-468655680.0,-301112000.0,192,160
83,-469166368.0,-305279072.0,192,160
84,-469166368.0,-329189728.0,192,160
85,-469382880.0,-345227008.0,192,160
86,-469534944.0,-325735296.0,192,160
87,-469544416.0,-345880352.0,192,160
88,-469902432.0,-361644320.0,192,160
89,-470028096.0,-388097536.0,192,160
90,-470243072.0,-384089952.0,192,160
91,-471342816.0,-335431008.0,192,160
92,-471342816.0,-348549696.0,192,160
93,-471566208.0,-345341568.0,192,160
94,-472115776.0,-321864352.0,192,160
95,-472617920.0,-230055536.0,192,160
96,-472951040.0,-229437728.0,192,160
97,-472951040.0,854244608.0,192,160
98,-472951040.0,734149056.0,192,160
99,-472951040.0,573513344.0,192,160
100,-472951040.0,637268160.0,192,160
101,-472951040.0,858151872.0,192,160
102,-472951040.0,895740800.0,192,160
103,-472951040.0,1392863232.0,192,160
104,-473083840.0,1018207360.0,192,160
105,-474222592.0,996324608.0,192,160
106,-474222592.0,445870528.0,192,160
107,-474222592.0,216691216.0,192,160
108,-474458720.0,201131408.0,192,160
109,-475077024.0,679399168.0,192,160
110,-476281664.0,-32129816.0,192,160
111,-476281664.0,225988592.0,192,160
112,-476506368.0,140125008.0,192,160
113,-476506368.0,132639176.0,192,160
114,-476506368.0,-62703572.0,192,160
115,-476553696.0,-251796736.0,192,160
116,-477192672.0,28028536.0,192,160
117,-477231360.0,807152064.0,192,160
118,-477651136.0,116687352.0,192,160
119,-478466912.0,117645128.0,192,160
120,-478466912.0,-175008368.0,192,160
121,-478466912.0,187029952.0,192,160
122,-478466912.0,452014304.0,192,160
123,-478466912.0,233080832.0,192,160
124,-478745344.0,29800096.0,192,160
125,-478745344.0,76696936.0,192,160
126,-479801760.0,385060128.0,192,160
127,-479801760.0,1329158016.0,192,160
128,-479801760.0,3176430592.0,192,160
129,-479801760.0,1489379072.0,192,160
130,-479900800.0,1457652352.0,192,160
131,-479990112.0,2219981056.0,192,160
132,-480018432.0,2891155968.0,192,160
133,-481046048.0,1647660672.0,192,160
134,-481153184.0,268685472.0,192,160
135,-481516096.0,-300333504.0,192,160
136,-481741760.0,451538496.0,192,160
137,-481741760.0,630773120.0,192,160
138,-481741760.0,313390784.0,192,160
139,-481834816.0,97120056.0,192,160
140,-481834816.0,-18869098.0,192,160
141,-481903296.0,84021792.0,192,160
142,-481903296.0,173492912.0,192,160
143,-481903296.0,249220912.0,192,160
144,-482098080.0,-131582440.0,192,160
145,-482098080.0,-117066064.0,192,160
146,-482098080.0,-167602784.0,192,160
147,-482517056.0,167129120.0,192,160
148,-482659072.0,384085152.0,192,160
149,-482659072.0,55774224.0,192,160
150,-482659072.0,-276253984.0,192,160
151,-482659072.0,-56830852.0,192,160
152,-482659072.0,192385504.0,192,160
153,-482659072.0,-3603484.0,192,160
154,-482659072.0,-66056060.0,192,160
155,-482769280.0,-337291360.0,192,160
156,-482926304.0,-144049744.0,192,160
157,-483153376.0,-305980000.0,192,160
158,-483252832.0,-217187984.0,192,160
159,-483252832.0,-294096352.0,192,160
160,-483252832.0,-318642656.0,192,160
161,-483376256.0,-298029408.0,192,160
162,-483435648.0,-331363200.0,192,160
163,-483636480.0,-276438880.0,192,160
164,-483816192.0,-151005232.0,192,160
165,-483915872.0,-309540480.0,192,160
166,-483967168.0,-288716160.0,192,160
167,-484053184.0,-192208240.0,192,160
168,-484311136.0,-155788096.0,192,160
169,-484491648.0,-252580816.0,192,160
170,-484555136.0,-285761120.0,192,160
171,-484873024.0,-136434304.0,192,160
172,-484963296.0,-158012560.0,192,160
173,-485268800.0,-228815344.0,192,160
174,-485371424.0,-148019680.0,192,160
175,-485563744.0,-120344400.0,192,160
176,-485704448.0,-171485392.0,192,160
177,-485775360.0,-56898044.0,192,160
178,-485791776.0,58629352.0,192,160
179,-485792384.0,115185920.0,192,160
180,-485958528.0,-249128976.0,192,160
181,-486142816.0,-78929696.0,192,160
182,-486401408.0,-61546504.0,192,160
183,-486524064.0,63218000.0,192,160
184,-486524064.0,33422756.0,192,160
185,-486580064.0,-25196506.0,192,160
186,-486580064.0,250816224.0,192,160
187,-486608384.0,193140160.0,192,160
188,-486740224.0,226047360.0,192,160
189,-486844896.0,-10273020.0,192,160
190,-486844896.0,232870896.0,192,160
191,-487007392.0,221522320.0,192,160
192,-487007392.0,140871264.0,192,160
193,-487119424.0,-163445904.0,192,160
194,-487119424.0,-147288352.0,192,160
195,-487133504.0,173464288.0,192,160
196,-487189344.0,102582048.0,192,160
197,-487192256.0,238193056.0,192,160
198,-487192256.0,140432160.0,192,160
199,-487244288.0,32609626.0,192,160
200,-487373632.0,97970064.0,192,160
201,-487438848.0,630927872.0,192,160
202,-487622656.0,360203264.0,192,160
203,-487671680.0,347265664.0,192,160
204,-487671808.0,8476522.0,192,160
205,-487671808.0,-94967952.0,192,160
206,-487805376.0,-23401436.0,192,160
207,-487819872.0,170357888.0,192,160
208,-487835648.0,410772768.0,192,160
209,-487944832.0,224068320.0,192,160
210,-488171136.0,-236838496.0,192,160
211,-488196480.0,-169137872.0,192,160
212,-488227168.0,33750696.0,192,160
213,-488347936.0,-174058704.0,192,160
214,-488540416.0,-202535872.0,192,160
215,-488540416.0,842554496.0,192,160
216,-488540416.0,913375296.0,192,160
217,-488693344.0,217944992.0,192,160
218,-488762816.0,27638286.0,192,160
219,-488862880.0,172514384.0,192,160
220,-488992288.0,413531360.0,192,160
221,-489102432.0,334720864.0,192,160
222,-489149408.0,-87905104.0,192,160
223,-489225792.0,1669648256.0,192,160
224,-489225792.0,5325114880.0,192,160
225,-489225792.0,2727551744.0,192,160
226,-489225792.0,707579392.0,192,160
227,-489263744.0,1345808896.0,192,160
228,-489338496.0,1887648000.0,192,160
229,-489338496.0,507640512.0,192,160
230,-489338496.0,107707560.0,192,160
231,-489390848.0,271314112.0,192,160
232,-489390848.0,415112544.0,192,160
233,-489433472.0,40910584.0,192,160
234,-489440064.0,-79915224.0,192,160
235,-489493568.0,-13160260.0,192,160
236,-489543008.0,-23448696.0,192,160
237,-489663168.0,-251624992.0,192,160
238,-489764352.0,62266892.0,192,160
239,-489807008.0,255251936.0,192,160
240,-489807008.0,25564182.0,192,160
241,-489807008.0,-102516216.0,192,160
242,-489807008.0,-101546144.0,192,160
243,-489828480.0,100659008.0,192,160
244,-489896256.0,155896224.0,192,160
245,-489924768.0,-34433536.0,192,160
246,-489968224.0,-268608384.0,192,160
247,-489979584.0,-242682032.0,192,160
248,-490046752.0,198176160.0,192,160
249,-490170336.0,-200026416.0,192,160
250,-490177824.0,-207637616.0,192,160
251,-490287680.0,-8976221.0,192,160
252,-490320480.0,24584282.0,192,160
253,-490320480.0,-283497600.0,192,160
254,-490354496.0,-2409485.0,192,160
255,-490354496.0,-9736651.0,192,160
256,-490354496.0,94841304.0,192,160
257,-490418944.0,-94081408.0,192,160
258,-490418944.0,-64578852.0,192,160
259,-490425920.0,-173841968.0,192,160
260,-490425920.0,-153839632.0,192,160
261,-490607552.0,-282647840.0,192,160
262,-490607552.0,-104647584.0,192,160
263,-490607552.0,-205518272.0,192,160
264,-490664768.0,-257805408.0,192,160
265,-490664768.0,-177672720.0,192,160
266,-490762816.0,-141778128.0,192,160
267,-490762816.0,-129097056.0,192,160
268,-490792320.0,-372594592.0,192,160
269,-490806144.0,-204904464.0,192,160
270,-490839232.0,-256705312.0,192,160
271,-490862752.0,-347158400.0,192,160
272,-490862752.0,-181591936.0,192,160
273,-491010048.0,-273076736.0,192,160
274,-491010048.0,-197949376.0,192,160
275,-491024832.0,-183617888.0,192,160
276,-491024832.0,-146029552.0,192,160
277,-491130560.0,-51681064.0,192,160
278,-491130560.0,-178414160.0,192,160
