window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-314804608.0,1516121728.0,91408440.0,4111038.25
window_02,-262546704.0,1546240768.0,555989248.0,5565762.5
window_03,-302954816.0,1991718144.0,-55168720.0,4703073.0
window_04,-359500736.0,1870861312.0,-162806944.0,6928189.5
window_05,-462601120.0,1599338752.0,5464559.0,5956044.0
window_06,-495387488.0,1204412800.0,83945360.0,4285275.5
window_07,-435906464.0,1229009408.0,163642736.0,3413215.25
window_08,-434660032.0,1353227008.0,171678896.0,4012659.25
window_09,-470161184.0,988243648.0,364026336.0,3324174.25
window_10,-472191456.0,1036149376.0,93040576.0,3916954.0
