iteration,best_score,mean_score,upper_particles,lower_particles
1,-168265728.0,1709540480.0,192,160
2,-188912544.0,819922112.0,192,160
3,-227752160.0,1267204992.0,192,160
4,-297873152.0,608769664.0,192,160
5,-324751808.0,150244192.0,192,160
6,-370254208.0,72934520.0,192,160
7,-404437440.0,146316336.0,192,160
8,-425710624.0,-90857560.0,192,160
9,-436717888.0,80927320.0,192,160
10,-445976192.0,-52536944.0,192,160
11,-445976192.0,-20069624.0,192,160
12,-449834496.0,-138407664.0,192,160
13,-449834496.0,-97144328.0,192,160
14,-453052448.0,-122848704.0,192,160
15,-453052448.0,-60399840.0,192,160
16,-453588128.0,-133523688.0,192,160
17,-454979008.0,-66614540.0,192,160
18,-455314432.0,-64974056.0,192,160
19,-457564768.0,-50630436.0,192,160
20,-458467968.0,-145943536.0,192,160
21,-459504480.0,-138409904.0,192,160
22,-460813504.0,-118861128.0,192,160
23,-461313056.0,-169052544.0,192,160
24,-461928608.0,111699256.0,192,160
25,-462050368.0,-123280416.0,192,160
26,-462199808.0,-124052360.0,192,160
27,-464308352.0,-166739168.0,192,160
28,-466466528.0,-136091200.0,192,160
29,-468505664.0,-146744288.0,192,160
30,-469455488.0,-244006176.0,192,160
31,-470812864.0,-214692528.0,192,160
32,-470812864.0,-316070624.0,192,160
33,-470812864.0,-26814660.0,192,160
34,-470812864.0,-219710144.0,192,160
35,-470812864.0,-148264800.0,192,160
36,-470812864.0,-263852416.0,192,160
37,-470812864.0,-160746592.0,192,160
38,-470812864.0,-328173248.0,192,160
39,-471587776.0,-335645664.0,192,160
40,-471587776.0,-264762960.0,192,160
41,-472103616.0,-312336064.0,192,160
42,-472103616.0,-232898576.0,192,160
43,-472103616.0,-333627712.0,192,160
44,-472103616.0,-258743520.0,192,160
45,-472103616.0,-273627584.0,192,160
46,-472103616.0,-257609792.0,192,160
47,-472103616.0,-291005792.0,192,160
48,-472163776.0,-199900880.0,192,160
49,-472308992.0,-275418176.0,192,160
50,-472366464.0,-367584704.0,192,160
51,-472935008.0,-389141376.0,192,160
52,-472935008.0,-364373600.0,192,160
53,-473213632.0,-263083344.0,192,160
54,-473782976.0,-380399296.0,192,160
55,-474269696.0,-394743552.0,192,160
56,-474823904.0,-385364672.0,192,160
57,-474823904.0,-302983264.0,192,160
58,-475191168.0,-292869248.0,192,160
59,-475191168.0,-382665152.0,192,160
60,-475455712.0,-389573344.0,192,160
61,-475491776.0,-375195488.0,192,160
62,-475532576.0,-271137024.0,192,160
63,-475532576.0,-377358848.0,192,160
64,-475532576.0,-364695328.0,192,160
65,-475532576.0,-376065568.0,192,160
66,-475532576.0,-369964544.0,192,160
67,-475532576.0,-381594368.0,192,160
68,-475769952.0,-383216928.0,192,160
69,-475769952.0,-383430528.0,192,160
70,-475877120.0,-389809696.0,192,160
71,-476080800.0,-375453088.0,192,160
72,-476741824.0,-389809664.0,192,160
73,-477087232.0,-342569248.0,192,160
74,-477150080.0,-391181696.0,192,160
75,-477833312.0,-382048544.0,192,160
76,-477833312.0,-398337024.0,192,160
77,-477917696.0,-396455616.0,192,160
78,-478031392.0,-289436128.0,192,160
79,-478031392.0,-367985536.0,192,160
80,-478031392.0,-377993152.0,192,160
81,-478031392.0,-309244192.0,192,160
82,-478031392.0,-371814464.0,192,160
83,-478264064.0,-363281184.0,192,160
84,-478277312.0,-369523456.0,192,160
85,-478520512.0,-379069792.0,192,160
86,-478624896.0,-398676672.0,192,160
87,-478624896.0,-406487456.0,192,160
88,-478624896.0,-412230464.0,192,160
89,-478624896.0,-403262560.0,192,160
90,-478624896.0,-404565696.0,192,160
91,-478624896.0,-384458240.0,192,160
92,-478725376.0,-391089568.0,192,160
93,-478982304.0,-412408640.0,192,160
94,-478982304.0,-396099936.0,192,160
95,-479218240.0,-406798080.0,192,160
96,-479517792.0,-312209760.0,192,160
97,-479626240.0,-394358880.0,192,160
98,-479626240.0,-389793760.0,192,160
99,-479626240.0,-396441952.0,192,160
100,-479626240.0,-398374880.0,192,160
101,-479626240.0,-385540224.0,192,160
102,-479743584.0,-401543136.0,192,160
103,-479743584.0,-408494176.0,192,160
104,-479743584.0,-400974400.0,192,160
105,-479743584.0,-396763424.0,192,160
106,-480125920.0,-366516640.0,192,160
107,-480125920.0,-400263872.0,192,160
108,-480130304.0,-411631296.0,192,160
109,-480292544.0,-400172544.0,192,160
110,-480467264.0,-383264704.0,192,160
111,-480592160.0,-378235776.0,192,160
112,-480592160.0,-396239552.0,192,160
113,-480592160.0,-393425312.0,192,160
114,-480592160.0,-405741216.0,192,160
115,-480655008.0,-386230016.0,192,160
116,-480655008.0,-380294720.0,192,160
117,-480781120.0,-411557472.0,192,160
118,-480781120.0,-404082016.0,192,160
119,-480864640.0,-388860480.0,192,160
120,-481172928.0,-421947520.0,192,160
121,-481958912.0,-374929344.0,192,160
122,-481958912.0,-407230080.0,192,160
123,-481958912.0,-366441408.0,192,160
124,-482068768.0,-327060192.0,192,160
125,-482068768.0,-351112416.0,192,160
126,-482747712.0,-355094272.0,192,160
127,-483030592.0,-342274688.0,192,160
128,-483952576.0,-360171776.0,192,160
129,-484336160.0,-364617408.0,192,160
130,-484336160.0,-311425152.0,192,160
131,-484336160.0,-336080224.0,192,160
132,-484336160.0,-351958176.0,192,160
133,-484351232.0,-322818752.0,192,160
134,-484351232.0,-355111264.0,192,160
135,-484351232.0,-326155968.0,192,160
136,-484351232.0,-365272000.0,192,160
137,-484422400.0,-353130432.0,192,160
138,-484445824.0,-341087648.0,192,160
139,-484445824.0,-287480128.0,192,160
140,-484502240.0,-166226000.0,192,160
141,-484503488.0,-184514672.0,192,160
142,-484533440.0,-351486112.0,192,160
143,-484576960.0,85994800.0,192,160
144,-484576960.0,-82491768.0,192,160
145,-484576960.0,-246014576.0,192,160
146,-484679840.0,-281226976.0,192,160
147,-484679840.0,-148054832.0,192,160
148,-484706112.0,-68247896.0,192,160
149,-484729824.0,-252645392.0,192,160
150,-484767488.0,-198935632.0,192,160
151,-484813344.0,8867867.0,192,160
152,-484813344.0,199545936.0,192,160
153,-484822400.0,14473372.0,192,160
154,-484880576.0,76267416.0,192,160
155,-484886240.0,182982560.0,192,160
156,-484928032.0,-12206911.0,192,160
157,-484956672.0,-116835744.0,192,160
158,-485299584.0,-188402144.0,192,160
159,-485490016.0,-117265184.0,192,160
160,-485664512.0,-271537568.0,192,160
161,-485937408.0,-383369536.0,192,160
162,-486164960.0,-199382720.0,192,160
163,-486374592.0,-393757344.0,192,160
164,-487026688.0,-367749120.0,192,160
165,-487389376.0,-246774192.0,192,160
166,-487582944.0,-138670816.0,192,160
167,-487582944.0,-335136224.0,192,160
168,-487582944.0,-267199712.0,192,160
169,-487582944.0,-250571264.0,192,160
170,-487582944.0,-304664800.0,192,160
171,-487726592.0,-190401200.0,192,160
172,-487726592.0,-341990880.0,192,160
173,-487954112.0,-331864768.0,192,160
174,-487954112.0,-300515808.0,192,160
175,-487959104.0,-11489596.0,192,160
176,-488026784.0,-149394848.0,192,160
177,-488026784.0,-229474032.0,192,160
178,-488026784.0,-217741584.0,192,160
179,-488026784.0,171500256.0,192,160
180,-488052416.0,-39059272.0,192,160
