window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-317203072.0,1515423488.0,92105888.0,4110858.5
window_02,-261892304.0,1546655104.0,555576768.0,5558275.0
window_03,-302312896.0,1991001344.0,-54451076.0,4702409.0
window_04,-356323136.0,1869294208.0,-161226752.0,6943903.0
window_05,-460517856.0,1595478656.0,9324371.0,5982877.5
window_06,-491090624.0,1200241408.0,88113944.0,4317392.0
window_07,-437971808.0,1229465088.0,163185408.0,3414394.0
window_08,-429263616.0,1355770880.0,169135824.0,4008259.75
window_09,-471918240.0,987542272.0,364725632.0,3312454.75
window_10,-471386720.0,1037347712.0,91842624.0,3916066.0
