window_name,strategy,total_procurement_cost,total_profit,weekly_cost_volatility,cvar99,hedge_error,avg_adjustment_mwh,mean_reward,max_drawdown,feasible_domain_trigger_weeks
window_01,window_01_test,1515423488.0,92105888.0,0.0,4110858.5,0.7018654346466064,221.32037526085264,43805800.0,0.0,1
window_02,window_02_test,1546655104.0,555576768.0,0.0,5558275.0,0.705321729183197,335.46949758983794,95434800.0,0.0,1
window_03,window_03_test,1991001344.0,-54451076.0,0.0,4702409.0,0.6951248049736023,299.18360632941835,31874476.0,0.0,1
window_04,window_04_test,1869294208.0,-161226752.0,0.0,6943903.0,0.518791139125824,208.36622660500663,-288895616.0,0.0,1
window_05,window_05_test,1595478656.0,9324371.0,0.0,5982877.5,0.506071150302887,288.76441449210756,-223763328.0,0.0,1
window_06,window_06_test,1200241408.0,88113944.0,0.0,4317392.0,0.5200979113578796,256.63965411413284,-122825672.0,0.0,1
window_07,window_07_test,1229465088.0,163185408.0,0.0,3414394.0,0.5318841934204102,298.219265074957,-2144889.25,0.0,1
window_08,window_08_test,1355770880.0,169135824.0,0.0,4008259.75,0.5160057544708252,199.72142044703165,3067747.25,0.0,1
window_09,window_09_test,987542272.0,364725632.0,0.0,3312454.75,0.5331693291664124,236.77327165149507,-2271903.75,0.0,1
window_10,window_10_test,1037347712.0,91842624.0,0.0,3916066.0,0.5281807780265808,186.97848898569742,-6130439.5,0.0,1
