window_name,window_sample_count,window_excess_return_mean,window_excess_return_volatility,window_excess_return_win_rate,window_excess_return_max_drawdown,window_policy_risk_adjusted_mean,window_policy_risk_adjusted_median,window_policy_risk_adjusted_p25,window_policy_risk_adjusted_p75,window_policy_risk_adjusted_volatility,window_policy_risk_adjusted_cvar95,window_policy_risk_adjusted_cvar99,window_policy_risk_adjusted_sharpe,window_sharpe_guard_triggered,window_sharpe_warning,window_metrics_tier,active_excess_return_positive,active_excess_return_persistent,strong_baseline_family_outperformed,excess_return_conclusion
window_01,1,46725152.0,0.0,1.0,0.0,46483430.71501513,46483430.71501513,46483430.71501513,46483430.71501513,0.0,46483430.71501513,46483430.71501513,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_02,1,99336896.0,0.0,1.0,0.0,99056131.28837822,99056131.28837822,99056131.28837822,99056131.28837822,0.0,99056131.28837822,99056131.28837822,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_03,1,35218172.0,0.0,1.0,0.0,34938580.1803425,34938580.1803425,34938580.1803425,34938580.1803425,0.0,34938580.1803425,34938580.1803425,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_04,1,-283417856.0,0.0,0.0,0.0,-284376842.20061475,-284376842.20061475,-284376842.20061475,-284376842.20061475,0.0,-284376842.20061475,-284376842.20061475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_05,1,-218929328.0,0.0,0.0,0.0,-219867184.88811475,-219867184.88811475,-219867184.88811475,-219867184.88811475,0.0,-219867184.88811475,-219867184.88811475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_06,1,-119265128.0,0.0,0.0,0.0,-120012901.32561475,-120012901.32561475,-120012901.32561475,-120012901.32561475,0.0,-120012901.32561475,-120012901.32561475,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
window_07,1,874880.0,0.0,1.0,0.0,81980.98688524589,81980.98688524589,81980.98688524589,81980.98688524589,0.0,81980.98688524589,81980.98688524589,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_08,1,6586064.0,0.0,1.0,0.0,5678147.924385246,5678147.924385246,5678147.924385246,5678147.924385246,0.0,5678147.924385246,5678147.924385246,0.0,True,insufficient_samples,appendix_only,True,False,True,窗口样本不足或波动率过低，保留附录口径
window_09,1,672384.0,0.0,1.0,0.0,-112842.57561475411,-112842.57561475411,-112842.57561475411,-112842.57561475411,0.0,-112842.57561475411,-112842.57561475411,0.0,True,insufficient_samples,appendix_only,False,False,True,窗口样本不足或波动率过低，保留附录口径
window_10,1,-2932224.0,0.0,0.0,0.0,-3581632.200614754,-3581632.200614754,-3581632.200614754,-3581632.200614754,0.0,-3581632.200614754,-3581632.200614754,0.0,True,insufficient_samples,appendix_only,False,False,False,窗口样本不足或波动率过低，保留附录口径
