source_pdf,safe_stem,status,method,title,doi,abstract_chars,body_chars,tei_saved,error
参考文献/Aggarwal 等 - 2009 - Electricity price forecasting in deregulated markets A review and evaluation.pdf,Aggarwal_等_-_2009_-_Electricity_price_forecasting_in_deregulated_markets_A_review_and_evaluation,partial,pymupdf,,,0,50554,False,grobid service unavailable: http://localhost:8070
参考文献/Artzner 等 - 1999 - COHERENT MEASURES OF RISK.pdf,Artzner_等_-_1999_-_COHERENT_MEASURES_OF_RISK,partial,pymupdf,,,0,67266,False,grobid service unavailable: http://localhost:8070
参考文献/Bao - 2021 - Risk assessment and management of electricity markets A review with suggestions.pdf,Bao_-_2021_-_Risk_assessment_and_management_of_electricity_markets_A_review_with_suggestions,partial,pymupdf,,,0,2642,False,grobid service unavailable: http://localhost:8070
参考文献/Boroumand 等 - 2015 - Hedging strategies in energy markets The case of electricity retailers.pdf,Boroumand_等_-_2015_-_Hedging_strategies_in_energy_markets_The_case_of_electricity_retailers,success,pymupdf,,,2098,27996,False,grobid service unavailable: http://localhost:8070
参考文献/Cabero 等 - 2005 - A Medium-Term Integrated Risk Management Model for a Hydrothermal Generation Company.pdf,Cabero_等_-_2005_-_A_Medium-Term_Integrated_Risk_Management_Model_for_a_Hydrothermal_Generation_Company,partial,pymupdf,,,0,40728,False,grobid service unavailable: http://localhost:8070
"参考文献/Clerc和Kennedy - 2002 - The particle swarm - explosion, stability, and convergence in a multidimensional complex space.pdf","Clerc和Kennedy_-_2002_-_The_particle_swarm_-_explosion,_stability,_and_convergence_in_a_multidimensional_complex_space",partial,pymupdf,,,0,45434,False,grobid service unavailable: http://localhost:8070
参考文献/Coello Coello - 2002 - Theoretical and numerical constraint-handling techniques used with evolutionary algorithms a survey.pdf,Coello_Coello_-_2002_-_Theoretical_and_numerical_constraint-handling_techniques_used_with_evolutionary_algorithms_a_survey,success,pymupdf,,,1003,137882,False,grobid service unavailable: http://localhost:8070
参考文献/Deb - 2000 - An efficient constraint handling method for genetic algorithms.pdf,Deb_-_2000_-_An_efficient_constraint_handling_method_for_genetic_algorithms,success,pymupdf,,,1882,75335,False,grobid service unavailable: http://localhost:8070
"参考文献/Del Valle 等 - 2008 - Particle Swarm Optimization Basic Concepts, Variants and Applications in Power Systems.pdf","Del_Valle_等_-_2008_-_Particle_Swarm_Optimization_Basic_Concepts,_Variants_and_Applications_in_Power_Systems",partial,pymupdf,,,0,115171,False,grobid service unavailable: http://localhost:8070
参考文献/Deng和Oren - 2006 - Electricity derivatives and risk management.pdf,Deng和Oren_-_2006_-_Electricity_derivatives_and_risk_management,success,pymupdf,,,1147,41072,False,grobid service unavailable: http://localhost:8070
参考文献/Eberhart和Shi - 2000 - Comparing inertia weights and constriction factors in particle swarm optimization.pdf,Eberhart和Shi_-_2000_-_Comparing_inertia_weights_and_constriction_factors_in_particle_swarm_optimization,partial,pymupdf,,,0,18181,False,grobid service unavailable: http://localhost:8070
参考文献/Kennedy和Eberhart - 1995 - Particle swarm optimization.pdf,Kennedy和Eberhart_-_1995_-_Particle_swarm_optimization,success,pymupdf,,,2999,25072,False,grobid service unavailable: http://localhost:8070
参考文献/Kettunen 等 - 2010 - Optimization of Electricity Retailer's Contract Portfolio Subject to Risk Preferences.pdf,Kettunen_等_-_2010_-_Optimization_of_Electricity_Retailer's_Contract_Portfolio_Subject_to_Risk_Preferences,partial,pymupdf,,,0,45886,False,grobid service unavailable: http://localhost:8070
"参考文献/Lago 等 - 2021 - Forecasting day-ahead electricity prices A review of state-of-the-art algorithms, best practices an.pdf","Lago_等_-_2021_-_Forecasting_day-ahead_electricity_prices_A_review_of_state-of-the-art_algorithms,_best_practices_an",partial,pymupdf,,,0,105957,False,grobid service unavailable: http://localhost:8070
